"FIND_KEY","HarmChannels","DoubleTimeStart"
"0","119","1551704883047"
"1","119","1551705523618"
"2","119","1551705725067"
"3","119","1551705792909"
"4","119","1551705794915"
"5","119","1551705796944"
"6","119","1551705798914"
"7","119","1551705800914"
"8","119","1551705802910"
"9","119","1551705804910"
"10","119","1551705806919"
"11","119","1551705814948"
"12","119","1551705818910"
"13","119","1551705820907"
"14","119","1551705822908"
"15","119","1551705824909"
"16","119","1551705826912"
"17","119","1551705829116"
"18","119","1551705830906"
"19","119","1551705832978"
"20","119","1551705834910"
"21","119","1551705836918"
"22","119","1551705838944"
"23","119","1551705840908"
"24","119","1551705843073"
"25","119","1551705844914"
"26","119","1551705848104"
"27","119","1551705850093"
"28","119","1551705851918"
"29","119","1551705853912"
"30","119","1551705855914"
"31","119","1551705858058"
"32","119","1551705860909"
"33","119","1551705864909"
"34","119","1551705866914"
"35","119","1551705868909"
"36","119","1551705876982"
"37","119","1551705879207"
"38","119","1551705881920"
"39","119","1551705883921"
"40","119","1551705927913"
"41","119","1551705929914"
"42","119","1551705931953"
"43","119","1551705934992"
"44","119","1551705936919"
"45","119","1551705938926"
"46","119","1551705940910"
"47","119","1551705942914"
"48","119","1551705944903"
"49","119","1551705946911"
"50","119","1551705948911"
"51","119","1551705950915"
"52","119","1551705953065"
"53","119","1551705954908"
"54","119","1551705956912"
"55","119","1551705958909"
"56","119","1551705960914"
"57","119","1551705962916"
"58","119","1551705966911"
"59","119","1551705970910"
"60","119","1551705972921"
"61","119","1551705974917"
"62","119","1551705976911"
"63","119","1551705979122"
"64","119","1551705986623"
"65","119","1551706008744"
"66","119","1551706010737"
"67","119","1551706012748"
"68","119","1551706014743"
"69","119","1551706016743"
"70","119","1551706018742"
"71","119","1551706020743"
"72","119","1551706022738"
"73","119","1551706024743"
"74","119","1551706026815"
"75","119","1551706030735"
"76","119","1551706032739"
"77","119","1551706034738"
"78","119","1551706038743"
"79","119","1551706040851"
"80","119","1551706042747"
"81","119","1551706044896"
"82","119","1551706046744"
"83","119","1551706048743"
"84","119","1551706058848"
"85","119","1551706060739"
"86","119","1551706062780"
"87","119","1551706064811"
"88","119","1551706066741"
"89","119","1551706068742"
"90","119","1551706070746"
"91","119","1551706072740"
"92","119","1551706074742"
"93","119","1551706076740"
"94","119","1551706078742"
"95","119","1551706080905"
"96","119","1551706082741"
"97","119","1551706084807"
"98","119","1551706087739"
"99","119","1551706089735"
"100","119","1551706091842"
"101","119","1551706093750"
"102","119","1551706095746"
"103","119","1551706097744"
"104","119","1551706099735"
"105","119","1551706101735"
"106","119","1551706103868"
"107","119","1551706105745"
"108","119","1551706107746"
"109","119","1551706109738"
"110","119","1551706113742"
"111","119","1551706115868"
"112","119","1551706117740"
"113","119","1551706119742"
"114","119","1551706121737"
"115","119","1551706123741"
"116","119","1551706125742"
"117","119","1551706127746"
"118","119","1551706129743"
"119","119","1551706131804"
"120","119","1551706133740"
"121","119","1551706135739"
"122","119","1551706137745"
"123","119","1551706139741"
"124","119","1551706141761"
"125","119","1551706143740"
"126","119","1551706145748"
"127","119","1551706147739"
"128","119","1551706149745"
"129","119","1551706151778"
"130","119","1551706153841"
"131","119","1551706155739"
"132","119","1551706172122"
"133","119","1551706177062"
"134","119","1551706179046"
"135","119","1551706181042"
"136","119","1551706183036"
"137","119","1551706185054"
"138","119","1551706187036"
"139","119","1551706191038"
"140","119","1551706193303"
"141","119","1551706195058"
"142","119","1551706197043"
"143","119","1551706199169"
"144","119","1551706201182"
"145","119","1551706203059"
"146","119","1551706205043"
"147","119","1551706207191"
"148","119","1551706209048"
"149","119","1551706211042"
"150","119","1551706213261"
"151","119","1551706215046"
