"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551704883047","03/04/19  13:08:03.047   ","1551704883047","03/04/19  13:08:03.047   ","0","0","0","0","29705","0","64","512","50.02","0.3122","150.74","4095","0","0","0","5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,13,15,18,19,19,17,14,9,4,-1,-4,-7,-9,-10,-13,-13,-13,-13,-11,-12,-13,-14,-13,-12,-11,-10,-9,-9,-10,-10,-11,-11,-12,-12,-14,-15,-14,-13,-10,-7,-3,0,2"
"1","0","1551705523618","03/04/19  13:18:43.618   ","1551705523618","03/04/19  13:18:43.618   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10,10,10,8,8,10,10,10,9,8,7,6,6,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-8,-9,-9,-12,-13,-13,-13,-11,-11,-13,-14,-13,-12,-11,-10,-9,-8,-9,-10,-11,-11,-12,-12,-13,-15,-15,-13,-11,-8,-4,-1,2,5,6,7,9,10"
"2","0","1551705725067","03/04/19  13:22:05.067   ","1551705725067","03/04/19  13:22:05.067   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10,10,8,8,10,10,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-9,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,2,4,6,7,9,11,10"
"3","0","1551705792909","03/04/19  13:23:12.909   ","1551705792909","03/04/19  13:23:12.909   ","0","0","0","0","29705","0","64","512","49.97","0.3126","150.74","4095","0","0","0","10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10,10,10,9,8,10,11,11,10,8,8,6,6,7,9,10,11,13,14,17,19,20,19,16,11,7,2,-2,-6,-8,-9,-11,-14,-13,-13,-11,-11,-13,-14,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,5,6,7,9,10"
"4","0","1551705794915","03/04/19  13:23:14.915   ","1551705794915","03/04/19  13:23:14.915   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10,10,10,9,8,10,11,11,10,8,8,6,6,7,8,9,11,12,14,16,18,19,19,16,12,7,2,-1,-5,-8,-9,-11,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-10,-9,-8,-9,-10,-11,-11,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,4,5,7,8,10"
"5","0","1551705796944","03/04/19  13:23:16.944   ","1551705796944","03/04/19  13:23:16.944   ","0","0","0","0","29705","0","64","512","49.96","0.3126","150.74","4095","0","0","0","10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11,10,10,8,8,11,11,11,9,8,7,6,7,7,9,10,11,13,15,18,19,20,18,14,9,5,0,-3,-7,-9,-10,-13,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-14,-13,-11,-7,-4,0,2,4,6,7,10,11"
"6","0","1551705798914","03/04/19  13:23:18.914   ","1551705798914","03/04/19  13:23:18.914   ","0","0","0","0","29705","0","64","512","49.97","0.3126","150.74","4095","0","0","0","10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11,10,10,8,8,10,11,11,10,8,7,6,7,7,9,10,11,13,15,17,19,19,18,15,10,5,1,-3,-7,-8,-10,-12,-13,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-14,-11,-8,-4,-1,1,4,6,7,9,11"
"7","0","1551705800914","03/04/19  13:23:20.914   ","1551705800914","03/04/19  13:23:20.914   ","0","0","0","0","29705","0","64","512","49.96","0.3128","150.74","4095","0","0","0","10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,12,14,16,18,19,19,17,13,8,3,-1,-4,-7,-9,-10,-13,-13,-13,-12,-11,-12,-13,-13,-13,-11,-11,-9,-8,-9,-10,-10,-11,-11,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,6,6,7,10"
"8","0","1551705802910","03/04/19  13:23:22.910   ","1551705802910","03/04/19  13:23:22.910   ","0","0","0","0","29705","0","64","512","49.97","0.3128","150.74","4095","0","0","0","10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10,10,10,10,8,8,10,11,11,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,15,10,5,0,-3,-7,-9,-10,-12,-14,-13,-13,-11,-11,-13,-13,-13,-12,-11,-10,-8,-9,-9,-10,-11,-11,-12,-12,-14,-15,-15,-13,-11,-7,-3,-1,2,5,6,8,10"
"9","0","1551705804910","03/04/19  13:23:24.910   ","1551705804910","03/04/19  13:23:24.910   ","0","0","0","0","29705","0","64","512","49.97","0.3128","150.74","4095","0","0","0","10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10,10,10,10,8,9,10,11,10,9,8,7,6,7,8,9,10,11,13,15,18,19,19,18,14,9,4,0,-4,-7,-9,-10,-13,-13,-13,-13,-10,-11,-13,-13,-13,-12,-11,-9,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,5,6,7,10"
