"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551707931450","03/04/19  13:58:51.450   ","1551707931450","03/04/19  13:58:51.450   ","0","0","0","0","29704","0","64","512","49.96","0.3124","150.75","4095","0","0","0","-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66,-46,-22,1,19,44,63,80,99,110,129,138,142,145,149,169,181,172,168,171,173,173,180,186,189,194,189,187,181,173,168,153,139,111,87,67,48,29,8,-22,-49,-88,-115,-151,-168,-188,-198,-220,-234,-234,-235,-224,-214,-214,-209,-207,-198,-181,-165,-136,-120,-102,-92,-82,-66"
"1","0","1551707935459","03/04/19  13:58:55.459   ","1551707935459","03/04/19  13:58:55.459   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50,-28,-7,8,25,39,53,66,78,94,108,117,124,131,148,168,169,166,168,175,176,188,196,207,213,214,212,200,193,176,164,140,116,89,68,48,29,-3,-28,-62,-92,-127,-153,-175,-188,-200,-217,-234,-240,-235,-238,-228,-228,-217,-221,-209,-200,-180,-157,-136,-114,-100,-81,-71,-50"
"2","0","1551707937458","03/04/19  13:58:57.458   ","1551707937458","03/04/19  13:58:57.458   ","0","0","0","0","29704","0","64","512","50.01","0.3124","150.75","4095","0","0","0","-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54,-34,-16,2,20,32,47,58,71,90,103,116,121,129,145,165,172,164,175,177,186,192,203,216,219,224,215,207,193,182,166,143,116,89,67,49,27,-4,-32,-64,-92,-127,-155,-178,-185,-201,-215,-239,-243,-235,-232,-228,-222,-218,-216,-208,-199,-181,-162,-138,-116,-100,-86,-75,-54"
"3","0","1551707939539","03/04/19  13:58:59.539   ","1551707939539","03/04/19  13:58:59.539   ","0","0","0","0","29704","0","64","512","50","0.3126","150.75","4095","0","0","0","-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70,-46,-18,4,31,48,70,87,103,121,134,150,153,157,164,177,189,175,171,171,170,175,176,185,186,185,183,172,167,159,151,143,124,107,82,66,48,32,13,-9,-42,-73,-113,-139,-165,-180,-198,-216,-233,-231,-237,-238,-237,-238,-239,-242,-234,-224,-199,-177,-146,-127,-104,-91,-70"
"4","0","1551707941441","03/04/19  13:59:01.441   ","1551707941441","03/04/19  13:59:01.441   ","0","0","0","0","29704","0","64","512","50","0.3126","150.75","4095","0","0","0","-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56,-43,-25,-9,2,18,30,43,63,79,99,110,121,133,151,172,176,179,188,198,203,213,222,231,233,230,221,207,194,173,157,126,102,75,56,31,8,-26,-53,-85,-114,-146,-170,-184,-195,-204,-224,-236,-234,-224,-225,-217,-214,-210,-206,-202,-185,-173,-145,-126,-106,-96,-87,-72,-56"
"5","0","1551707943443","03/04/19  13:59:03.443   ","1551707943443","03/04/19  13:59:03.443   ","0","0","0","0","29704","0","64","512","50.01","0.3124","150.75","4095","0","0","0","-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62,-48,-29,-16,-4,15,25,40,56,72,94,107,118,128,145,171,180,177,185,195,201,212,219,231,230,234,225,211,198,176,163,135,110,82,61,38,16,-17,-44,-79,-107,-140,-163,-182,-192,-204,-217,-232,-238,-227,-227,-218,-218,-212,-212,-205,-191,-177,-151,-133,-111,-99,-88,-75,-62"
"6","0","1551707945475","03/04/19  13:59:05.475   ","1551707945475","03/04/19  13:59:05.475   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82,-54,-29,-9,9,27,40,55,65,79,97,109,120,124,133,150,168,170,165,172,174,179,186,196,209,213,216,212,203,193,181,166,144,118,93,71,52,33,-1,-25,-60,-86,-124,-152,-176,-185,-201,-215,-239,-241,-238,-239,-233,-230,-221,-222,-212,-205,-163,-145,-127,-109,-100,-90,-82"
"7","0","1551707947441","03/04/19  13:59:07.441   ","1551707947441","03/04/19  13:59:07.441   ","0","0","0","0","29704","0","64","512","50.01","0.3124","150.75","4095","0","0","0","-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64,-54,-31,-16,-1,15,25,42,55,71,90,104,117,124,137,159,175,174,178,186,193,202,211,224,227,231,225,215,204,186,172,146,123,93,71,49,29,-3,-29,-63,-89,-124,-152,-176,-186,-198,-212,-227,-238,-229,-231,-221,-222,-213,-214,-209,-198,-185,-162,-143,-117,-105,-91,-79,-64"
"8","0","1551707949451","03/04/19  13:59:09.451   ","1551707949451","03/04/19  13:59:09.451   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80,-48,-27,-6,13,29,46,61,71,86,100,115,124,126,136,150,172,172,165,173,174,181,184,198,206,214,215,208,203,188,183,163,144,115,92,69,52,29,1,-32,-59,-93,-124,-158,-178,-189,-202,-218,-242,-244,-240,-214,-215,-205,-205,-198,-190,-180,-161,-145,-121,-107,-96,-88,-80"
"9","0","1551707951456","03/04/19  13:59:11.456   ","1551707951456","03/04/19  13:59:11.456   ","0","0","0","0","29704","0","64","512","50.02","0.3124","150.75","4095","0","0","0","-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79,-57,-36,-13,9,29,52,70,82,100,112,129,134,137,145,153,175,176,168,171,173,176,175,185,191,198,200,197,191,185,179,169,152,125,104,74,61,39,15,-9,-43,-70,-108,-137,-168,-183,-198,-211,-236,-242,-239,-240,-244,-238,-237,-232,-232,-222,-205,-184,-154,-129,-109,-97,-79"
