"FIND_KEY","HarmChannels","DoubleTimeStart"
"0","119","1551703504655"
"1","119","1551703569691"
"2","119","1551703573684"
"3","119","1551703577688"
"4","119","1551703581696"
"5","119","1551703585695"
"6","119","1551703589689"
"7","119","1551703591735"
"8","119","1551703596694"
"9","119","1551703598735"
"10","119","1551703761690"
"11","119","1551703765688"
"12","119","1551703784768"
"13","119","1551703786691"
"14","119","1551703790690"
"15","119","1551703792682"
"16","119","1551703794703"
"17","119","1551703798684"
"18","119","1551703800691"
"19","119","1551703802703"
"20","119","1551703804696"
"21","119","1551703806696"
"22","119","1551703820690"
"23","119","1551703835694"
"24","119","1551703873690"
"25","119","1551703876017"
"26","119","1551703879688"
"27","119","1551703881689"
"28","119","1551703883693"
"29","119","1551703885692"
"30","119","1551703887689"
"31","119","1551703889685"
"32","119","1551703891705"
"33","119","1551703928688"
"34","119","1551703932697"
"35","119","1551703934691"
"36","119","1551703936687"
"37","119","1551703938692"
"38","119","1551703940684"
"39","119","1551703942684"
"40","119","1551703944696"
"41","119","1551703952707"
"42","119","1551703955695"
"43","119","1551703957690"
"44","119","1551703961687"
"45","119","1551703963687"
"46","119","1551703965684"
"47","119","1551703967740"
"48","119","1551703969690"
"49","119","1551703971690"
"50","119","1551703973693"
"51","119","1551703975694"
"52","119","1551703977752"
"53","119","1551703999688"
"54","119","1551704001687"
"55","119","1551704003701"
"56","119","1551704007696"
"57","119","1551704009696"
"58","119","1551704011739"
"59","119","1551704014847"
"60","119","1551704020700"
"61","119","1551704022846"
"62","119","1551704024687"
"63","119","1551704026691"
"64","119","1551704028970"
"65","119","1551704030686"
"66","119","1551704048702"
"67","119","1551704050685"
"68","119","1551704052781"
"69","119","1551704054693"
"70","119","1551704056787"
"71","119","1551704058794"
"72","119","1551704060694"
"73","119","1551704256693"
"74","119","1551704262691"
"75","119","1551704266691"
"76","119","1551704270695"
"77","119","1551704272699"
"78","119","1551704278691"
"79","119","1551704280830"
"80","119","1551704284697"
"81","119","1551704286691"
"82","119","1551704290691"
"83","119","1551704296692"
"84","119","1551704298818"
"85","119","1551704300997"
"86","119","1551704303691"
"87","119","1551704305691"
"88","119","1551704307698"
"89","119","1551704309688"
"90","119","1551704311735"
"91","119","1551704314745"
"92","119","1551704318109"
"93","119","1551704320698"
"94","119","1551704322689"
"95","119","1551704332691"
"96","119","1551704334692"
"97","119","1551704336695"
"98","119","1551704338695"
"99","119","1551704340695"
"100","119","1551704342699"
"101","119","1551704344697"
"102","119","1551704346710"
"103","119","1551704348699"
"104","119","1551704350688"
"105","119","1551704352693"
"106","119","1551704354694"
"107","119","1551704358694"
"108","119","1551704364688"
"109","119","1551704366689"
"110","119","1551704368688"
"111","119","1551704370700"
"112","119","1551704376691"
"113","119","1551704384695"
"114","119","1551704386775"
"115","119","1551704388745"
"116","119","1551704390700"
"117","119","1551704392692"
"118","119","1551704396699"
"119","119","1551704398800"
"120","119","1551704400707"
"121","119","1551704402770"
"122","119","1551704404690"
"123","119","1551704408684"
"124","119","1551704410694"
"125","119","1551704412702"
"126","119","1551704414693"
"127","119","1551704416710"
"128","119","1551704418697"
"129","119","1551704420693"
"130","119","1551704422708"
"131","119","1551704424699"
"132","119","1551704426706"
"133","119","1551704447693"
"134","119","1551704449705"
"135","119","1551704558701"
"136","119","1551704562705"
"137","119","1551704564698"
"138","119","1551704566752"
"139","119","1551704568689"
"140","119","1551704570890"
"141","119","1551704623697"
"142","119","1551704627697"
"143","119","1551704629697"
"144","119","1551704631690"
"145","119","1551704635693"
"146","119","1551704637697"
"147","119","1551704641698"
"148","119","1551704645694"
"149","119","1551704647715"
"150","119","1551704649698"
"151","119","1551704651694"
"152","119","1551704653695"
"153","119","1551704655696"
"154","119","1551704657701"
"155","119","1551704659886"
"156","119","1551704661704"
"157","119","1551704663704"
"158","119","1551704665703"
"159","119","1551704667700"
"160","119","1551704669693"
"161","119","1551704671737"
"162","119","1551704674753"
"163","119","1551704676690"
"164","119","1551704678922"
"165","119","1551704680704"
"166","119","1551704682699"
"167","119","1551704684695"
"168","119","1551704686692"
"169","119","1551704688695"
"170","119","1551704698701"
"171","119","1551704700692"
"172","119","1551704702709"
"173","119","1551704704803"
"174","119","1551704706693"
"175","119","1551704708693"
"176","119","1551704710774"
"177","119","1551704714696"
"178","119","1551704716695"
"179","119","1551704737702"
"180","119","1551704745696"
"181","119","1551704747704"
"182","119","1551704749957"
"183","119","1551704751698"
"184","119","1551704753695"
"185","119","1551704755749"
"186","119","1551704757702"
"187","119","1551704759774"
"188","119","1551704763692"
"189","119","1551704765700"
"190","119","1551704767701"
"191","119","1551704770053"
"192","119","1551704771696"
"193","119","1551704773696"
"194","119","1551704775704"
"195","119","1551704778015"
"196","119","1551704779720"
"197","119","1551704782031"
"198","119","1551704797892"
