"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551703504655","03/04/19  12:45:04.655   ","1551703504655","03/04/19  12:45:04.655   ","0","0","0","0","29703","0","64","512","49.97","0.3128","150.71","4095","0","0","0","-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57,-74,-83,-86,-85,-81,-44,-52,-60,-67,-74,-81,-76,-65,-58,-64,-69,-71,-59,-45,-46,-37,-42,-48,-42,-39,-25,-7,6,24,34,48,60,76,87,88,85,80,47,55,60,68,76,81,77,65,59,67,72,71,59,46,45,40,44,50,39,38,28,8,-8,-26,-33,-44,-57"
"1","0","1551703569691","03/04/19  12:46:09.691   ","1551703569691","03/04/19  12:46:09.691   ","0","0","0","0","29703","0","64","512","50.06","0.3122","150.71","4095","0","0","0","-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84,-75,-46,-54,-61,-69,-72,-84,-76,-66,-55,-63,-72,-72,-56,-46,-47,-33,-44,-51,-39,-32,-25,-8,9,29,40,47,59,74,85,91,86,77,47,55,61,69,77,84,79,66,57,61,70,69,59,46,45,40,43,48,44,37,21,4,-9,-25,-34,-48,-62,-77,-85,-85,-84"
"2","0","1551703573684","03/04/19  12:46:13.684   ","1551703573684","03/04/19  12:46:13.684   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84,-82,-45,-51,-59,-67,-73,-79,-77,-69,-58,-59,-67,-73,-60,-47,-47,-37,-41,-52,-45,-33,-25,-11,2,23,35,47,59,75,85,88,87,82,46,52,60,68,76,82,80,67,60,63,69,72,61,47,48,37,44,48,42,38,27,10,-4,-22,-33,-45,-57,-75,-86,-88,-84"
"3","0","1551703577688","03/04/19  12:46:17.688   ","1551703577688","03/04/19  12:46:17.688   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81,-74,-44,-53,-61,-71,-81,-89,-86,-73,-69,-77,-87,-86,-74,-66,-65,-63,-67,-71,-62,-58,-46,-24,-7,10,19,33,49,68,80,80,78,72,46,56,62,73,83,91,87,76,69,79,89,89,76,65,65,59,69,76,64,53,42,28,14,-9,-24,-36,-47,-63,-75,-81,-81"
"4","0","1551703581696","03/04/19  12:46:21.696   ","1551703581696","03/04/19  12:46:21.696   ","0","0","0","0","29703","0","64","512","50","0.3126","150.71","4095","0","0","0","-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83,-86,-43,-51,-57,-65,-72,-81,-80,-65,-60,-60,-68,-68,-60,-49,-45,-36,-42,-46,-43,-39,-29,-14,4,21,34,43,58,75,84,86,84,85,43,52,59,67,74,83,80,68,58,63,71,69,60,50,44,38,44,48,40,35,31,16,-3,-27,-33,-38,-56,-70,-85,-86,-83"
"5","0","1551703585695","03/04/19  12:46:25.695   ","1551703585695","03/04/19  12:46:25.695   ","0","0","0","0","29703","0","64","512","49.97","0.3124","150.71","4095","0","0","0","-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84,-66,-47,-55,-62,-69,-77,-83,-77,-61,-55,-62,-70,-68,-55,-45,-40,-36,-46,-52,-39,-29,-20,-5,10,30,40,55,65,76,86,88,89,66,49,56,62,71,78,80,79,64,57,65,70,69,57,46,44,39,44,49,42,32,19,1,-10,-26,-36,-52,-67,-78,-84,-85,-84"
"6","0","1551703589689","03/04/19  12:46:29.689   ","1551703589689","03/04/19  12:46:29.689   ","0","0","0","0","29703","0","64","512","49.96","0.3128","150.71","4095","0","0","0","-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84,-83,-44,-52,-58,-65,-72,-80,-81,-68,-56,-60,-70,-72,-62,-45,-42,-35,-43,-52,-43,-30,-30,-22,1,28,38,45,53,68,83,90,88,86,43,53,59,66,73,82,82,71,59,60,68,69,64,48,45,35,40,48,45,40,27,14,-2,-21,-32,-42,-57,-72,-83,-84,-84"
"7","0","1551703591735","03/04/19  12:46:31.735   ","1551703591735","03/04/19  12:46:31.735   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81,-65,-48,-54,-65,-71,-87,-91,-82,-73,-72,-80,-87,-86,-74,-65,-63,-63,-67,-69,-63,-56,-40,-19,1,14,23,39,56,72,79,80,81,64,49,56,66,70,88,93,83,72,70,83,91,87,73,66,61,65,72,70,59,54,44,22,6,-17,-24,-37,-52,-66,-77,-82,-81"
"8","0","1551703596694","03/04/19  12:46:36.694   ","1551703596694","03/04/19  12:46:36.694   ","0","0","0","0","29703","0","64","512","49.95","0.3126","150.71","4095","0","0","0","-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83,-43,-50,-57,-66,-71,-78,-82,-71,-57,-57,-68,-73,-62,-48,-44,-32,-39,-55,-48,-31,-24,-21,-2,24,37,45,56,71,80,88,89,87,43,52,59,67,72,80,80,71,61,59,67,75,64,50,41,38,44,49,44,37,31,16,-1,-24,-32,-38,-54,-70,-84,-86,-85,-83"
"9","0","1551703598735","03/04/19  12:46:38.735   ","1551703598735","03/04/19  12:46:38.735   ","0","0","0","0","29703","0","64","512","49.94","0.3126","150.71","4095","0","0","0","-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86,-65,-49,-55,-62,-69,-78,-83,-74,-60,-60,-64,-69,-68,-54,-46,-42,-38,-47,-46,-40,-37,-21,1,17,29,38,51,68,82,87,86,84,67,51,57,62,70,79,84,75,59,58,68,73,70,57,47,41,37,47,54,40,28,21,9,-10,-29,-41,-52,-63,-75,-84,-88,-86"
