"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551709698555","03/04/19  14:28:18.555   ","1551709698555","03/04/19  14:28:18.555   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7,-8,-10,-11,-14,-13,-13,-12,-12,-14,-15,-14,-14,-12,-11,-10,-10,-11,-12,-12,-13,-14,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,6,7,9,11,10,10,9,8,11,11,12,11,10,9,7,8,9,10,11,13,15,17,19,21,21,20,17,12,7,2,-2,-7"
"1","0","1551709701553","03/04/19  14:28:21.553   ","1551709701553","03/04/19  14:28:21.553   ","0","0","0","0","29705","0","64","512","50.02","0.3126","150.74","4095","0","0","0","-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6,-9,-11,-13,-14,-13,-13,-11,-12,-14,-15,-15,-14,-12,-11,-10,-11,-11,-12,-13,-13,-14,-15,-16,-16,-16,-14,-11,-7,-4,-1,2,5,6,8,10,10,10,10,8,9,11,12,12,11,10,8,7,8,10,11,12,13,16,18,20,21,21,19,15,10,4,0,-3,-6"
"2","0","1551709704531","03/04/19  14:28:24.531   ","1551709704531","03/04/19  14:28:24.531   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-14,-14,-13,-12,-11,-10,-11,-11,-12,-12,-13,-13,-15,-16,-16,-16,-14,-11,-7,-3,0,2,6,6,7,10,11,10,10,8,9,11,12,12,11,9,8,7,8,10,10,12,14,16,18,20,21,21,19,15,9,4,0,-3,-7"
"3","0","1551709707487","03/04/19  14:28:27.487   ","1551709707487","03/04/19  14:28:27.487   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-13,-9,-5,-2,1,5,5,7,8,11,10,10,9,8,10,12,12,11,10,9,7,8,9,10,11,13,15,17,19,21,22,21,18,13,7,2,-2,-5,-8"
"4","0","1551709710541","03/04/19  14:28:30.541   ","1551709710541","03/04/19  14:28:30.541   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-14,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-6,-3,0,3,5,7,8,11,10,10,9,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,19,21,21,21,18,14,9,3,-1,-4,-8"
"5","0","1551709713512","03/04/19  14:28:33.512   ","1551709713512","03/04/19  14:28:33.512   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3,-7,-9,-10,-13,-14,-13,-13,-11,-13,-14,-15,-15,-13,-12,-11,-10,-11,-12,-12,-13,-13,-14,-14,-16,-16,-16,-14,-11,-8,-4,-1,2,5,6,7,10,10,10,10,8,10,11,12,12,10,9,8,7,8,9,11,12,13,16,18,20,21,21,19,15,9,4,0,-3"
"6","0","1551709716561","03/04/19  14:28:36.561   ","1551709716561","03/04/19  14:28:36.561   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8,-10,-11,-14,-13,-13,-12,-12,-13,-14,-15,-14,-13,-11,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-15,-13,-10,-6,-2,1,4,5,7,8,11,10,10,9,8,10,11,12,11,10,9,7,8,9,10,11,12,14,16,19,21,21,20,18,13,8,3,-2,-5,-8"
"7","0","1551709719546","03/04/19  14:28:39.546   ","1551709719546","03/04/19  14:28:39.546   ","0","0","0","0","29705","0","64","512","50.02","0.3124","150.74","4095","0","0","0","-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8,-9,-11,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-13,-13,-14,-15,-16,-16,-15,-14,-10,-7,-3,0,2,5,7,8,10,10,10,10,8,10,11,12,11,10,9,8,8,9,10,11,12,14,16,18,21,22,21,18,13,8,3,-1,-4,-8"
"8","0","1551709721589","03/04/19  14:28:41.589   ","1551709721589","03/04/19  14:28:41.589   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8,-9,-10,-13,-14,-13,-13,-11,-13,-15,-15,-14,-13,-12,-10,-10,-10,-12,-12,-13,-13,-14,-14,-16,-16,-15,-13,-10,-7,-3,0,2,6,7,7,10,10,10,9,8,10,11,12,12,10,9,8,7,8,10,11,12,14,16,18,21,22,21,19,14,8,3,-1,-4,-8"
"9","0","1551709724561","03/04/19  14:28:44.561   ","1551709724561","03/04/19  14:28:44.561   ","0","0","0","0","29705","0","64","512","50.03","0.3124","150.74","4095","0","0","0","-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8,-9,-10,-13,-13,-13,-13,-11,-13,-14,-15,-14,-13,-12,-10,-10,-11,-12,-12,-12,-13,-14,-15,-16,-16,-16,-14,-10,-7,-3,0,2,5,6,8,10,10,10,9,8,10,11,12,11,10,9,8,8,8,10,11,12,14,16,18,21,22,21,19,14,9,4,-1,-4,-8"
