"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558520866465","05/22/19  10:27:46.465   ","1.07","-136.7","0.336","25.6","0.5","0.196","100","2.03","19.38","0.34","10.83","0.61","9.46","0","6.6","0","3.27","0","2.21","0","1.75","0.32","0.28","-137.5","-14.7","-110.7","22.1","67.9","-154","74.4","-122.3","-90.3","-50.8","-135.3","0","-154","-129.6","-138","-120.5","137.9"
"1558520867454","05/22/19  10:27:47.454   ","1.07","-137.2","0.333","25.2","0.5","0.194","100","1.41","18.78","0.36","10.77","0.47","9.71","0.54","6.71","0.2","3.57","0.33","2.28","0.55","1.92","0.4","0.68","-137.1","77.2","-108.3","-171.8","68.6","48.9","76.2","-29.3","-92.1","-29.8","-135.9","0","-153.9","136.1","-144.9","-120.4","110.6"
"1558520868430","05/22/19  10:27:48.430   ","1.06","-137","0.336","25.6","0.5","0.194","100","0.58","19.16","1.07","11.19","0.8","8.95","0.64","6.52","0.2","3.62","0.51","1.8","0.3","1.28","0","0.61","-136.7","146","-110","-38.8","66.6","-107.7","77.3","175","-94.8","58.8","-129.6","27.2","-161.7","19.2","-156.1","-120.5","113.4"
"1558520869451","05/22/19  10:27:49.451   ","1.06","-137.3","0.332","25.6","0.5","0.193","100","1.55","18.92","0.91","10.94","0.57","8.93","0.56","6.42","0.47","3.57","0","1.79","0.27","1.53","0.38","0.94","-137","-126.2","-109.1","127.5","67.8","53.2","76.9","-23.6","-92","-120.7","-132.2","126.5","-158.8","121.2","-160.7","-120.4","0"
"1558520870393","05/22/19  10:27:50.393   ","1.07","-137.6","0.342","25.2","0.5","0.195","100","1.35","19.45","0.24","10.45","0","9.43","0.25","6.3","0.27","3.26","0","2.08","0","1.77","0.2","0","-136.4","12.9","-109.2","0","66.9","-73.9","79.7","-111.7","-95.9","-116.7","-127.7","0","-157","93.5","-160.2","-120.4","105.8"
"1558520871442","05/22/19  10:27:51.442   ","1.07","-137.3","0.334","25.7","0.5","0.197","100","1.35","19.15","0.26","10.73","0","9.31","0.26","6.35","0","3.56","0.27","2.1","0","2.09","0","0.23","-137.8","104.9","-108.3","-52.1","66","0","76.5","56.4","-92.5","0","-135.6","32.7","-157.5","65.8","-145.1","-120.4","0"
"1558520872420","05/22/19  10:27:52.420   ","1.08","-137.4","0.337","25.3","0.5","0.191","100","1.4","19.47","0.39","11.09","0.26","9.18","0","6.5","0.34","3.67","0.21","2.01","0.22","1.38","0.2","0.51","-137","-154.3","-109.2","19.2","66.9","124.6","76.8","0","-93.2","8.2","-129.8","64.1","-151.7","19.3","-152.8","-120.4","120.4"
"1558520873435","05/22/19  10:27:53.435   ","1.1","-136.3","0.331","25.7","0.5","0.197","100","0.82","19.15","0.24","10.77","0","9.15","0.32","6.47","0.53","3.59","0","2.13","0","1.79","0","0.32","-137.1","-85.5","-109.7","124.8","66","113.8","78.7","-47.8","-96.5","-80.7","-132.6","0","-154.6","-158.8","-155.5","-120.4","0"
"1558520874394","05/22/19  10:27:54.394   ","1.12","-135.7","0.333","25.4","0.5","0.195","100","1.9","19.12","0.9","10.86","0.28","9.42","0.27","6.67","0","3.71","0.27","2.02","0","1.58","0","0.33","-137","42.4","-108.6","-58.8","68.1","-71.6","76.6","-161.3","-94","0","-131.2","23.2","-151.9","-27.9","-142.3","-120.4","163.3"
"1558520875432","05/22/19  10:27:55.432   ","1.1","-136.1","0.337","25.3","0.6","0.194","100","2","19.2","0.29","11.02","0.4","9.17","0.62","6.32","0.25","3.65","0.28","1.47","0.27","1.44","0.2","0.98","-137","-178.6","-105.9","169.9","63.1","94.6","82.1","41.8","-95.8","28.4","-137.5","54.9","-136.7","121.6","-140.8","-120.4","107.8"
"1558520876420","05/22/19  10:27:56.420   ","1.08","-135.9","0.335","25.2","0.5","0.193","100","1.24","18.93","0.56","11.02","0.28","8.86","0.2","6.58","0","3.64","0","1.49","0","1.44","0","0.74","-136","-104.5","-108.7","116.3","66.2","109.7","79.1","127.4","-98.3","0","-131.6","0","-167.5","0","-175","-120.4","125.1"
"1558520877449","05/22/19  10:27:57.449   ","1.1","-136.3","0.332","25.8","0.5","0.195","100","1.63","19.37","0","11.47","0.24","9.32","0.24","6.4","0","3.66","0","1.58","0","1.28","0","0.8","-136.7","16.7","-108.9","-30.8","66.9","-85.4","77.5","-176.6","-95","0","-126","-49.2","-169","-3.8","-160.9","-120.4","70.7"
"1558520878398","05/22/19  10:27:58.398   ","1.07","-137.5","0.36","25.1","0.6","0.198","100","1.22","19.22","0.84","11.03","0.59","9.02","0.33","6.35","0.44","3.57","0.31","1.46","0","1.5","0","0.55","-137.6","100.4","-108.6","-58.7","67.3","0","76.3","54.8","-88.5","0","-136.1","85","-151.6","126.3","-135.2","-120.4","12.2"
"1558520879450","05/22/19  10:27:59.450   ","1.08","-137.4","0.342","25.6","0.6","0.195","100","1.89","19.15","0","11.42","0.47","9.12","0","6.45","0","3.56","0","1.57","0.23","1.23","0","0.57","-137.4","-176.5","-109.5","-26.8","68.9","0","75.9","0","-89.7","0","-127.3","118.4","-150.9","55.6","-139.3","-120.4","117.7"
"1558520880394","05/22/19  10:28:00.394   ","1.09","-136.6","0.352","25.5","0.6","0.197","100","1.38","19.08","0","10.94","0","9.13","0","6.55","0","3.53","0","2.14","0.37","1.74","0","0.33","-137.7","-35.5","-109","0","68.4","0","75.8","0","-91.4","0","-130.6","0","-162.7","-115","-137.8","-120.3","123.3"
"1558520881448","05/22/19  10:28:01.448   ","1.06","-137.8","0.338","25.3","0.6","0.193","100","0.81","19.07","0.53","11.35","0.26","8.68","0.33","6.75","0","3.82","0","1.39","0","1.23","0","0.9","-136.6","28.6","-109.4","0","67.3","143.8","78.6","-131.8","-95.8","0","-128.1","18.8","-148","24.6","-157.3","-120.4","153.4"
"1558520882439","05/22/19  10:28:02.439   ","1.06","-137.1","0.333","25.6","0.5","0.198","100","1.92","18.92","0.26","11.12","0.58","9.35","0.38","6.51","0.2","4.01","0","1.82","0.2","1.43","0","0.22","-137.6","165.9","-109.3","141","66.8","88.2","76.8","10.9","-95.7","29.3","-130.2","0","-150.6","103.2","-139.3","-120.5","121.7"
