"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558526454953","05/22/19  12:00:54.953   ","1558526454953","05/22/19  12:00:54.953   ","0","0","0","0","29704","0","64","512","49.97","0.3126","150.75","4095","0","0","0","-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181,-152,-111,-64,-8,51,109,161,209,253,292,339,382,415,441,448,455,447,436,408,371,343,306,273,235,213,220,218,221,224,225,226,210,189,152,113,67,22,-27,-70,-121,-169,-225,-287,-344,-392,-421,-441,-448,-458,-460,-447,-421,-402,-369,-338,-297,-278,-270,-264,-247,-238,-221,-207,-181"
"1","0","1558526472954","05/22/19  12:01:12.954   ","1558526472954","05/22/19  12:01:12.954   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182,-122,-88,-45,0,46,91,132,174,218,266,319,358,389,409,425,433,430,418,398,380,353,326,290,275,276,280,277,274,261,249,217,181,129,85,33,-20,-84,-142,-203,-252,-305,-359,-401,-434,-447,-461,-463,-469,-456,-432,-396,-372,-339,-300,-263,-223,-219,-202,-196,-188,-183,-178,-205,-182"
"2","0","1558526475223","05/22/19  12:01:15.223   ","1558526475223","05/22/19  12:01:15.223   ","0","0","0","0","29704","0","64","512","50.01","0.3126","150.75","4095","0","0","0","-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146,-98,-48,10,68,127,178,224,267,306,353,393,424,445,447,453,441,423,393,361,333,295,261,223,217,218,215,219,222,222,219,200,177,138,99,52,8,-42,-84,-135,-183,-240,-300,-355,-398,-425,-441,-450,-462,-458,-441,-419,-397,-364,-332,-293,-285,-271,-264,-247,-238,-218,-202,-173,-146"
"3","0","1558526477209","05/22/19  12:01:17.209   ","1558526477209","05/22/19  12:01:17.209   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175,-111,-76,-33,10,57,101,140,186,228,284,332,374,401,419,432,434,431,412,399,374,349,313,282,280,283,278,275,264,251,229,199,153,111,62,11,-53,-118,-176,-233,-281,-334,-379,-421,-442,-430,-436,-430,-431,-409,-375,-350,-318,-289,-254,-218,-222,-215,-219,-221,-223,-227,-218,-205,-175"
"4","0","1558526479251","05/22/19  12:01:19.251   ","1558526479251","05/22/19  12:01:19.251   ","0","0","0","0","29704","0","64","512","49.99","0.3124","150.75","4095","0","0","0","-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193,-169,-122,-69,-22,33,86,140,201,254,325,378,430,456,476,482,487,475,458,427,402,361,323,277,267,251,236,221,205,192,175,156,122,85,31,-22,-78,-134,-181,-227,-266,-303,-346,-378,-406,-410,-415,-412,-411,-396,-367,-345,-342,-318,-298,-264,-270,-268,-276,-278,-277,-272,-256,-232,-193"
"5","0","1558526480945","05/22/19  12:01:20.945   ","1558526480945","05/22/19  12:01:20.945   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208,-162,-112,-63,-10,46,108,165,227,282,346,399,442,464,484,491,493,477,453,423,388,348,305,261,241,228,209,199,188,176,162,141,115,72,27,-27,-78,-126,-171,-207,-245,-279,-317,-351,-370,-382,-384,-389,-397,-387,-366,-338,-319,-292,-266,-240,-235,-245,-252,-263,-270,-269,-261,-242,-208"
"6","0","1558526482953","05/22/19  12:01:22.953   ","1558526482953","05/22/19  12:01:22.953   ","0","0","0","0","29704","0","64","512","50","0.3126","150.75","4095","0","0","0","-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122,-89,-32,27,85,146,196,246,287,332,375,413,442,454,462,458,450,428,390,362,323,288,249,209,217,210,210,210,208,211,199,183,151,116,74,33,-11,-58,-99,-150,-193,-253,-305,-359,-392,-416,-430,-440,-450,-443,-420,-407,-381,-352,-293,-256,-244,-232,-215,-204,-196,-183,-172,-148,-122"
"7","0","1558526484943","05/22/19  12:01:24.943   ","1558526484943","05/22/19  12:01:24.943   ","0","0","0","0","29704","0","64","512","50","0.3126","150.75","4095","0","0","0","-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144,-125,-85,-46,-3,44,85,135,179,237,293,349,390,421,440,451,457,449,431,412,387,353,320,277,285,278,272,259,249,229,209,172,135,90,43,-19,-78,-143,-197,-247,-296,-338,-384,-413,-441,-447,-453,-449,-445,-427,-389,-368,-332,-300,-261,-217,-215,-201,-198,-195,-194,-192,-185,-171,-144"
"8","0","1558526486954","05/22/19  12:01:26.954   ","1558526486954","05/22/19  12:01:26.954   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124,-98,-51,6,70,130,191,245,302,357,410,442,472,481,493,485,473,443,411,379,338,301,249,232,212,202,189,181,175,165,152,126,91,48,0,-45,-94,-133,-172,-208,-243,-288,-326,-352,-369,-375,-384,-393,-390,-374,-354,-340,-319,-298,-269,-264,-281,-273,-267,-254,-243,-222,-197,-159,-124"
"9","0","1558526488946","05/22/19  12:01:28.946   ","1558526488946","05/22/19  12:01:28.946   ","0","0","0","0","29704","0","64","512","49.99","0.3124","150.75","4095","0","0","0","-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98,-61,-18,31,80,120,164,200,241,290,332,369,388,403,413,413,404,386,367,346,322,292,264,260,264,267,271,272,263,254,221,186,135,87,38,-13,-74,-129,-190,-238,-295,-347,-397,-424,-445,-453,-464,-466,-456,-427,-399,-372,-336,-303,-259,-239,-222,-212,-201,-193,-184,-175,-161,-133,-98"
