"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558525907463","05/22/19  11:51:47.463   ","10.54","-136.3","4.655","21.5","4.5","1.837","100","7.81","20.26","0.7","3.56","1.04","0.95","0.66","1.16","0","0","0","0.86","0","0.45","0","0.21","-136.1","80.4","-135.5","-89.3","70.6","98.9","-124.3","-153.6","158.2","0","0","0","-160.9","0","63.1","-120.7","-57.8"
"1558525908212","05/22/19  11:51:48.212   ","10.58","-135.9","4.675","22","4.6","1.875","100","8.63","20.19","0.37","3.7","0.86","0.82","0.73","1.11","0","0","0.21","0.69","0","0.4","0","0.21","-135.8","135.1","-134.1","-61","75.8","-161.6","-166.3","-112.9","-172.1","0","0","134.4","-167.3","0","75.6","-120.7","-49.4"
"1558525909444","05/22/19  11:51:49.444   ","10.68","-136","4.684","22.1","4.9","1.777","100","10.51","18.89","1.5","3.71","0.7","0.7","0.58","1.03","0.28","0.23","0","0.66","0.22","0.48","0","0.28","-136.2","-123.3","-130.4","7.8","75.4","-120","-131.4","-21","164.6","0","0","-167.7","-167","0","81","-120.7","-44.1"
"1558525910210","05/22/19  11:51:50.210   ","10.56","-136.9","4.646","23.4","4.9","1.774","100","10.63","18.81","1.46","3.57","0.67","0.71","0.64","1.01","0.26","0.24","0","0.68","0","0.48","0","0.31","-136.1","-65.7","-135.3","-5.5","77.3","-61.2","-119","34.4","150","-134.6","-96.9","0","-161.6","0","77.5","-120.7","-68.8"
"1558525911465","05/22/19  11:51:51.465   ","10.57","-136","4.703","22.3","4.7","1.829","100","10.57","18.86","0.49","3.41","0.42","0.81","0.61","0.78","0.21","0","0","0.87","0","0.35","0","0.23","-136.6","9.4","-130.8","-40.5","74.7","5.9","-129.3","107.5","178.9","-109.3","0","0","-171.8","0","96.3","-120.7","-74"
"1558525912212","05/22/19  11:51:52.212   ","10.51","-136.1","4.701","22","4.7","1.821","100","11.19","18.78","0.79","3.45","0.53","0.86","0.59","0.72","0.22","0","0","0.87","0","0.32","0","0.24","-136.8","57.4","-133.9","-52.7","71.1","41.4","-129.5","-175.2","164.7","-100.5","0","0","-170.6","0","69.9","-120.7","-55.5"
"1558525913457","05/22/19  11:51:53.457   ","10.55","-137","4.641","21.9","4.6","1.856","100","8.02","19.43","1.19","4.01","1.17","0.97","0.67","0.58","0","0","0.24","0.83","0","0.32","0","0.23","-136.2","138.4","-134.6","-34.3","73.2","-161.6","-175.1","-110.3","-170.5","0","-32.4","0","-176.6","0","70.9","-120.7","0"
"1558525914214","05/22/19  11:51:54.214   ","10.56","-136.9","4.655","21.7","4.6","1.877","100","7.43","19.58","1.2","4.25","1.3","1","0.59","0.63","0","0","0.21","0.86","0","0.3","0","0.26","-136.5","-143.6","-130.8","5.4","73.7","-133.8","-128.5","-45.7","-177.4","0","0","155.7","-173.5","0","77.9","-120.6","-73.3"
"1558525915462","05/22/19  11:51:55.462   ","10.52","-136","4.692","22.2","4.7","1.867","100","11.71","19.81","0.64","3.93","1.22","1.09","0.29","0.94","0.25","0","0.26","0.75","0","0.44","0","0.23","-135.9","-55.3","-133.9","-7.2","79.7","-41.4","-123.2","38","156.1","0","0","-133.7","-152.1","0","79.8","-120.6","-62.4"
