"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558527575955","05/22/19  12:19:35.955   ","1558527575955","05/22/19  12:19:35.955   ","0","0","0","0","29704","0","64","512","49.99","0.3124","150.75","4095","0","0","0","573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589,573,544,537,534,526,504,474,425,383,343,314,281,228,182,108,35,-40,-108,-166,-216,-284,-346,-410,-458,-515,-524,-538,-560,-596,-625,-644,-654,-636,-606,-596,-588,-571,-548,-498,-440,-373,-316,-270,-227,-173,-120,-53,26,96,163,218,263,318,366,407,452,476,483,481,506,537,566,577,589"
"1","0","1558527603970","05/22/19  12:20:03.970   ","1558527603970","05/22/19  12:20:03.970   ","0","0","0","0","29704","0","64","512","49.98","0.3126","150.75","4095","0","0","0","523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558,523,478,421,367,301,261,219,173,123,64,-9,-88,-156,-217,-259,-314,-366,-403,-450,-479,-494,-480,-499,-529,-563,-579,-588,-575,-548,-537,-540,-533,-524,-499,-457,-415,-366,-334,-292,-245,-187,-123,-47,28,98,161,214,286,354,412,470,516,539,535,556,591,620,642,651,641,595,584,570,558"
"2","0","1558527606143","05/22/19  12:20:06.143   ","1558527606143","05/22/19  12:20:06.143   ","0","0","0","0","29704","0","64","512","49.97","0.3126","150.75","4095","0","0","0","545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549,545,501,448,376,322,275,228,173,117,45,-33,-114,-187,-251,-306,-362,-420,-459,-506,-525,-515,-530,-545,-576,-595,-605,-606,-572,-546,-534,-534,-518,-492,-455,-406,-357,-306,-279,-244,-191,-146,-83,-13,55,112,164,214,272,338,388,454,483,497,517,546,582,619,636,650,627,600,595,590,549"
"3","0","1558527608179","05/22/19  12:20:08.179   ","1558527608179","05/22/19  12:20:08.179   ","0","0","0","0","29704","0","64","512","49.98","0.3126","150.75","4095","0","0","0","523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536,523,474,416,354,294,253,213,157,103,40,-36,-117,-183,-239,-295,-351,-405,-446,-488,-506,-491,-504,-522,-548,-578,-587,-593,-562,-541,-535,-531,-521,-498,-470,-421,-378,-335,-305,-274,-219,-165,-97,-27,56,115,200,264,331,398,452,509,537,533,550,572,605,628,645,638,609,575,570,561,536"
"4","0","1558527610199","05/22/19  12:20:10.199   ","1558527610199","05/22/19  12:20:10.199   ","0","0","0","0","29704","0","64","512","49.97","0.3126","150.75","4095","0","0","0","488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512,488,441,381,321,270,239,193,145,92,30,-47,-119,-178,-227,-277,-325,-374,-420,-461,-483,-468,-487,-514,-544,-575,-585,-590,-566,-554,-553,-559,-547,-524,-493,-445,-396,-349,-315,-262,-206,-132,-74,11,110,181,248,308,374,430,476,522,538,535,546,570,592,617,622,618,587,554,550,535,512"
"5","0","1558527612240","05/22/19  12:20:12.240   ","1558527612240","05/22/19  12:20:12.240   ","0","0","0","0","29704","0","64","512","49.96","0.3126","150.75","4095","0","0","0","466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501,466,422,364,309,267,236,196,149,94,36,-36,-102,-159,-202,-260,-309,-362,-406,-457,-480,-477,-505,-539,-582,-604,-622,-619,-596,-584,-584,-576,-564,-531,-496,-437,-372,-327,-279,-229,-169,-100,-33,76,154,226,276,336,393,434,482,516,529,519,533,560,587,599,602,588,552,536,533,522,501"
"6","0","1558527613970","05/22/19  12:20:13.970   ","1558527613970","05/22/19  12:20:13.970   ","0","0","0","0","29704","0","64","512","49.96","0.3126","150.75","4095","0","0","0","489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544,489,430,369,306,264,222,170,127,56,-14,-92,-158,-225,-278,-335,-386,-429,-473,-501,-500,-498,-511,-538,-569,-580,-590,-570,-545,-535,-530,-525,-504,-479,-433,-392,-346,-315,-286,-234,-189,-119,-49,37,96,158,207,274,341,397,463,504,525,530,555,587,619,636,652,632,606,591,585,563,544"
"7","0","1558527615955","05/22/19  12:20:15.955   ","1558527615955","05/22/19  12:20:15.955   ","0","0","0","0","29704","0","64","512","49.96","0.3126","150.75","4095","0","0","0","400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473,400,370,314,273,235,197,148,92,34,-35,-97,-160,-205,-257,-308,-357,-407,-452,-478,-472,-497,-532,-570,-600,-612,-612,-589,-586,-578,-576,-558,-534,-467,-444,-382,-336,-290,-234,-173,-105,-37,41,113,189,247,317,377,437,485,528,543,533,552,577,607,617,627,616,584,563,550,538,508,473"
"8","0","1558527617974","05/22/19  12:20:17.974   ","1558527617974","05/22/19  12:20:17.974   ","0","0","0","0","29704","0","64","512","49.98","0.3126","150.75","4095","0","0","0","428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465,428,380,335,300,272,227,176,120,49,-22,-92,-150,-196,-256,-324,-374,-445,-488,-514,-519,-547,-579,-616,-634,-648,-638,-603,-597,-586,-577,-556,-518,-457,-396,-329,-284,-236,-190,-133,-72,6,89,161,232,277,346,393,439,483,516,528,517,534,559,583,595,597,582,546,535,532,518,503,465"
"9","0","1558527619958","05/22/19  12:20:19.958   ","1558527619958","05/22/19  12:20:19.958   ","0","0","0","0","29704","0","64","512","49.97","0.3126","150.75","4095","0","0","0","463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502,463,406,353,309,261,200,135,65,-10,-87,-156,-223,-288,-350,-417,-463,-520,-535,-534,-543,-570,-594,-621,-632,-625,-598,-560,-558,-545,-523,-491,-434,-392,-327,-277,-241,-199,-158,-98,-45,30,96,156,207,255,308,356,402,447,470,465,478,507,538,571,590,601,579,560,568,565,558,533,502"
