"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558528255075","05/22/19  12:30:55.075   ","1558528255075","05/22/19  12:30:55.075   ","0","0","0","0","29705","0","64","512","49.97","0.3124","150.74","4095","0","0","0","-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-22,-22,-21,-18,-15,-11,-7,-5,-2,-1,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,22,21,18,14,10,7,4,1,-1,-2,-4,-5,-6,-6,-7,-7,-9,-10,-10,-10,-9,-9,-10,-11,-12,-14,-15"
"1","0","1558528258078","05/22/19  12:30:58.078   ","1558528258078","05/22/19  12:30:58.078   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-19,-16,-13,-9,-6,-4,-1,0,2,3,4,5,6,6,6,8,9,9,9,8,8,9,11,12,14,16,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-10,-11,-13,-14"
"2","0","1558528260082","05/22/19  12:31:00.082   ","1558528260082","05/22/19  12:31:00.082   ","0","0","0","0","29705","0","64","512","49.99","0.3124","150.74","4095","0","0","0","-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,20,22,23,23,22,19,14,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14"
"3","0","1558528263016","05/22/19  12:31:03.016   ","1558528263016","05/22/19  12:31:03.016   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-11,-7,-5,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12"
"4","0","1558528265027","05/22/19  12:31:05.027   ","1558528265027","05/22/19  12:31:05.027   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-11,-10,-9,-9,-10,-11"
"5","0","1558528267046","05/22/19  12:31:07.046   ","1558528267046","05/22/19  12:31:07.046   ","0","0","0","0","29705","0","64","512","49.97","0.3126","150.74","4095","0","0","0","-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10,-12,-13,-15,-16,-18,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,16,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-10"
"6","0","1558528269042","05/22/19  12:31:09.042   ","1558528269042","05/22/19  12:31:09.042   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,20,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-9,-11"
"7","0","1558528271031","05/22/19  12:31:11.031   ","1558528271031","05/22/19  12:31:11.031   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-21,-19,-17,-13,-9,-6,-4,-2,0,1,3,4,4,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,5,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10"
"8","0","1558528273031","05/22/19  12:31:13.031   ","1558528273031","05/22/19  12:31:13.031   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-20,-16,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,15,17,19,21,22,23,23,21,17,13,9,6,3,0,-1,-3,-4,-6,-6,-7,-7,-8,-10,-11,-11,-10,-9,-10,-10"
"9","0","1558528275066","05/22/19  12:31:15.066   ","1558528275066","05/22/19  12:31:15.066   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,21,22,23,22,19,15,11,7,4,1,0,-2,-4,-5,-6,-7,-7,-7,-9,-10,-11,-10,-9,-9,-10"
