"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558527677644","05/22/19  12:21:17.644   ","0.79","-155.5","0.248","22.7","0.4","0.224","100","2.37","7.61","1.57","14.04","0.8","7.11","1.07","11.42","0.8","6.8","0.95","6.45","0.43","3","0.61","1.49","-155.1","22.6","-92.1","-65.7","62.5","-137.6","73.4","148.8","-111.7","90.8","-152.9","-0.3","-167.3","-90.4","158.6","-120.4","65.6"
"1558527678514","05/22/19  12:21:18.514   ","0.79","-155.1","0.247","23.1","0.4","0.223","100","1.44","7.79","1.09","13.88","0.67","7.35","0.59","11.62","0","6.39","0.91","6.66","0.32","3.14","0.46","1.88","-155.1","-153.6","-95","-30.2","64","-133.1","75","136.4","-111.5","0","-153.4","14.7","-169.1","-56.5","152.6","-120.5","65.3"
"1558527679671","05/22/19  12:21:19.671   ","0.79","-155.4","0.247","23","0.4","0.224","100","2.88","7.31","0.54","13.83","0.26","7.39","0.3","11.6","0.46","6.89","0.45","6.94","0","3.55","0","1.94","-155.3","-134.7","-87","65.6","61.7","91.1","75.1","6.4","-112.7","-110.8","-154.5","-26","-167.8","165.3","155.2","-120.4","68.4"
"1558527680453","05/22/19  12:21:20.453   ","0.78","-155.4","0.248","23.2","0.4","0.224","100","0.48","7.6","0.43","13.86","0.44","7.01","0.49","11.53","0.59","6.85","0.41","6.74","0.34","3.06","0.22","1.83","-155","27.8","-92.2","178.6","63.3","62.5","74.1","12.5","-112","-96.9","-155.7","-32.1","-168.1","162.2","152.8","-120.5","71.4"
"1558527681670","05/22/19  12:21:21.670   ","0.79","-155.3","0.249","23","0.4","0.224","100","1.81","7.26","1.68","13.55","0.68","6.73","0.65","11.15","0.64","6.79","0.71","6.49","0.23","3.27","0.28","1.44","-155.5","68.8","-86.9","-51.1","63.2","-152.6","76.6","86.9","-113.1","73.1","-158.3","-12.4","-165.4","0","154.5","-120.5","71"
"1558527682401","05/22/19  12:21:22.401   ","0.79","-155.3","0.246","22.7","0.4","0.224","100","1.98","7.53","0.87","13.89","0.73","7.28","0.66","11.99","0.36","6.57","0.91","6.75","0.56","2.73","0.62","1.7","-154.9","-130.4","-93.7","-6.5","63.8","179.9","72.9","103.6","-113.1","-131.2","-151.4","32.7","-170.4","-129.5","155.3","-120.5","72.2"
"1558527683669","05/22/19  12:21:23.669   ","0.79","-155.1","0.249","23.7","0.4","0.227","100","2.27","7.31","0.62","13.65","0.53","6.45","0.81","11.59","0.27","6.99","0.32","6.48","0.59","3.03","0.58","1.75","-155.4","-89.4","-89.8","0","63.6","141.9","76.7","125.4","-111.3","-160.2","-154.1","-25.6","-167.8","-142.6","153.2","-120.5","72.5"
"1558527684404","05/22/19  12:21:24.404   ","0.79","-155.5","0.25","22.9","0.4","0.224","100","1.96","6.89","1.69","13.7","0.85","6.97","0.67","11.72","0.49","7.06","1","6.44","0.54","3.16","0.35","1.4","-155.4","46.2","-86.5","-62.8","62.4","-135.2","76.6","129.4","-112","13.8","-155.4","-4.2","-170.3","-75.1","161","-120.4","63.4"
"1558527685677","05/22/19  12:21:25.677   ","0.79","-155","0.249","23.7","0.4","0.224","100","2.95","7.3","0.43","13.69","1.13","6.51","0.86","11.49","0.37","6.87","0.4","6.18","0.71","2.8","0.41","1.74","-155.6","166.9","-89.7","137.1","62.6","74","76.6","7.8","-112.8","-149.1","-156.5","0","-165.4","145.2","162.8","-120.5","65.4"
