FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5585252629390000e+12
1,119,1.5585252729470000e+12
2,119,1.5585252749540000e+12
3,119,1.5585252769420000e+12
4,119,1.5585252789540000e+12
5,119,1.5585252809790000e+12
6,119,1.5585252830290000e+12
7,119,1.5585252850580000e+12
8,119,1.5585252870980000e+12
9,119,1.5585252891280000e+12
10,119,1.5585252909750000e+12
11,119,1.5585252930070000e+12
12,119,1.5585252950130000e+12
13,119,1.5585252969880000e+12
14,119,1.5585252989460000e+12
15,119,1.5585253009630000e+12
16,119,1.5585253029940000e+12
17,119,1.5585253050470000e+12
18,119,1.5585253070790000e+12
19,119,1.5585253091250000e+12
20,119,1.5585253111290000e+12
21,119,1.5585253131520000e+12
22,119,1.5585253152110000e+12
23,119,1.5585253172290000e+12
24,119,1.5585253189370000e+12
25,119,1.5585253209470000e+12
26,119,1.5585253229510000e+12
27,119,1.5585253249470000e+12
28,119,1.5585253269460000e+12
29,119,1.5585253289470000e+12
30,119,1.5585253309400000e+12
31,119,1.5585253329430000e+12
32,119,1.5585253349480000e+12
33,119,1.5585253369700000e+12
34,119,1.5585253390030000e+12
35,119,1.5585253410310000e+12
36,119,1.5585253430630000e+12
37,119,1.5585253451070000e+12
38,119,1.5585253471380000e+12
39,119,1.5585253489920000e+12
40,119,1.5585253510130000e+12
41,119,1.5585253529970000e+12
42,119,1.5585253549980000e+12
43,119,1.5585253569420000e+12
44,119,1.5585253589940000e+12
45,119,1.5585253610090000e+12
46,119,1.5585253630530000e+12
47,119,1.5585253650630000e+12
48,119,1.5585253671090000e+12
49,119,1.5585253691160000e+12
50,119,1.5585253711810000e+12
51,119,1.5585253731990000e+12
52,119,1.5585253752380000e+12
53,119,1.5585253769530000e+12
54,119,1.5585253789400000e+12
55,119,1.5585253809460000e+12
56,119,1.5585253829380000e+12
57,119,1.5585253849430000e+12
58,119,1.5585253869410000e+12
59,119,1.5585253889470000e+12
60,119,1.5585253909430000e+12
61,119,1.5585253929570000e+12
62,119,1.5585253949780000e+12
63,119,1.5585253970080000e+12
64,119,1.5585253990530000e+12
65,119,1.5585254010730000e+12
66,119,1.5585254429550000e+12
67,119,1.5585254449440000e+12
68,119,1.5585254469480000e+12
69,119,1.5585254489600000e+12
70,119,1.5585254509590000e+12
71,119,1.5585254529820000e+12
72,119,1.5585254550210000e+12
73,119,1.5585254570420000e+12
74,119,1.5585254590750000e+12
75,119,1.5585254610990000e+12
76,119,1.5585254631490000e+12
77,119,1.5585254650020000e+12
78,119,1.5585254669950000e+12
79,119,1.5585254689980000e+12
80,119,1.5585254709410000e+12
81,119,1.5585254729600000e+12
82,119,1.5585254749580000e+12
83,119,1.5585254770060000e+12
84,119,1.5585254790430000e+12
85,119,1.5585254810710000e+12
86,119,1.5585254831020000e+12
87,119,1.5585254851220000e+12
88,119,1.5585254871610000e+12
89,119,1.5585254892010000e+12
90,119,1.5585254912490000e+12
91,119,1.5585254929550000e+12
92,119,1.5585254949490000e+12
93,119,1.5585254969430000e+12
94,119,1.5585254989500000e+12
95,119,1.5585255009450000e+12
96,119,1.5585255029400000e+12
97,119,1.5585255049490000e+12
98,119,1.5585255069460000e+12
99,119,1.5585255749540000e+12
100,119,1.5585255809380000e+12
101,119,1.5585255829420000e+12
102,119,1.5585255850000000e+12
103,119,1.5585255870400000e+12
104,119,1.5585255890760000e+12
105,119,1.5585255910690000e+12
106,119,1.5585255930940000e+12
107,119,1.5585255951340000e+12
108,119,1.5585255971360000e+12
109,119,1.5585255991970000e+12
110,119,1.5585256012250000e+12
111,119,1.5585256029390000e+12
112,119,1.5585256049550000e+12
113,119,1.5585256069490000e+12
114,119,1.5585256089440000e+12
115,119,1.5585256109540000e+12
116,119,1.5585256129550000e+12
117,119,1.5585256149500000e+12
118,119,1.5585256169410000e+12
119,119,1.5585256189450000e+12
120,119,1.5585256209750000e+12
121,119,1.5585256230060000e+12
122,119,1.5585256250400000e+12
123,119,1.5585256270720000e+12
124,119,1.5585256291220000e+12
125,119,1.5585256311350000e+12
126,119,1.5585256329930000e+12
127,119,1.5585256350170000e+12
128,119,1.5585256370100000e+12
129,119,1.5585256390090000e+12
130,119,1.5585256409440000e+12
131,119,1.5585256429780000e+12
132,119,1.5585256450050000e+12
133,119,1.5585256470860000e+12
134,119,1.5585256491160000e+12
135,119,1.5585256511120000e+12
136,119,1.5585256531130000e+12
137,119,1.5585256551440000e+12
138,119,1.5585256571830000e+12
139,119,1.5585256592210000e+12
140,119,1.5585256609510000e+12
141,119,1.5585256629460000e+12
142,119,1.5585256649450000e+12
143,119,1.5585256669550000e+12
144,119,1.5585256689510000e+12
145,119,1.5585256709440000e+12
146,119,1.5585256729460000e+12
147,119,1.5585256749530000e+12
148,119,1.5585256769570000e+12
149,119,1.5585256789550000e+12
150,119,1.5585256810180000e+12
151,119,1.5585256830100000e+12
152,119,1.5585256850700000e+12
153,119,1.5585256871190000e+12
154,119,1.5585256891210000e+12
155,119,1.5585256910010000e+12
156,119,1.5585256930020000e+12
157,119,1.5585256950010000e+12
158,119,1.5585256969620000e+12
159,119,1.5585256989480000e+12
160,119,1.5585257009640000e+12
161,119,1.5585257029950000e+12
162,119,1.5585257050870000e+12
163,119,1.5585257070820000e+12
164,119,1.5585257091280000e+12
165,119,1.5585257111410000e+12
166,119,1.5585257131720000e+12
167,119,1.5585257151830000e+12
168,119,1.5585257172240000e+12
169,119,1.5585257189450000e+12
170,119,1.5585257209440000e+12
171,119,1.5585257229500000e+12
172,119,1.5585257249400000e+12
173,119,1.5585257269400000e+12
174,119,1.5585257289480000e+12
175,119,1.5585257309500000e+12
176,119,1.5585257329580000e+12
177,119,1.5585257349450000e+12
178,119,1.5585257369820000e+12
179,119,1.5585257390070000e+12
180,119,1.5585257410560000e+12
181,119,1.5585257430680000e+12
182,119,1.5585257451260000e+12
183,119,1.5585257471240000e+12
184,119,1.5585257490120000e+12
185,119,1.5585257510190000e+12
186,119,1.5585257530010000e+12
187,119,1.5585257549500000e+12
188,119,1.5585257569450000e+12
189,119,1.5585257589780000e+12
190,119,1.5585257610030000e+12
191,119,1.5585257630290000e+12
192,119,1.5585257650980000e+12
193,119,1.5585257671040000e+12
194,119,1.5585257691320000e+12
195,119,1.5585257711540000e+12
196,119,1.5585257731960000e+12
197,119,1.5585257752350000e+12
198,119,1.5585257772680000e+12
199,119,1.5585257869520000e+12
200,119,1.5585257889460000e+12
201,119,1.5585257909540000e+12
202,119,1.5585257929570000e+12
203,119,1.5585257949720000e+12
204,119,1.5585257970010000e+12
205,119,1.5585257990330000e+12
206,119,1.5585258010940000e+12
207,119,1.5585258031130000e+12
208,119,1.5585258051370000e+12
209,119,1.5585258070090000e+12
210,119,1.5585258089930000e+12
211,119,1.5585258110020000e+12
212,119,1.5585258130120000e+12
213,119,1.5585258149500000e+12
214,119,1.5585259049540000e+12
215,119,1.5585259189490000e+12
216,119,1.5585259212910000e+12
217,119,1.5585259229510000e+12
218,119,1.5585259249400000e+12
219,119,1.5585259269430000e+12
220,119,1.5585259289430000e+12
221,119,1.5585259309440000e+12
222,119,1.5585259329520000e+12
223,119,1.5585259349490000e+12
224,119,1.5585259369480000e+12
225,119,1.5585259389520000e+12
226,119,1.5585259409890000e+12
227,119,1.5585259430460000e+12
228,119,1.5585259450760000e+12
229,119,1.5585259471080000e+12
230,119,1.5585259491650000e+12
231,119,1.5585259509940000e+12
232,119,1.5585259530070000e+12
233,119,1.5585259549960000e+12
234,119,1.5585259569480000e+12
235,119,1.5585259589430000e+12
236,119,1.5585259609680000e+12
237,119,1.5585259629960000e+12
238,119,1.5585259650230000e+12
239,119,1.5585259670790000e+12
240,119,1.5585259690950000e+12
241,119,1.5585259711350000e+12
242,119,1.5585259731510000e+12
243,119,1.5585259751940000e+12
244,119,1.5585259772270000e+12
245,119,1.5585259789460000e+12
246,119,1.5585259809560000e+12
247,119,1.5585259829690000e+12
248,119,1.5585259849520000e+12
249,119,1.5585259869440000e+12
250,119,1.5585259889440000e+12
251,119,1.5585259909460000e+12
252,119,1.5585259929480000e+12
253,119,1.5585259949410000e+12
254,119,1.5585259969540000e+12
255,119,1.5585259990050000e+12
256,119,1.5585260089420000e+12
257,119,1.5585260110090000e+12
258,119,1.5585260130120000e+12
259,119,1.5585260149450000e+12
260,119,1.5585260169600000e+12
261,119,1.5585260189790000e+12
262,119,1.5585260210000000e+12
263,119,1.5585260230390000e+12
264,119,1.5585260250810000e+12
265,119,1.5585260271180000e+12
266,119,1.5585260291470000e+12
