"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","V1 Ang","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","34832","4200"
"1558524709450","05/22/19  11:31:49.450   ","4.83","-27.1","2.967","17.6","1.7","1.726","100","17.09","2.75","0.83","3.03","1.74","0.8","0.76","0.34","0","0.33","0.24","0","0","0","0","0","-25.5","47.1","-81.2","-110.7","106.6","-155.5","0","-175.3","-119.3","-141.5","-84.4","112.8","169.8","0","0","0","-59.4"
"1558524710226","05/22/19  11:31:50.226   ","4.84","-26.1","2.972","19","1.8","1.71","100","17.36","1.97","0.92","2.87","1.64","0.39","0.67","0.37","0.39","0.32","0","0.26","0","0","0","0","-25.6","-164.6","-96.7","93.1","102.6","3.1","144.7","-40.3","-149.2","4.4","-86.9","0","112.9","0","0","0","0"
"1558524711476","05/22/19  11:31:51.476   ","4.81","-25.6","2.959","17.7","1.7","1.718","100","18.16","3.11","1.01","2.26","2.1","0","0.72","0.56","0.27","0.37","0.24","0.23","0","0","0","0","-25.9","56.4","-75.7","-123.9","103.3","-150.9","0","-169.5","-107.9","-137.4","-83.6","116.8","176.7","0","0","0","0"
"1558524712216","05/22/19  11:31:52.216   ","4.83","-27.7","2.993","19","1.8","1.703","100","17.54","2.67","0.81","2.64","1.88","0.32","0.69","0.49","0.34","0.33","0","0.28","0","0","0","0","-25.5","-152.5","-88.9","78.7","99.5","11.3","150.8","-26.8","-134.1","10.3","-85.9","0","141.4","0","0","0","0"
"1558524713449","05/22/19  11:31:53.449   ","4.82","-27.7","2.976","17.9","1.7","1.751","100","18.1","1.9","0.76","2.08","1.27","0.7","0.52","0","0","0.24","0.32","0","0","0","0","0","-26.7","72","-69.5","-146.1","97.2","-141.7","-39.1","-156.3","-90.4","0","-78","134.2","-148.4","0","0","0","0"
"1558524714244","05/22/19  11:31:54.244   ","4.82","-27.4","2.985","18.1","1.8","1.697","100","17.63","3.69","0.66","2.52","2.13","0","0.69","0.54","0.28","0.3","0.2","0.26","0","0","0","0","-25.4","-136.8","-79.9","52.8","101","20.5","0","-7.3","-115","19.2","-86.3","-57.1","158.3","0","0","0","0"
"1558524715487","05/22/19  11:31:55.487   ","4.81","-26.6","2.981","17.9","1.7","1.753","100","17.42","3.55","1.25","3.08","1.97","0.61","0.82","0.5","0","0.25","0.25","0","0","0","0","0","-27.8","87.6","-63","-156","100.9","-136.5","-33.2","-153.2","-63","0","-95.8","147.1","0","0","0","0","0"
"1558524716219","05/22/19  11:31:56.219   ","4.82","-26.4","2.977","18.7","1.8","1.726","100","18.14","4.36","0.86","2.5","2.17","0","0.77","0.56","0.25","0.32","0.23","0.24","0","0","0","0","-25.9","-119.9","-67.7","28.7","99.2","29.8","0","14.4","-98.3","29.5","-90.7","-46.9","-169.3","0","0","0","0"
"1558524717465","05/22/19  11:31:57.465   ","4.84","-26.9","2.982","18.3","1.8","1.74","100","17.19","0.97","1.17","3.14","1.2","0.55","0.7","0","0.27","0","0","0.25","0.23","0","0","0","-28.4","109.3","-50","-171.9","112.8","-137.3","-11.5","-172.8","-73.9","0","-91.2","0","0","0","0","0","0"
"1558524718210","05/22/19  11:31:58.210   ","4.78","-25.6","2.967","18.7","1.8","1.761","100","17.96","4.45","1.04","3.04","2.02","0.5","0.99","0.42","0.2","0.31","0.23","0.2","0","0","0","0","-26.8","-100.1","-53.7","33","100.5","39.4","-54.1","18.1","-60.5","42.4","-98.4","-51","-125.4","0","0","0","0"
"1558524719460","05/22/19  11:31:59.460   ","4.8","-26.1","2.972","19","1.8","1.722","100","17.32","1.66","0.96","3.09","1.46","0.44","0.69","0.29","0.35","0.28","0","0.25","0","0","0","0","-28.4","133.9","-41.3","139.6","97","-106.9","59","-143.2","0","0","-57.5","130.1","0","0","0","0","0"
"1558524720214","05/22/19  11:32:00.214   ","4.73","-25.4","2.946","18.2","1.8","1.793","100","17.2","4.3","0.88","3.54","1.5","1.05","0.92","0","0.23","0.54","0.28","0.21","0","0","0","0.31","-27.4","-77.1","-39.4","12.2","119","42.2","-39.4","18.1","0","154.6","-116","-57.8","-40","0","0","0","0"
"1558524721455","05/22/19  11:32:01.455   ","4.77","-25.3","2.977","18.7","1.8","1.7","100","17.52","2.78","0.81","2.64","1.92","0.34","0.66","0.51","0.36","0.34","0","0.24","0","0","0","0","-27.5","154.6","-65.6","130.5","91.7","-58.9","126.7","-102.9","0","-12.6","0","0","45","0","0","0","0"
"1558524722331","05/22/19  11:32:02.331   ","4.8","-27.7","2.96","18.8","1.8","1.709","100","18.19","4.53","0.97","2.59","2.13","0","0.81","0.44","0.23","0.32","0.24","0.22","0","0","0","0","-26.3","-110.6","-60.5","29.2","98.8","35.2","0","19.2","-83.1","44.5","-90.2","-42.8","-135.6","0","0","0","0"
