"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"0","                         ","34320","36368","15","5900","7436","271","30","286","542","798","1054","1310","1566","1822","2078","2334","2590","2846","3102","3358","3614","3870","4126","106","362","618","874","106","362","618","874","1130","1386","1642","1898","2154","2410","2666","35344","3178"
"1558525365482","05/22/19  11:42:45.482   ","4.89","85.1","2.961","18.9","1.9","1.678","100","19.4","4.87","1.75","1.75","1.3","0.33","0.69","0.51","0.33","0.41","0","0.25","0","0","0","0","86.3","107.2","-85.7","161.7","84.5","50.9","-160.3","-135.4","-9","-38.5","141.3","137.5","26.6","0","0","119.5","76.5"
"1558525366224","05/22/19  11:42:46.224   ","4.96","85.1","2.971","19.8","1.9","1.736","100","18.77","2.12","0.76","1.39","1.32","0.29","0.71","0.23","0","0","0","0","0","0","0","0","84.5","-110.3","-66.5","28.3","84.1","-170.7","-46.3","103","-18.8","84.9","0","-59.1","-8.8","49","107.3","119.4","0"
"1558525367489","05/22/19  11:42:47.489   ","4.86","85","2.967","18.8","1.9","1.691","100","19.2","5.12","1.68","1.77","1.55","0.37","0.67","0.62","0.34","0.39","0","0.29","0","0","0","0","86.1","96.4","-92.3","-164.5","84.1","38.4","99.3","-128.3","-16.9","-58.1","138.9","128.8","47.2","-122.6","0","119.5","54.4"
"1558525368224","05/22/19  11:42:48.224   ","4.92","85","2.969","19.5","1.9","1.732","100","18.77","1.87","0.93","1.35","1.32","0.48","0.7","0","0","0.27","0","0","0","0","0","0","84.1","-121.7","-56.8","41.5","84.6","178.3","-49.2","111.6","-6.8","69.6","-177.3","-75","-24.8","32.9","103.3","119.4","65.6"
"1558525369511","05/22/19  11:42:49.511   ","4.85","84.9","2.973","19.2","2","1.732","100","18.09","2.73","0.73","2.29","1.74","0.31","0.72","0.44","0","0","0","0","0","0","0","0.22","86","85.6","-98.9","-145.4","84","27.6","-2.3","-110.4","-22.9","-61","0","132.9","36.1","0","0","119.4","47.9"
"1558525370219","05/22/19  11:42:50.219   ","4.9","85","2.968","19.2","1.9","1.73","100","18.64","1.79","1.15","1.96","1.35","0.38","0.78","0","0","0.28","0","0","0","0","0","0","83.8","-134.1","-38.2","52","84.8","166.8","-53.5","112.9","0.6","60.1","149.6","-87.5","-44.2","27.3","93.9","119.5","52.1"
"1558525371500","05/22/19  11:42:51.500   ","4.84","84.8","2.965","19.4","1.9","1.723","100","18.08","2.23","0.87","1.93","1.57","0","0.72","0","0","0","0","0","0","0","0","0.21","85.8","75.9","-103.5","-138.6","84","17.4","-29.1","-93.9","-22.7","-67.9","-157.5","122.8","20.1","0","128","119.5","25.9"
"1558525372244","05/22/19  11:42:52.244   ","4.92","85.1","2.956","19.2","1.9","1.678","100","18.63","2.08","1.18","2.49","1.4","0.25","0.78","0","0","0.39","0","0","0","0","0","0","85.2","155.7","-59.1","115.1","85.2","155.7","-59.1","115.1","2.1","51.7","130.7","-99.9","-60.5","28.9","87.5","119.4","47.3"
"1558525373525","05/22/19  11:42:53.525   ","4.86","84.1","2.976","19.8","1.9","1.75","100","18.41","1.5","1.21","1.82","1.37","0.39","0.72","0","0","0","0","0","0","0","0","0","85.2","66","-112.1","-135.9","83.9","8.7","-36","-89.9","-19.4","-84.5","-174.8","115.1","3.3","-168.2","131.2","119.4","11"
"1558525374226","05/22/19  11:42:54.226   ","4.85","85","2.952","19","1.9","1.688","100","18.55","2.52","1.17","2.44","1.16","0","0.67","0.29","0","0.33","0","0","0","0","0","0","83.7","-156.7","-41","80.3","85.5","145.9","-63.9","115.1","2.3","45.7","127.6","-108.4","-73.2","18.6","78","119.5","29"
"1558525375503","05/22/19  11:42:55.503   ","4.89","83.8","2.964","19.9","1.8","1.739","100","18.24","0.75","1.43","2.19","1.12","0.57","0.82","0.2","0","0.23","0","0","0","0","0","0.23","85","56.1","-136.5","-137.5","84.2","-0.7","-35.5","-82.8","-12.5","-105.9","169","102.7","-14.4","-176.2","138.7","119.4","0"
"1558525376224","05/22/19  11:42:56.224   ","4.85","84.8","2.947","19.1","1.9","1.67","100","18.92","2.99","1.3","2.18","0.98","0","0.71","0.29","0","0.29","0","0","0","0","0","0","83.9","-164.8","-46","95.6","85.9","137.3","-69.7","114.3","2.2","40.2","107.3","-119.6","-80.9","-1.2","73.6","119.4","0"
"1558525377499","05/22/19  11:42:57.499   ","4.91","83.8","2.966","20.2","2","1.754","100","18.22","0.31","1.43","2.64","1.07","0.69","0.82","0.34","0","0.31","0","0.21","0","0","0","0.2","84.4","46","145.7","-139.7","84.2","-9.5","-40","-77.6","-11.9","-121.4","151.5","98.4","-29.6","176.8","122.4","119.4","-33.3"
"1558525378233","05/22/19  11:42:58.233   ","4.99","84.4","2.951","19.1","1.9","1.665","100","19.09","3.44","1.37","1.87","0.94","0.25","0.73","0.31","0.21","0.27","0","0.22","0","0","0","0","84.1","-173.8","-48.5","105.4","86.1","128.3","-74.2","117","1","34.4","97.3","-128.1","-86.9","-18.5","71.5","119.5","-0.5"
