"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558528918960","05/22/19  12:41:58.960   ","1558528918960","05/22/19  12:41:58.960   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22,26,34,42,45,51,52,49,36,40,43,49,52,58,59,46,42,46,51,50,49,48,46,37,40,44,41,36,25,12,-1,-13,-21,-25,-33,-41,-45,-50,-51,-46,-35,-37,-42,-47,-51,-57,-55,-47,-40,-45,-49,-50,-48,-48,-45,-35,-38,-43,-41,-35,-25,-12,2,16,22"
"1","0","1558528922972","05/22/19  12:42:02.972   ","1558528922972","05/22/19  12:42:02.972   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13,22,26,33,40,47,51,53,46,36,38,42,48,52,58,59,47,41,44,49,51,48,46,42,39,39,43,42,33,27,16,0,-12,-22,-25,-32,-39,-45,-50,-51,-46,-34,-37,-42,-46,-51,-56,-57,-47,-41,-43,-48,-49,-49,-47,-42,-39,-38,-43,-41,-34,-26,-16,0,13"
"2","0","1558528924977","05/22/19  12:42:04.977   ","1558528924977","05/22/19  12:42:04.977   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0,11,23,25,32,39,46,50,52,50,36,37,41,48,51,57,60,48,40,44,51,48,48,47,43,42,36,42,42,34,28,17,1,-11,-21,-23,-31,-39,-44,-48,-51,-49,-34,-35,-40,-45,-50,-55,-58,-48,-40,-42,-49,-48,-48,-48,-41,-39,-38,-44,-41,-33,-28,-17,0"
"3","0","1558528926967","05/22/19  12:42:06.967   ","1558528926967","05/22/19  12:42:06.967   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19,-1,11,22,24,31,40,45,50,53,51,36,37,41,48,52,56,60,50,41,44,49,51,49,47,42,41,38,43,41,33,29,18,2,-11,-21,-23,-29,-39,-44,-49,-51,-48,-36,-37,-41,-47,-51,-55,-59,-51,-41,-41,-48,-49,-49,-46,-41,-41,-37,-43,-42,-31,-29,-19"
"4","0","1558528928958","05/22/19  12:42:08.958   ","1558528928958","05/22/19  12:42:08.958   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17,0,12,22,24,33,41,46,49,52,50,36,37,42,47,52,56,59,49,43,42,48,50,49,47,42,40,37,42,42,34,28,17,1,-11,-22,-23,-31,-39,-44,-48,-51,-48,-35,-36,-40,-46,-50,-55,-58,-48,-41,-42,-47,-49,-50,-46,-40,-40,-37,-43,-41,-32,-28,-17"
"5","0","1558528930971","05/22/19  12:42:10.971   ","1558528930971","05/22/19  12:42:10.971   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31,-18,-6,12,20,24,26,37,44,49,53,52,38,36,41,46,49,55,60,53,43,44,47,48,51,48,47,38,37,43,43,35,31,18,6,-9,-18,-24,-26,-37,-43,-49,-51,-49,-37,-35,-39,-45,-47,-54,-59,-54,-41,-43,-46,-48,-49,-47,-46,-38,-37,-41,-43,-34,-31"
"6","0","1558528932961","05/22/19  12:42:12.961   ","1558528932961","05/22/19  12:42:12.961   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32,-22,-8,5,18,25,27,35,44,47,51,53,44,36,39,44,46,55,60,55,43,41,44,49,51,48,47,42,36,40,43,40,31,22,8,-4,-18,-25,-26,-34,-43,-46,-50,-51,-42,-34,-37,-43,-45,-53,-58,-55,-41,-39,-43,-48,-50,-48,-46,-43,-34,-39,-45,-39,-32"
"7","0","1558528934981","05/22/19  12:42:14.981   ","1558528934981","05/22/19  12:42:14.981   ","0","0","0","0","29703","0","64","512","50","0.3122","150.71","4095","0","0","0","-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56,-44,-30,-14,0,8,13,21,33,37,46,48,43,37,39,46,52,58,66,66,59,54,60,66,68,68,68,67,58,61,66,62,55,43,31,17,1,-9,-12,-21,-30,-38,-44,-46,-42,-32,-38,-45,-52,-57,-65,-65,-55,-54,-59,-65,-68,-68,-65,-64,-58,-60,-64,-61,-56"
"8","0","1558528937021","05/22/19  12:42:17.021   ","1558528937021","05/22/19  12:42:17.021   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40,-31,-29,-16,0,13,22,25,32,40,47,50,53,49,39,36,43,47,51,56,59,49,42,43,49,50,49,47,43,41,36,43,41,34,27,16,1,-11,-21,-24,-32,-40,-45,-49,-50,-49,-36,-37,-41,-46,-50,-56,-58,-49,-39,-42,-49,-49,-48,-46,-40,-39,-38,-43,-40"
"9","0","1558528939040","05/22/19  12:42:19.040   ","1558528939040","05/22/19  12:42:19.040   ","0","0","0","0","29703","0","64","512","49.99","0.3126","150.71","4095","0","0","0","-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42,-40,-34,-29,-16,0,10,22,23,32,41,45,49,52,51,37,38,41,47,51,56,60,50,43,42,48,51,48,48,42,41,37,41,42,34,29,17,1,-11,-20,-22,-30,-39,-45,-48,-51,-50,-37,-36,-40,-46,-51,-56,-59,-49,-41,-42,-47,-50,-47,-47,-42,-39,-37,-42"
