"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558521490661","05/22/19  10:38:10.661   ","1.35","-129.3","0.402","27.1","0.7","0.175","100","2.74","21.07","1.24","10.57","0.41","9.29","0.36","5.04","0","1.71","0.2","1.51","0","0.83","0.24","0.91","-129.7","-119.9","-141.2","-6.3","98.6","147.4","91.9","-175.1","-81.1","0","-144","43.8","147.9","0","150.1","-120.4","7.8"
"1558521491651","05/22/19  10:38:11.651   ","1.34","-129.5","0.403","26.2","0.7","0.175","100","3.13","21.44","0","10.53","0.88","9.45","0.43","5.24","0.45","1.68","0.39","1.71","0.4","1.19","0","1.13","-129.4","-129.8","-141.7","0","98","93.5","91.2","6.5","-82","-64.1","-148.2","-149.4","136.2","164.9","127.4","-120.5","-7.1"
"1558521492689","05/22/19  10:38:12.689   ","1.42","-129.3","0.401","25.6","0.7","0.173","100","2.77","21.01","1.57","9.34","0.41","8.94","0","4.96","0","1.67","0.31","1.63","0","1.09","0.31","0.82","-129.4","-167.2","-141","-18.5","98.6","147","91.5","167.7","-85.9","0","-145.7","0","146.1","0","133.8","-120.5","0.7"
"1558521493655","05/22/19  10:38:13.655   ","1.33","-130.2","0.403","26.4","0.7","0.177","100","2.53","21.27","1.94","10.39","0.52","9.38","0.64","5.02","0","1.53","0.21","1.56","0","0.91","0.27","0.94","-129.9","-127.5","-140.5","-8.2","96.8","168","92.2","169.9","-85.7","0","-150.9","40.3","138","0","134.5","-120.5","22.8"
"1558521494662","05/22/19  10:38:14.662   ","1.36","-129.5","0.404","27","0.7","0.176","100","3.92","21.43","0.82","10.42","0.79","9.17","0.22","5.28","0.31","1.74","0","1.9","0.33","0.83","0","1.34","-130.3","-124.3","-142.8","54.6","96.3","98.4","88.4","-42","-81.7","-109.6","-149.9","158.8","145.9","160.5","132.9","-120.4","27.6"
"1558521495662","05/22/19  10:38:15.662   ","1.33","-130.4","0.401","26.8","0.7","0.18","100","2.51","21.17","1.35","10.81","0.78","9.52","0.35","5.14","0.24","1.67","0.26","1.64","0","0.81","0","1.03","-130","-155.9","-140.3","-19.6","98.3","83.9","93.2","-63.4","-83.1","-122.1","-151.9","26.4","144.7","0","144.6","-120.4","32.9"
"1558521496673","05/22/19  10:38:16.673   ","1.33","-129.7","0.406","26.7","0.7","0.178","100","3.64","21.55","1.76","10.78","0.72","9.61","0.46","5.18","0.24","1.5","0","1.53","0.26","0.75","0","0.86","-130.4","-145","-139.8","-11.4","96.8","111.2","92.5","0","-79.4","2.3","-130.6","0","139.8","0","147.6","-120.5","10.2"
"1558521497661","05/22/19  10:38:17.661   ","1.33","-129.2","0.403","27.2","0.7","0.181","100","4.17","21.37","1.08","10.62","1.01","9.67","0.27","5.26","0.49","1.74","0.29","1.49","0.34","1.05","0.34","0.7","-130.6","-122.9","-140.3","18.5","96.3","88.5","93.2","-34.8","-84.5","-102.2","-151.4","177.2","146.6","117.9","141.2","-120.4","34.7"
"1558521498674","05/22/19  10:38:18.674   ","1.34","-129.8","0.4","26.6","0.7","0.175","100","1.29","21.53","2.2","10.75","0.35","9.57","0.68","4.91","0","1.43","0","1.15","0","0.74","0.35","0.64","-130.1","-101.2","-140.3","-20.8","96","167.4","92.5","174.3","-83.2","44.4","-147.5","-40.7","136.1","-82","136.2","-120.5","34.3"
"1558521499655","05/22/19  10:38:19.655   ","1.37","-129.7","0.418","26.7","0.8","0.177","100","4.3","21.09","1","9.01","1.22","8.65","0.44","4.56","0.43","1.74","0","1.45","0.47","1.04","0.32","0.9","-129.1","-155.1","-139.9","7.2","97.8","90.3","91.8","-3.3","-84.6","-65.4","-153.6","0","147.8","115.5","145.1","-120.5","7.4"
"1558521500675","05/22/19  10:38:20.675   ","1.34","-129.8","0.404","26.6","0.7","0.177","100","4.54","21.44","2.03","10.5","0.5","9.27","0.46","5","0","1.75","0","1.26","0","1.05","0","0.99","-130.1","-136.6","-139.6","-14","97.1","145.7","93.6","-158.3","-85","134.2","-142.5","84.8","139.1","0","140.8","-120.5","24.3"
"1558521501666","05/22/19  10:38:21.666   ","1.35","-130.3","0.403","26.2","0.7","0.181","100","3.29","21.48","1.56","10.41","0.85","9.22","0.21","5.01","0.43","1.51","0.34","1.32","0.44","0.99","0","0.99","-130.4","-122.7","-140.6","5.6","95.2","102.2","92.8","-66.1","-84.5","-83.6","-147.7","173.5","140.7","137","130.8","-120.5","13.1"
"1558521502676","05/22/19  10:38:22.676   ","1.36","-129.1","0.404","26.2","0.7","0.176","100","2.58","20.98","1.6","8.82","0.86","8.53","0.3","4.72","0.32","1.88","0.23","1.78","0.25","1.17","0.22","0.81","-128.8","-147.3","-139","-14","98.6","104.1","91.5","-76.6","-88.5","-90.4","-157.9","0","157.2","0","141","-120.5","14.2"
