"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558522160901","05/22/19  10:49:20.901   ","0.86","-143","0.282","32.7","0.6","0.199","100","0.43","18.11","0.65","19.47","0.67","15.31","0.83","7.33","0.59","4.2","0.36","3.68","0.32","1.64","0.5","2.43","-142.9","18.6","-143.1","0","98.5","92.9","81.6","0","-70.1","0","-131.7","0","-156","0","120.4","-120.5","18.1"
"1558522161693","05/22/19  10:49:21.693   ","0.86","-142.9","0.283","33.5","0.5","0.198","100","2.23","18.65","0.55","19.55","0.31","15.17","0","7.57","0","3.82","0.42","3.69","0.23","1.53","0.26","2.12","-142.7","-174.2","-143.9","-41.6","98.8","71.2","80.4","0","-70","0","-135.6","19.4","-161.4","85.1","106.3","-120.5","14.3"
"1558522162876","05/22/19  10:49:22.876   ","0.86","-142.8","0.281","32.5","0.5","0.199","100","2.72","17.88","0.61","19.45","0.67","15.46","0.42","7.49","0.62","4.19","0.29","3.65","0.41","1.45","0","1.81","-142.7","-134.2","-142.4","-15.1","98.1","-142.3","81","167","-66.9","0","-135.7","-64.3","-154.3","-61.2","124.5","-120.4","4.2"
"1558522163870","05/22/19  10:49:23.870   ","0.86","-143.3","0.283","32.8","0.6","0.2","100","1.04","18.4","0.51","19.55","0.44","15.17","0","7.66","0.26","4.02","0","3.41","0.29","1.33","0.35","2.05","-143","-1.4","-143.7","-20.8","99.2","-111.5","81.4","-173.2","-67","94.9","-137.4","0","-154.4","-53.5","109.1","-120.5","5.7"
"1558522164906","05/22/19  10:49:24.906   ","0.85","-142.8","0.283","32.7","0.6","0.201","100","1.76","17.94","0.51","19.22","1.02","15.42","0.87","7.55","0.61","4.21","0.29","3.98","0.7","1.71","0.54","2.46","-142.7","141.3","-142.7","149.8","99.4","66.1","81.8","-3.3","-68.3","-81.4","-136.8","176.2","-157.3","119.9","116","-120.5","13.8"
"1558522165715","05/22/19  10:49:25.715   ","0.85","-143","0.283","32.2","0.6","0.199","100","4.52","17.99","1.8","19.53","1.93","15.09","1.48","7.72","1.3","4.27","0.91","3.13","1.04","1.22","1.14","2.23","-142.6","-163","-143.5","97.9","99","75","80.5","-31.2","-64.9","-112","-133.9","-160","-152.4","91.9","119.4","-120.5","11.8"
"1558522166871","05/22/19  10:49:26.871   ","0.85","-142.9","0.281","32.9","0.5","0.202","100","1.87","18.75","0.39","19.47","0.39","15.24","0.35","7.95","0.22","4.23","0.2","3.83","0.21","1.54","0.28","2.41","-142.9","-108.9","-142.7","134.5","100","85","82.2","3.6","-68.8","0","-131.1","112.4","-161.6","0","124.8","-120.5","8.8"
"1558522167863","05/22/19  10:49:27.863   ","0.85","-143","0.282","32.2","0.5","0.201","100","1.15","18.22","0","19.42","0.28","15.14","0.38","7.73","0.41","4.36","0.29","3.69","0.2","1.66","0.37","2.21","-142.7","-16.7","-143","-175.5","99.4","92","80.5","-4","-68.8","-54.4","-130.6","0","-157.2","108.4","123","-120.4","17.8"
"1558522168893","05/22/19  10:49:28.893   ","0.86","-142.8","0.281","31.8","0.5","0.198","100","3.5","18.07","1.13","19.06","1.48","14.73","1.43","7.62","0.72","3.85","0.52","3.71","0.61","1.44","0.59","2.03","-143","131.1","-144.2","-24.8","99.1","-59","80.5","-109.2","-68.1","0","-140.2","76.7","-152.6","62.7","110.1","-120.5","13.9"
"1558522169692","05/22/19  10:49:29.692   ","0.85","-142.4","0.281","33.3","0.6","0.199","100","1.75","17.96","0.67","19.21","0.5","15.24","0.64","7.23","0","3.81","0","4.03","0.42","1.69","0.55","2.4","-142.6","-75.2","-143.3","-14","99.7","-154.8","82.8","-168.5","-68.4","0","-137.9","0","-160","-47.2","120.2","-120.5","19.9"
"1558522170846","05/22/19  10:49:30.846   ","0.86","-142.9","0.281","32.3","0.6","0.199","100","1.73","18.59","2.5","19.48","1.97","15.45","1.93","7.48","1.58","3.8","1.06","3.25","1.26","1.56","0.77","2.16","-143","-127.4","-143.8","132.4","98.6","68","80.9","-13.3","-69.5","-111.3","-135.7","-175.6","-160.3","121.5","98.2","-120.4","7.5"
"1558522171865","05/22/19  10:49:31.865   ","0.85","-142.5","0.281","32.9","0.6","0.2","100","1.87","18.44","0.33","20.15","0.44","15.49","0.94","8.22","0.45","4.42","0","4.09","0.33","2.04","0.22","2.85","-142.5","71.9","-145.2","-46.7","98.7","-79.8","79.3","-102.2","-69.4","129.2","-132","75.2","-157.8","11.2","110.8","-120.5","12.4"
"1558522172877","05/22/19  10:49:32.877   ","0.74","-147.4","0.253","26.9","0.4","0.2","100","2.71","9.23","0.44","16.08","0.55","8.36","0.26","13.63","0.29","8.21","0.29","7.16","0","3.76","0.21","2.59","-147.2","-170.5","-100.2","-53","62.8","-143.4","65.3","0","-95.1","2.9","-143","53.4","-165.2","0","146.1","-120.5","64.5"
"1558522173624","05/22/19  10:49:33.624   ","0.75","-146.7","0.252","26.6","0.4","0.201","100","1.99","9.19","0.35","15.58","0.25","8.21","0.4","13.21","0.55","7.97","0.28","7.09","0","3.61","0","2.17","-147.2","-53","-102.3","121.9","63.1","108.2","63.7","-26.9","-94.9","-65.3","-144.8","-90.4","-169.1","-154.2","143.2","-120.5","68"
