"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558523066276","05/22/19  11:04:26.276   ","1558523066276","05/22/19  11:04:26.276   ","0","0","0","0","29704","0","64","512","49.95","0.3128","150.75","4095","0","0","0","87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126,87,37,-22,-82,-138,-183,-217,-262,-297,-331,-363,-391,-395,-377,-391,-412,-443,-456,-460,-439,-404,-397,-384,-380,-371,-337,-297,-257,-212,-182,-156,-122,-87,-36,23,84,138,183,217,259,297,330,366,387,393,376,392,413,441,455,457,437,403,395,387,381,365,336,301,259,214,184,157,126"
"1","0","1558523074283","05/22/19  11:04:34.283   ","1558523074283","05/22/19  11:04:34.283   ","0","0","0","0","29704","0","64","512","49.95","0.3128","150.75","4095","0","0","0","64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111,64,14,-51,-108,-158,-195,-237,-276,-316,-346,-379,-392,-384,-384,-400,-424,-448,-456,-455,-418,-398,-394,-387,-379,-354,-312,-283,-242,-197,-173,-145,-110,-65,-15,49,107,155,189,233,277,313,346,379,391,383,382,399,423,448,458,456,420,398,394,386,378,354,314,283,240,202,173,145,111"
"2","0","1558523076282","05/22/19  11:04:36.282   ","1558523076282","05/22/19  11:04:36.282   ","0","0","0","0","29704","0","64","512","49.95","0.3128","150.75","4095","0","0","0","55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103,55,4,-61,-117,-164,-203,-243,-284,-320,-355,-383,-397,-380,-387,-403,-431,-454,-459,-456,-413,-397,-393,-386,-379,-347,-309,-280,-232,-194,-169,-140,-100,-52,-6,64,120,167,204,244,283,320,353,386,393,380,386,401,428,449,456,450,415,395,391,384,373,346,308,280,231,195,170,138,103"
"3","0","1558523078270","05/22/19  11:04:38.270   ","1558523078270","05/22/19  11:04:38.270   ","0","0","0","0","29704","0","64","512","49.94","0.3128","150.75","4095","0","0","0","50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96,50,-4,-68,-127,-174,-211,-254,-291,-320,-360,-385,-395,-380,-388,-406,-435,-453,-456,-449,-409,-398,-388,-383,-375,-342,-306,-277,-225,-188,-167,-136,-93,-46,4,70,127,174,209,249,288,322,358,390,393,378,388,405,435,453,459,450,411,395,390,382,374,345,306,275,221,189,166,134,96"
"4","0","1558523080276","05/22/19  11:04:40.276   ","1558523080276","05/22/19  11:04:40.276   ","0","0","0","0","29704","0","64","512","49.95","0.3128","150.75","4095","0","0","0","60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111,60,8,-56,-112,-161,-196,-238,-279,-318,-350,-383,-395,-382,-387,-402,-426,-450,-459,-455,-417,-399,-394,-388,-377,-355,-313,-283,-235,-197,-175,-140,-106,-57,-10,57,112,161,196,237,279,315,350,383,394,378,386,401,428,450,457,452,415,398,391,387,374,351,311,284,236,194,173,146,111"
"5","0","1558523082267","05/22/19  11:04:42.267   ","1558523082267","05/22/19  11:04:42.267   ","0","0","0","0","29704","0","64","512","49.96","0.3126","150.75","4095","0","0","0","47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102,47,3,-63,-122,-167,-206,-247,-287,-323,-355,-388,-397,-380,-389,-405,-432,-454,-458,-450,-415,-400,-392,-385,-377,-348,-309,-283,-231,-194,-167,-141,-100,-46,-2,63,120,168,205,246,288,323,356,387,396,376,387,404,432,451,459,453,413,398,391,387,374,346,308,280,226,193,170,139,102"
"6","0","1558523084271","05/22/19  11:04:44.271   ","1558523084271","05/22/19  11:04:44.271   ","0","0","0","0","29704","0","64","512","49.95","0.3128","150.75","4095","0","0","0","69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115,69,17,-49,-108,-154,-191,-233,-277,-314,-345,-383,-392,-386,-384,-401,-424,-449,-457,-458,-422,-402,-396,-390,-382,-356,-315,-286,-243,-199,-175,-148,-109,-67,-19,49,108,153,193,235,274,314,344,381,393,381,384,400,425,449,458,456,421,399,393,387,377,356,316,285,241,201,175,148,115"
"7","0","1558523086306","05/22/19  11:04:46.306   ","1558523086306","05/22/19  11:04:46.306   ","0","0","0","0","29704","0","64","512","49.93","0.3126","150.75","4095","0","0","0","90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128,90,44,-13,-76,-133,-182,-217,-259,-295,-327,-365,-389,-393,-377,-390,-411,-438,-451,-457,-441,-407,-397,-391,-384,-371,-340,-303,-269,-216,-187,-162,-129,-89,-44,13,77,132,181,215,255,294,325,365,390,395,378,391,411,442,456,459,444,410,396,391,384,368,339,302,267,214,186,162,128"
"8","0","1558523088345","05/22/19  11:04:48.345   ","1558523088345","05/22/19  11:04:48.345   ","0","0","0","0","29704","0","64","512","49.94","0.3126","150.75","4095","0","0","0","91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132,91,47,-8,-76,-131,-179,-215,-258,-295,-326,-364,-387,-395,-379,-391,-411,-438,-456,-460,-445,-410,-399,-390,-387,-373,-343,-304,-266,-219,-188,-163,-129,-89,-43,12,77,130,179,212,254,297,326,365,390,393,378,389,409,439,453,459,440,410,397,391,381,368,340,304,266,217,190,159,132"
"9","0","1558523090353","05/22/19  11:04:50.353   ","1558523090353","05/22/19  11:04:50.353   ","0","0","0","0","29704","0","64","512","49.96","0.3128","150.75","4095","0","0","0","95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131,95,47,-11,-73,-130,-176,-213,-254,-293,-327,-362,-389,-394,-379,-388,-407,-440,-456,-458,-446,-410,-397,-392,-385,-375,-342,-303,-275,-220,-188,-164,-131,-92,-47,9,75,129,176,214,253,292,325,363,390,394,377,390,408,436,453,457,444,409,397,390,384,372,340,303,267,219,187,164,131"
