"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558522507501","05/22/19  10:55:07.501   ","11.69","-130.5","2.703","6","1.4","0.577","100","0","3.76","0","2.54","0","0.96","0","3.49","0","0.96","0","0","0","0","0","0.58","-130.5","0","-49.3","0","-2.9","0","20.1","0","-95.1","0","-152.9","0","0","0","0","-120.4","-178.3"
"1558522508395","05/22/19  10:55:08.395   ","11.69","-130.4","2.705","6","1.4","0.58","100","0.2","3.77","0","2.6","0","0.99","0","3.43","0","0.96","0","0","0","0","0","0.73","-130.4","-165.7","-49.6","0","-3.4","0","18.8","0","-94.2","0","-151.7","0","0","0","0","-120.5","-176.3"
"1558522509466","05/22/19  10:55:09.466   ","11.69","-130.4","2.708","6","1.4","0.579","100","0.21","3.72","0","2.53","0","0.99","0","3.55","0","0.93","0","0.22","0","0","0","0.64","-130.4","-39.9","-49.3","0","-3.9","0","24.6","0","-95.3","0","-150.3","0","131.4","0","0","-120.6","-178.5"
"1558522510408","05/22/19  10:55:10.408   ","11.69","-130.3","2.704","6.1","1.4","0.578","100","0","3.74","0","2.51","0","1.01","0","3.52","0","0.92","0","0.22","0","0","0","0.63","-130.5","0","-49.4","0","-4.2","0","24","0","-97","0","-152.2","0","0","0","0","-120.5","175.7"
"1558522511430","05/22/19  10:55:11.430   ","11.69","-130.5","2.704","6","1.4","0.581","100","0.2","3.78","0","2.52","0","0.99","0","3.51","0","0.95","0","0","0","0","0","0.69","-130.5","0","-49.5","0","-5.2","0","20.8","0","-95.2","0","-152.8","0","0","0","0","-120.5","-177.4"
"1558522512422","05/22/19  10:55:12.422   ","11.69","-130.5","2.704","5.9","1.4","0.578","100","0","3.83","0","2.57","0","0.95","0","3.38","0","0.86","0","0.27","0","0","0","0.68","-130.4","0","-49.4","0","-4.7","0","20.1","0","-94.9","0","-151.6","0","117.9","0","0","-120.6","-175.4"
"1558522513450","05/22/19  10:55:13.450   ","11.68","-130.4","2.704","6","1.4","0.58","100","0","3.76","0","2.62","0","0.96","0","3.45","0","0.95","0","0.23","0","0","0","0.64","-130.4","0","-49.9","0","-3.6","0","23.3","0","-95.3","0","-151.4","0","0","0","0","-120.5","-169"
"1558522514429","05/22/19  10:55:14.429   ","11.7","-130.5","2.706","6","1.4","0.579","100","0","3.82","0","2.51","0","0.98","0","3.48","0","0.95","0","0.26","0","0","0","0.68","-130.4","0","-49.9","0","-4.2","0","23.1","0","-96.1","0","-146.6","0","129.4","0","0","-120.7","179.9"
"1558522515444","05/22/19  10:55:15.444   ","11.69","-130.4","2.705","6","1.4","0.579","100","0","3.75","0","2.57","0","0.97","0","3.42","0","0.96","0","0","0","0","0","0.68","-130.5","0","-49.8","0","-4.6","0","18.6","0","-95.1","0","-147.4","0","75.2","0","0","-120.5","173"
