"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558529398964","05/22/19  12:49:58.964   ","1558529398964","05/22/19  12:49:58.964   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14,-12,-9,-6,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-14,-14,-14"
"1","0","1558529406962","05/22/19  12:50:06.962   ","1558529406962","05/22/19  12:50:06.962   ","0","0","0","0","29703","0","64","512","49.95","0.3126","150.71","4095","0","0","0","-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-11,-8,-4,-1,1,3,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,11,8,5,2,0,-2,-4,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14"
"2","0","1558529408965","05/22/19  12:50:08.965   ","1558529408965","05/22/19  12:50:08.965   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12,-13,-14,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-12"
"3","0","1558529410964","05/22/19  12:50:10.964   ","1558529410964","05/22/19  12:50:10.964   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-13,-14,-13,-11,-8,-5,-1,1,3,5,6,6,7,7,8,7,7,7,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12"
"4","0","1558529412971","05/22/19  12:50:12.971   ","1558529412971","05/22/19  12:50:12.971   ","0","0","0","0","29703","0","64","512","49.97","0.3124","150.71","4095","0","0","0","-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-13,-14,-13,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10"
"5","0","1558529414973","05/22/19  12:50:14.973   ","1558529414973","05/22/19  12:50:14.973   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-13,-14,-13,-12,-9,-6,-2,1,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9"
"6","0","1558529416967","05/22/19  12:50:16.967   ","1558529416967","05/22/19  12:50:16.967   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-13,-11,-8,-5,-1,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8"
"7","0","1558529418970","05/22/19  12:50:18.970   ","1558529418970","05/22/19  12:50:18.970   ","0","0","0","0","29703","0","64","512","50","0.3126","150.71","4095","0","0","0","-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-12,-14,-14,-14,-12,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8"
"8","0","1558529420962","05/22/19  12:50:20.962   ","1558529420962","05/22/19  12:50:20.962   ","0","0","0","0","29703","0","64","512","49.99","0.3126","150.71","4095","0","0","0","-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,12,13,14,14,13,11,7,4,1,-1,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7"
"9","0","1558529422974","05/22/19  12:50:22.974   ","1558529422974","05/22/19  12:50:22.974   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-13,-10,-7,-4,0,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,12,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7"
