"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558529152220","05/22/19  12:45:52.220   ","4.91","-121.3","1.213","32.4","3.2","0.141","100","2.22","29.97","1.18","11.64","0.57","2.23","0","1.94","0.31","0.59","0.24","1.26","0.2","0.87","0","0.53","-121.3","65.5","-117.1","60","77.5","-94.9","-113.1","0","-175.4","-34.2","-149.9","-173.6","-159.4","76","109.8","-120.7","-22.1"
"1558529153459","05/22/19  12:45:53.459   ","4.91","-121.4","1.215","32.3","3.2","0.14","100","2.36","29.88","1.08","11.55","0.84","2.3","0.33","1.97","0.34","0.52","0","1.2","0","0.78","0","0.49","-121.2","50.5","-116.8","45.6","77.8","-110.7","-114.5","120.5","-176.1","-12.1","-144.9","0","-158.6","0","116.8","-120.8","-26.9"
"1558529154220","05/22/19  12:45:54.220   ","4.91","-121.3","1.21","32.4","3.2","0.14","100","2.69","29.91","1.12","11.55","0.7","2.26","0.22","1.93","0.32","0.49","0.2","1.17","0","0.79","0","0.47","-121.3","50.7","-117","57.7","77.3","-103.9","-115","104.8","-176","-39.1","-144.2","-157.6","-163.1","0","112.4","-120.8","-24.9"
"1558529155474","05/22/19  12:45:55.474   ","4.91","-121.4","1.213","32.2","3.2","0.143","100","2.84","29.85","1.17","11.58","0.76","2.35","0","1.83","0.31","0.51","0.26","1.19","0.23","0.77","0","0.55","-121.3","58.3","-116.9","56.7","78.1","-99","-112.9","0","-173.9","-27.3","-142.8","-176.8","-161.4","66.6","111.3","-120.8","-28.9"
"1558529156216","05/22/19  12:45:56.216   ","4.9","-121.2","1.215","32.4","3.2","0.138","100","2.19","29.88","1.29","11.62","0.62","2.21","0.2","1.89","0.32","0.6","0.25","1.21","0.21","0.78","0","0.46","-121.3","65.9","-117.2","60.7","77.7","-97.5","-111.8","103.7","-172.1","-31.2","-142.2","-168.2","-161.7","73.5","114.5","-120.7","-28.5"
"1558529157464","05/22/19  12:45:57.464   ","4.9","-121.3","1.211","32.2","3.2","0.14","100","2.27","29.74","1.16","11.64","0.7","2.28","0.25","1.96","0.31","0.59","0.21","1.23","0","0.77","0","0.53","-121.4","46.7","-117.2","54.3","77.2","-109.3","-113.6","125.3","-173.7","-30.2","-144.8","-159.1","-163","0","112.6","-120.8","-33"
"1558529158208","05/22/19  12:45:58.208   ","4.91","-121.3","1.212","32.3","3.2","0.138","100","2.71","29.78","1.15","11.62","0.65","2.29","0","1.9","0.33","0.61","0.25","1.28","0","0.85","0","0.56","-121.4","55.8","-117.3","58.9","77.2","-100.3","-112.7","0","-175.9","-33.2","-145.7","-165.1","-164.6","0","111.5","-120.8","-34.5"
"1558529159467","05/22/19  12:45:59.467   ","4.91","-121.3","1.21","32.4","3.2","0.141","100","2.75","29.67","1.11","11.55","0.74","2.32","0.25","1.95","0.36","0.59","0","1.33","0","0.78","0","0.5","-121.3","58","-117","51.3","77.8","-107.9","-113","96.9","-174.7","-14.9","-152.5","0","-162.7","0","112.3","-120.6","-25.1"
"1558529160216","05/22/19  12:46:00.216   ","4.91","-121.4","1.215","32.2","3.2","0.141","100","2.19","29.82","1.3","11.58","0.68","2.35","0","1.93","0.32","0.59","0.26","1.19","0","0.77","0","0.53","-121.3","56.7","-116.7","58.4","77.7","-104.3","-112.7","0","-176.7","-26.2","-145.3","-173.4","-159.8","0","111.6","-120.7","-33.9"
"1558529161457","05/22/19  12:46:01.457   ","4.91","-121.4","1.21","32.3","3.2","0.141","100","2.2","29.78","1.21","11.52","0.63","2.29","0","1.86","0.29","0.6","0.31","1.25","0","0.78","0","0.46","-121.5","52.6","-117.2","63.5","77.5","-99.1","-114.4","0","-178.5","-41.6","-149.1","-171.4","-160.1","0","114.7","-120.6","-26.6"
"1558529162214","05/22/19  12:46:02.214   ","4.91","-121.3","1.216","32.2","3.2","0.142","100","2.8","29.78","1.14","11.57","0.71","2.29","0","1.87","0.31","0.61","0.2","1.22","0","0.77","0","0.46","-121.3","62.4","-117","58.2","77.9","-97.3","-112.8","0","-176.5","-24.1","-144.3","-161.2","-158.2","0","113.3","-120.7","-24.1"
"1558529163452","05/22/19  12:46:03.452   ","4.91","-121.4","1.211","32.4","3.2","0.14","100","2.37","29.76","1.18","11.61","0.62","2.34","0.22","1.89","0.36","0.57","0.24","1.22","0","0.76","0","0.55","-121.4","66.3","-116.6","61.8","78.3","-100.2","-111.3","68.6","-174.3","-31.1","-137.5","-164.7","-158.8","0","112.9","-120.7","-24.9"
"1558529164206","05/22/19  12:46:04.206   ","4.91","-121.4","1.212","32.2","3.2","0.141","100","2.23","29.66","1.19","11.65","0.7","2.32","0","1.92","0.27","0.6","0.23","1.23","0","0.83","0","0.55","-121.4","51.5","-116.9","62.4","77.8","-103.3","-111.8","0","-173.5","-30.7","-141.2","-161.2","-163.2","0","112.1","-120.7","-28.4"
"1558529165450","05/22/19  12:46:05.450   ","4.91","-121.6","1.213","32.4","3.2","0.147","100","2.4","29.79","1.22","11.72","0.66","2.38","0","1.88","0.26","0.58","0.33","1.22","0.22","0.82","0","0.49","-121.7","53.7","-116.9","60.9","77.6","-100.6","-112.7","0","-179.4","-33.1","-137.3","-162","-161","0","113.9","-120.7","-21.6"
"1558529166217","05/22/19  12:46:06.217   ","4.9","-121.6","1.217","32.4","3.2","0.15","100","2.48","29.81","1.12","11.55","0.67","2.4","0","1.9","0.31","0.54","0.23","1.25","0.2","0.76","0","0.48","-121.6","64.4","-116.7","57.3","78.1","-96.6","-113.3","0","-179","-30","-142.4","-169.6","-156.3","77.8","118.1","-120.6","-31.2"
"1558529167468","05/22/19  12:46:07.468   ","4.9","-121.5","1.218","32.4","3.2","0.149","100","2.32","29.91","1.13","11.71","0.7","2.34","0","1.87","0.28","0.52","0.22","1.25","0.24","0.83","0","0.51","-121.5","67.1","-116.5","56.8","78.2","-95.7","-112.6","0","-174.2","-31.6","-142.8","-173","-160.4","65.6","112.8","-120.6","-22"
"1558529168223","05/22/19  12:46:08.223   ","4.9","-121.7","1.214","32.5","3.2","0.151","100","2.64","29.78","1.19","11.7","0.79","2.33","0.26","1.89","0.25","0.66","0.28","1.27","0","0.79","0.21","0.53","-121.6","49.4","-116.9","59.6","77.9","-102.4","-110.1","118.3","-175.8","-32.1","-140.1","-160","-161.7","0","111.9","-120.7","-26.6"
"1558529169475","05/22/19  12:46:09.475   ","4.91","-121.1","1.208","32.3","3.2","0.139","100","2.25","29.84","1.2","11.49","0.56","2.31","0","1.95","0.29","0.62","0.35","1.31","0.2","0.83","0","0.45","-121.2","53.3","-116.6","62.1","77.9","-92.5","-110.9","0","179.4","-54.6","-159.4","-156.4","-164.2","100.2","115.2","-120.7","-26.7"
"1558529170213","05/22/19  12:46:10.213   ","4.91","-121.2","1.213","32.3","3.2","0.14","100","2.45","29.93","1.05","11.53","0.81","2.23","0.36","1.98","0.3","0.48","0","1.22","0","0.81","0","0.49","-121.3","54.4","-117","41.9","77.4","-110.3","-113.3","122.8","-178.9","-12.7","-147","0","-161.4","0","113.8","-120.7","-32.7"
"1558529171452","05/22/19  12:46:11.452   ","4.91","-121.3","1.215","32.3","3.2","0.142","100","2.06","29.87","1.26","11.56","0.65","2.29","0.22","1.88","0.3","0.57","0.23","1.21","0.2","0.78","0","0.51","-121.2","61","-116.6","55.4","78","-100.9","-112.1","108.4","-175.7","-31.7","-150.1","-161.5","-160.6","0","112.3","-120.6","-27.5"
"1558529172216","05/22/19  12:46:12.216   ","4.9","-121.2","1.21","32.3","3.2","0.139","100","2.97","29.73","1.07","11.58","0.85","2.29","0.34","1.95","0.31","0.58","0","1.21","0","0.79","0","0.51","-121.3","45.1","-117.1","53.4","77.8","-112.3","-112.2","123.2","-175.6","-6","-142.9","0","-162.7","0","113","-120.7","-25.9"
"1558529173461","05/22/19  12:46:13.461   ","4.91","-121.2","1.211","32.3","3.2","0.138","100","2.98","29.72","1.14","11.41","0.74","2.31","0","1.95","0.31","0.53","0.22","1.27","0","0.76","0","0.46","-121.1","50.6","-116.7","57.2","78.2","-105.6","-112.7","101","-174.6","-23.1","-141.7","-154.4","-158.5","0","113.8","-120.7","-29.1"
"1558529174209","05/22/19  12:46:14.209   ","4.91","-121.2","1.212","32.3","3.2","0.14","100","2.23","29.78","1.18","11.55","0.65","2.3","0.21","1.94","0.3","0.6","0.22","1.25","0","0.79","0","0.5","-121.1","59.9","-116.7","57.1","78.1","-96.3","-111.1","108","-174.2","-26.7","-148.8","-169.5","-160.3","0","115.9","-120.6","-22.6"
"1558529175477","05/22/19  12:46:15.477   ","4.9","-121.2","1.21","32.2","3.2","0.138","100","2.34","29.78","1.16","11.56","0.8","2.24","0.28","1.93","0.25","0.59","0.21","1.18","0","0.8","0","0.55","-121.3","51.5","-117.1","54.4","77.4","-103","-112.3","128.9","-176.5","-27.7","-144.9","-171.3","-162","0","108.8","-120.7","-24.9"
"1558529176230","05/22/19  12:46:16.230   ","4.91","-121.2","1.211","32.2","3.2","0.14","100","2.82","29.74","1.09","11.53","0.77","2.31","0.27","1.99","0.33","0.55","0.22","1.18","0","0.75","0","0.54","-121","52.4","-116.6","58.3","78.2","-102.3","-111.7","107.4","-174.8","-27.2","-145","-154.2","-162.6","0","113.5","-120.6","-30.2"
"1558529177481","05/22/19  12:46:17.481   ","4.9","-121.2","1.213","32.2","3.2","0.14","100","2.91","29.71","1.08","11.55","0.79","2.32","0.28","2.08","0.35","0.53","0.2","1.31","0","0.76","0","0.52","-121.1","55.9","-116.9","50.5","77.8","-105.3","-113.2","107.5","-176.1","-23","-137.1","-160.9","-164.6","0","112.8","-120.6","-29.2"
