"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558523982710","05/22/19  11:19:42.710   ","1558523982710","05/22/19  11:19:42.710   ","0","0","0","0","29704","0","64","512","50.01","0.3124","150.75","4095","0","0","0","-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114,-123,-138,-145,-159,-174,-190,-191,-195,-198,-197,-195,-192,-193,-183,-173,-155,-138,-120,-106,-95,-81,-70,-49,-35,-13,5,26,41,56,69,86,100,112,112,117,114,132,147,152,153,163,163,172,177,186,190,189,189,178,173,157,147,128,110,87,70,50,31,7,-18,-38,-63,-88,-114"
"1","0","1558524004710","05/22/19  11:20:04.710   ","1558524004710","05/22/19  11:20:04.710   ","0","0","0","0","29704","0","64","512","49.97","0.3126","150.75","4095","0","0","0","-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84,-112,-115,-119,-129,-147,-148,-147,-151,-157,-157,-161,-170,-170,-174,-169,-166,-161,-155,-150,-140,-126,-105,-88,-63,-50,-27,-11,7,32,56,92,113,136,143,157,169,191,195,196,201,202,200,199,202,194,188,170,155,133,118,104,91,79,59,39,23,8,-12,-20,-35,-43,-56,-72,-84"
"2","0","1558524006714","05/22/19  11:20:06.714   ","1558524006714","05/22/19  11:20:06.714   ","0","0","0","0","29704","0","64","512","49.99","0.3126","150.75","4095","0","0","0","-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79,-97,-99,-107,-118,-144,-151,-151,-157,-158,-165,-165,-179,-180,-187,-186,-182,-179,-166,-162,-142,-130,-103,-87,-63,-47,-25,-2,19,47,67,101,121,141,148,160,172,192,198,199,203,201,198,190,193,183,175,158,141,124,110,99,85,75,57,43,23,5,-16,-31,-47,-55,-70,-83,-79"
"3","0","1558524008748","05/22/19  11:20:08.748   ","1558524008748","05/22/19  11:20:08.748   ","0","0","0","0","29704","0","64","512","49.97","0.3124","150.75","4095","0","0","0","-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78,-98,-102,-107,-118,-141,-150,-151,-156,-159,-163,-166,-176,-178,-186,-183,-181,-177,-165,-162,-142,-130,-106,-87,-67,-49,-26,-6,19,41,66,94,122,139,148,158,169,190,196,200,202,204,197,194,193,186,162,154,133,121,106,98,90,79,68,51,37,21,3,-7,-22,-30,-43,-63,-78"
"4","0","1558524010809","05/22/19  11:20:10.809   ","1558524010809","05/22/19  11:20:10.809   ","0","0","0","0","29704","0","64","512","49.99","0.3126","150.75","4095","0","0","0","-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83,-111,-112,-119,-126,-145,-150,-146,-153,-156,-160,-162,-170,-175,-175,-174,-169,-166,-161,-152,-146,-127,-112,-90,-69,-51,-29,-12,8,31,55,90,113,137,143,155,168,186,196,195,203,201,203,198,202,178,167,152,139,118,108,92,85,72,59,43,25,10,-9,-20,-32,-42,-52,-70,-83"
"5","0","1558524018712","05/22/19  11:20:18.712   ","1558524018712","05/22/19  11:20:18.712   ","0","0","0","0","29704","0","64","512","50.02","0.3122","150.75","4095","0","0","0","-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89,-97,-105,-114,-133,-152,-160,-160,-172,-176,-182,-190,-194,-204,-199,-198,-188,-178,-165,-149,-133,-112,-90,-71,-52,-31,-6,21,41,67,91,119,137,150,157,168,184,199,204,193,198,189,189,184,181,177,163,151,131,117,101,93,83,70,57,40,24,8,-12,-21,-12,-22,-45,-64,-89"
"6","0","1558524020948","05/22/19  11:20:20.948   ","1558524020948","05/22/19  11:20:20.948   ","0","0","0","0","29704","0","64","512","50.03","0.3122","150.75","4095","0","0","0","-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140,-153,-157,-166,-175,-192,-189,-186,-186,-181,-180,-173,-174,-163,-155,-140,-125,-114,-103,-97,-87,-79,-68,-54,-43,-27,-12,-1,15,25,46,65,86,100,109,122,140,167,172,176,185,192,194,200,206,207,206,198,188,172,158,119,98,83,63,45,20,-4,-32,-56,-73,-92,-107,-127,-140"
"7","0","1558524022979","05/22/19  11:20:22.979   ","1558524022979","05/22/19  11:20:22.979   ","0","0","0","0","29704","0","64","512","50.03","0.3122","150.75","4095","0","0","0","-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134,-152,-156,-169,-183,-203,-207,-197,-201,-192,-192,-186,-185,-178,-165,-154,-132,-120,-101,-94,-82,-71,-58,-41,-26,-8,10,20,33,41,54,72,85,97,100,111,126,148,155,155,165,167,175,179,190,195,197,197,187,182,166,157,139,121,96,77,57,39,13,-10,-36,-60,-84,-113,-134"
"8","0","1558524024711","05/22/19  11:20:24.711   ","1558524024711","05/22/19  11:20:24.711   ","0","0","0","0","29704","0","64","512","50.03","0.3122","150.75","4095","0","0","0","-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100,-130,-133,-136,-149,-162,-164,-155,-158,-159,-156,-162,-165,-169,-167,-162,-158,-149,-144,-137,-126,-113,-95,-80,-63,-48,-29,-16,5,23,53,82,111,130,142,156,171,196,201,205,207,210,205,209,207,207,197,180,162,139,123,105,92,75,60,36,14,-10,-37,-53,-73,-83,-99,-114,-100"
"9","0","1558524026712","05/22/19  11:20:26.712   ","1558524026712","05/22/19  11:20:26.712   ","0","0","0","0","29704","0","64","512","50.03","0.3122","150.75","4095","0","0","0","-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140,-148,-149,-156,-167,-182,-182,-170,-173,-168,-164,-165,-161,-162,-154,-145,-136,-125,-119,-111,-104,-93,-82,-70,-56,-45,-26,-14,2,21,42,72,94,114,125,140,158,182,189,197,204,208,209,209,214,211,208,194,179,159,142,122,105,84,67,47,24,-1,-31,-52,-74,-91,-110,-129,-140"
