"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","V1 Ang","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","34832","4200"
"1558523434335","05/22/19  11:10:34.335   ","6.44","-23.3","2.912","10.8","1.4","1.761","100","9.19","4.48","0.46","1.49","1.32","0.35","0.43","2.19","0","0.38","0","0.25","0","0","0","0.8","-22.5","54.5","-51.1","-117","169.4","-155.9","111.5","-176.4","-80.5","0","110.9","0","173.7","0","-84.5","0","93"
"1558523435483","05/22/19  11:10:35.483   ","6.4","-23.7","2.923","10.5","1.4","1.736","100","9.96","4.19","0.42","1.34","1.04","0.61","0.4","2.19","0","0.36","0","0.43","0","0","0","0.79","-22.8","-139.3","-47.6","82.6","163.3","11.4","112.7","-2","-78.2","0","129.9","0","172.4","0","0","0","90.2"
"1558523436341","05/22/19  11:10:36.341   ","6.36","-23.7","2.904","11.3","1.4","1.768","100","9.44","3.45","0.92","1.43","0.72","0.65","0.37","2","0","0.39","0","0.3","0","0","0","0.87","-24.1","150.1","-36.8","117.7","-168.4","-95","80","-127.6","-73.5","0","111.3","139.2","0","0","-79.7","0","96.3"
"1558523437462","05/22/19  11:10:37.462   ","6.4","-24","2.934","10.6","1.4","1.803","100","9.26","2.93","1.01","1.26","0.68","0.99","0.34","1.87","0","0.38","0","0.23","0","0","0","0.91","-24.2","-49.5","-28","-91.6","169.6","44.2","64.4","20.2","-76.3","0","117.7","0","0","0","0","0","88.5"
"1558523438340","05/22/19  11:10:38.340   ","6.46","-23.4","2.92","10.7","1.4","1.75","100","9.83","4.26","0.49","1.4","1.06","0.63","0.51","2.14","0","0.34","0","0.28","0","0","0","0.82","-22.8","-132.5","-46.5","65.1","165.9","15.7","105.9","-6.1","-82","0","107.4","0","164.7","0","0","0","101.8"
"1558523439468","05/22/19  11:10:39.468   ","6.43","-23.9","2.92","10.3","1.3","1.741","100","9.63","4.68","0.47","1.42","1.18","0.59","0.47","2.19","0","0.31","0","0.36","0","0","0","0.76","-22.4","27.5","-52.5","-80.9","167.2","-176.2","112.1","164.5","-80.7","0","116.6","0","147.5","0","-103.6","0","90.2"
"1558523440344","05/22/19  11:10:40.344   ","6.35","-22.8","2.939","10.6","1.4","1.8","100","9.21","2.91","1.02","1.41","0.63","0.92","0.35","1.92","0","0.36","0","0.33","0","0","0","0.72","-24.2","-45.5","-29.7","-84.3","171.5","51.2","65.4","4.2","-76","0","102.6","0","155.8","0","-129.4","0","89"
"1558523441466","05/22/19  11:10:41.466   ","6.39","-22.9","2.921","10.6","1.4","1.792","100","9.57","3.38","0.88","0.87","0.49","0.94","0.25","2","0","0.29","0","0","0","0.26","0","0.69","-24.1","110.5","-38.1","135.2","156.1","-137.3","42.8","-175.2","-75.9","0","121.6","0","171.3","0","-82.3","0","99.3"
"1558523442303","05/22/19  11:10:42.303   ","6.47","-23.8","2.927","10.4","1.3","1.75","100","9.73","4.63","0.52","1.45","1.21","0.59","0.47","2.2","0","0.29","0","0.28","0","0.23","0","0.82","-22.4","28.2","-52.1","-85.4","165","-172.5","121","161.6","-82.7","0","117.2","0","148.9","0","-83.6","0","94"
