FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5585245197220000e+12
1,119,1.5585245297170000e+12
2,119,1.5585245317190000e+12
3,119,1.5585245338780000e+12
4,119,1.5585245359400000e+12
5,119,1.5585245379220000e+12
6,119,1.5585245399700000e+12
7,119,1.5585245419780000e+12
8,119,1.5585245437370000e+12
9,119,1.5585245457170000e+12
10,119,1.5585245477230000e+12
11,119,1.5585245497130000e+12
12,119,1.5585245517220000e+12
13,119,1.5585245537120000e+12
14,119,1.5585245557180000e+12
15,119,1.5585245577270000e+12
16,119,1.5585245597200000e+12
17,119,1.5585245617720000e+12
18,119,1.5585245638260000e+12
19,119,1.5585245658070000e+12
20,119,1.5585245678650000e+12
21,119,1.5585245697140000e+12
22,119,1.5585245717100000e+12
23,119,1.5585245737070000e+12
24,119,1.5585245757030000e+12
25,119,1.5585245777070000e+12
26,119,1.5585245797290000e+12
27,119,1.5585245817520000e+12
28,119,1.5585245838140000e+12
29,119,1.5585245858230000e+12
30,119,1.5585245878740000e+12
31,119,1.5585245898960000e+12
32,119,1.5585245919460000e+12
33,119,1.5585245939480000e+12
34,119,1.5585245959610000e+12
35,119,1.5585245977150000e+12
36,119,1.5585245997300000e+12
37,119,1.5585246017310000e+12
38,119,1.5585246037180000e+12
39,119,1.5585246057110000e+12
40,119,1.5585246077130000e+12
41,119,1.5585246097100000e+12
42,119,1.5585246117190000e+12
43,119,1.5585246137190000e+12
44,119,1.5585246157260000e+12
45,119,1.5585246177670000e+12
46,119,1.5585246198050000e+12
47,119,1.5585246217860000e+12
48,119,1.5585246238340000e+12
49,119,1.5585246258630000e+12
50,119,1.5585246277180000e+12
51,119,1.5585246297180000e+12
52,119,1.5585246317080000e+12
53,119,1.5585246337350000e+12
54,119,1.5585246357250000e+12
55,119,1.5585246377620000e+12
56,119,1.5585246397810000e+12
57,119,1.5585246418050000e+12
58,119,1.5585246438910000e+12
59,119,1.5585246458500000e+12
60,119,1.5585246479020000e+12
61,119,1.5585246499160000e+12
62,119,1.5585246519390000e+12
63,119,1.5585246539640000e+12
64,119,1.5585246557090000e+12
65,119,1.5585246577090000e+12
66,119,1.5585246597130000e+12
67,119,1.5585246617310000e+12
68,119,1.5585246637170000e+12
69,119,1.5585246657130000e+12
70,119,1.5585246677180000e+12
71,119,1.5585246697160000e+12
72,119,1.5585246717140000e+12
73,119,1.5585246737390000e+12
74,119,1.5585246757840000e+12
75,119,1.5585246778240000e+12
76,119,1.5585246798180000e+12
77,119,1.5585246818470000e+12
78,119,1.5585246838650000e+12
79,119,1.5585246857240000e+12
80,119,1.5585246877200000e+12
81,119,1.5585246897130000e+12
82,119,1.5585246917190000e+12
83,119,1.5585246937120000e+12
84,119,1.5585246957260000e+12
85,119,1.5585246977670000e+12
86,119,1.5585246997900000e+12
87,119,1.5585247018320000e+12
88,119,1.5585247039380000e+12
89,119,1.5585247059350000e+12
90,119,1.5585247079290000e+12
91,119,1.5585247099340000e+12
92,119,1.5585247119700000e+12
93,119,1.5585247137190000e+12
94,119,1.5585247157130000e+12
95,119,1.5585247177170000e+12
96,119,1.5585247197230000e+12
97,119,1.5585247217170000e+12
98,119,1.5585247237140000e+12
99,119,1.5585247257160000e+12
100,119,1.5585247277210000e+12
101,119,1.5585247297230000e+12
102,119,1.5585247317510000e+12
103,119,1.5585247337750000e+12
104,119,1.5585247358260000e+12
105,119,1.5585247378180000e+12
106,119,1.5585247398430000e+12
107,119,1.5585247418620000e+12
108,119,1.5585247437140000e+12
109,119,1.5585247457190000e+12
110,119,1.5585247477230000e+12
111,119,1.5585247497380000e+12
112,119,1.5585247517170000e+12
113,119,1.5585247537300000e+12
114,119,1.5585247557650000e+12
115,119,1.5585247577970000e+12
116,119,1.5585247598420000e+12
117,119,1.5585247618650000e+12
118,119,1.5585247639490000e+12
119,119,1.5585247659540000e+12
120,119,1.5585247679560000e+12
121,119,1.5585247737220000e+12
122,119,1.5585247757240000e+12
123,119,1.5585247777350000e+12
124,119,1.5585247797170000e+12
125,119,1.5585247817160000e+12
126,119,1.5585247836730000e+12
127,119,1.5585249329450000e+12
128,119,1.5585249449470000e+12
129,119,1.5585249469510000e+12
130,119,1.5585249489750000e+12
131,119,1.5585249510220000e+12
132,119,1.5585249530410000e+12
133,119,1.5585249550800000e+12
134,119,1.5585249571140000e+12
135,119,1.5585249591400000e+12
136,119,1.5585249611760000e+12
137,119,1.5585249632180000e+12
138,119,1.5585249649380000e+12
139,119,1.5585249669500000e+12
140,119,1.5585249689480000e+12
141,119,1.5585249709430000e+12
142,119,1.5585249729540000e+12
143,119,1.5585249749380000e+12
144,119,1.5585249769380000e+12
145,119,1.5585249789430000e+12
146,119,1.5585249809400000e+12
147,119,1.5585249829610000e+12
148,119,1.5585249850010000e+12
149,119,1.5585249870340000e+12
150,119,1.5585249890660000e+12
151,119,1.5585249911010000e+12
152,119,1.5585249931240000e+12
153,119,1.5585249950080000e+12
154,119,1.5585249969880000e+12
155,119,1.5585249989900000e+12
156,119,1.5585250009960000e+12
157,119,1.5585250029500000e+12
158,119,1.5585250049870000e+12
159,119,1.5585250070190000e+12
160,119,1.5585250090450000e+12
161,119,1.5585250110950000e+12
162,119,1.5585250131150000e+12
163,119,1.5585250151490000e+12
164,119,1.5585250171790000e+12
165,119,1.5585250192050000e+12
166,119,1.5585250212480000e+12
167,119,1.5585250229500000e+12
168,119,1.5585250249440000e+12
169,119,1.5585250269420000e+12
170,119,1.5585250289340000e+12
171,119,1.5585250309460000e+12
172,119,1.5585250329430000e+12
173,119,1.5585250349430000e+12
174,119,1.5585250369440000e+12
175,119,1.5585250389440000e+12
176,119,1.5585250509710000e+12
177,119,1.5585250529940000e+12
178,119,1.5585250550010000e+12
179,119,1.5585250569890000e+12
180,119,1.5585250589420000e+12
181,119,1.5585250610070000e+12
182,119,1.5585250630210000e+12
183,119,1.5585250650340000e+12
184,119,1.5585250670750000e+12
185,119,1.5585250691550000e+12
186,119,1.5585250711200000e+12
187,119,1.5585250731590000e+12
188,119,1.5585250752010000e+12
189,119,1.5585250772390000e+12
190,119,1.5585250789400000e+12
191,119,1.5585250809360000e+12
192,119,1.5585250829420000e+12
193,119,1.5585250849430000e+12
194,119,1.5585250869460000e+12
195,119,1.5585250889420000e+12
196,119,1.5585250909470000e+12
197,119,1.5585250929490000e+12
198,119,1.5585250949420000e+12
199,119,1.5585250969840000e+12
200,119,1.5585250990220000e+12
201,119,1.5585251010480000e+12
202,119,1.5585251030870000e+12
203,119,1.5585251051200000e+12
204,119,1.5585251071540000e+12
205,119,1.5585251089980000e+12
206,119,1.5585251110030000e+12
207,119,1.5585251130120000e+12
208,119,1.5585251150010000e+12
209,119,1.5585251170300000e+12
210,119,1.5585251189960000e+12
211,119,1.5585251210100000e+12
212,119,1.5585251230610000e+12
213,119,1.5585251250880000e+12
214,119,1.5585251271210000e+12
215,119,1.5585251291530000e+12
216,119,1.5585251311790000e+12
217,119,1.5585251332150000e+12
218,119,1.5585251352420000e+12
219,119,1.5585251369520000e+12
