"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551704883047","03/04/19  13:08:03.047   ","1551704883047","03/04/19  13:08:03.047   ","0","0","0","0","29703","0","64","512","50.02","0.3122","150.71","4095","0","0","0","-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66,-71,-78,-81,-66,-54,-59,-67,-69,-65,-55,-42,-25,-36,-46,-43,-33,-31,-19,5,27,39,39,56,71,80,90,85,83,49,53,59,67,71,80,84,69,59,55,67,70,67,58,43,30,32,49,47,34,26,17,0,-24,-39,-41,-57,-68,-77,-88,-86,-84,-46,-52,-59,-66"
"1","0","1551705523618","03/04/19  13:18:43.618   ","1551705523618","03/04/19  13:18:43.618   ","0","0","0","0","29703","0","64","512","50.01","0.3122","150.71","4095","0","0","0","1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2,1,0,0,0,1,3,2,2,-1,-2,-1,0,2,5,10,13,14,15,15,17,16,15,15,11,8,8,8,8,7,7,6,3,0,0,0,1,0,-1,-1,-1,3,5,4,2,-1,-4,-8,-12,-14,-14,-15,-16,-15,-16,-15,-10,-8,-8,-7,-7,-7,-7,-4,-2"
"2","0","1551705725067","03/04/19  13:22:05.067   ","1551705725067","03/04/19  13:22:05.067   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1,0,0,0,0,2,3,1,-1,-3,-3,-1,3,6,10,13,13,16,17,16,17,16,15,10,9,8,7,8,7,7,4,2,0,1,1,0,1,-2,-1,0,2,5,4,3,-1,-5,-10,-12,-12,-15,-15,-16,-16,-15,-14,-9,-8,-8,-7,-8,-7,-6,-4,-2,1"
"3","0","1551705792909","03/04/19  13:23:12.909   ","1551705792909","03/04/19  13:23:12.909   ","0","0","0","0","29703","0","64","512","49.97","0.3128","150.71","4095","0","0","0","-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4,-1,0,-1,-1,0,1,3,1,-2,-4,-3,-2,1,4,7,12,13,14,15,15,16,15,14,10,8,7,7,7,7,6,4,3,0,-1,0,0,0,-2,-3,-1,1,4,4,2,-2,-5,-7,-13,-14,-16,-17,-16,-17,-17,-16,-12,-9,-8,-9,-8,-8,-7,-6,-4"
"4","0","1551705794915","03/04/19  13:23:14.915   ","1551705794915","03/04/19  13:23:14.915   ","0","0","0","0","29703","0","64","512","49.99","0.3126","150.71","4095","0","0","0","-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4,-2,0,-1,-2,0,1,1,3,-1,-4,-4,-2,0,3,7,10,13,14,15,16,15,16,15,12,8,8,8,7,6,6,5,2,1,-2,-1,0,-1,-2,-2,-2,1,3,5,3,-1,-4,-7,-11,-14,-15,-16,-17,-16,-17,-16,-14,-9,-8,-9,-8,-8,-8,-6,-4"
"5","0","1551705796944","03/04/19  13:23:16.944   ","1551705796944","03/04/19  13:23:16.944   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3,0,0,-2,-1,0,2,3,0,-3,-4,-3,-1,2,6,9,12,13,14,15,15,15,15,14,8,7,7,6,7,6,5,4,2,-1,-1,0,0,-1,-2,-3,0,2,4,4,2,-3,-6,-10,-13,-14,-15,-17,-17,-18,-16,-15,-10,-9,-9,-8,-8,-8,-8,-5,-3"
"6","0","1551705798914","03/04/19  13:23:18.914   ","1551705798914","03/04/19  13:23:18.914   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3,-1,-1,-1,-1,0,1,3,0,-2,-4,-4,-2,2,5,8,12,12,14,16,15,16,15,14,10,8,7,7,7,6,6,4,2,-1,-1,0,-1,-1,-3,-3,0,2,4,3,2,-1,-5,-9,-13,-13,-15,-17,-17,-18,-16,-15,-11,-9,-9,-8,-8,-8,-7,-6,-3"
"7","0","1551705800914","03/04/19  13:23:20.914   ","1551705800914","03/04/19  13:23:20.914   ","0","0","0","0","29703","0","64","512","49.96","0.3128","150.71","4095","0","0","0","-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4,-3,-1,-1,-1,0,0,2,2,-1,-3,-3,-3,-1,3,7,10,12,13,14,16,15,16,14,13,8,7,7,6,6,6,6,3,1,-1,0,0,-1,-1,-2,-3,1,3,4,3,1,-3,-7,-11,-14,-14,-16,-17,-17,-17,-16,-15,-10,-9,-9,-8,-8,-8,-7,-4"
"8","0","1551705802910","03/04/19  13:23:22.910   ","1551705802910","03/04/19  13:23:22.910   ","0","0","0","0","29703","0","64","512","49.97","0.3128","150.71","4095","0","0","0","-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6,-3,-1,0,-2,0,0,1,3,0,-3,-3,-3,-2,1,6,9,12,13,14,16,16,16,15,13,9,7,7,6,6,7,6,4,2,-1,-1,0,-1,-2,-2,-3,0,3,4,3,1,-2,-6,-9,-14,-14,-15,-17,-17,-17,-16,-15,-9,-9,-9,-8,-8,-8,-7,-6"
"9","0","1551705804910","03/04/19  13:23:24.910   ","1551705804910","03/04/19  13:23:24.910   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5,-3,0,-1,-2,0,0,2,3,-1,-3,-3,-2,-2,2,6,9,13,12,14,15,16,16,14,14,8,8,7,7,6,7,6,4,1,-2,-1,1,-1,-1,-2,-3,0,3,4,3,0,-3,-7,-10,-13,-15,-15,-17,-17,-16,-16,-15,-9,-9,-9,-9,-8,-8,-7,-5"
