"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551707931450","03/04/19  13:58:51.450   ","1551707931450","03/04/19  13:58:51.450   ","0","0","0","0","29703","0","64","512","49.96","0.3124","150.71","4095","0","0","0","217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202,217,202,190,172,151,129,105,88,71,53,39,19,6,-12,-26,-40,-57,-72,-88,-107,-119,-139,-147,-161,-170,-180,-187,-193,-199,-206,-213,-217,-223,-223,-226,-218,-213,-198,-179,-159,-135,-113,-81,-55,-30,-9,12,35,66,95,152,172,191,202,214,220,227,228,225,222,214,213,205,202"
"1","0","1551707935459","03/04/19  13:58:55.459   ","1551707935459","03/04/19  13:58:55.459   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207,192,183,172,155,142,120,106,87,73,56,41,27,14,-1,-11,-31,-42,-65,-84,-103,-128,-144,-165,-181,-195,-206,-213,-219,-226,-228,-232,-234,-238,-237,-235,-226,-207,-188,-160,-138,-105,-79,-50,-26,-1,23,50,79,107,135,161,184,202,215,220,231,232,237,236,232,229,220,218,207"
"2","0","1551707937458","03/04/19  13:58:57.458   ","1551707937458","03/04/19  13:58:57.458   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206,193,187,173,160,143,123,109,91,77,60,46,33,18,7,-9,-22,-38,-61,-78,-106,-126,-149,-168,-186,-201,-210,-219,-222,-230,-232,-236,-237,-242,-240,-239,-227,-211,-185,-164,-132,-108,-75,-50,-27,-3,22,52,76,109,131,160,180,200,210,221,228,232,236,233,231,222,220,212,206"
"3","0","1551707939539","03/04/19  13:58:59.539   ","1551707939539","03/04/19  13:58:59.539   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231,220,213,195,175,156,130,109,88,72,55,35,17,-5,-19,-37,-50,-66,-84,-102,-119,-135,-147,-159,-165,-175,-179,-184,-188,-189,-195,-199,-208,-211,-217,-217,-214,-208,-195,-180,-159,-137,-110,-84,-57,-34,-15,3,29,55,91,120,153,179,205,216,231,237,244,245,245,243,238,237,231"
"4","0","1551707941441","03/04/19  13:59:01.441   ","1551707941441","03/04/19  13:59:01.441   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201,194,180,173,159,142,129,111,98,81,67,51,35,24,9,-3,-17,-41,-61,-92,-114,-146,-163,-187,-201,-215,-222,-230,-234,-240,-243,-243,-245,-246,-242,-235,-217,-194,-169,-139,-113,-82,-58,-34,-15,17,42,69,95,119,146,166,186,199,211,219,225,229,225,224,215,215,208,203,201"
"5","0","1551707943443","03/04/19  13:59:03.443   ","1551707943443","03/04/19  13:59:03.443   ","0","0","0","0","29703","0","64","512","50.01","0.3122","150.71","4095","0","0","0","193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201,193,182,175,161,148,131,115,102,85,72,53,40,28,14,1,-14,-34,-56,-83,-108,-138,-158,-182,-198,-213,-221,-228,-232,-238,-241,-245,-243,-248,-242,-238,-221,-201,-175,-147,-118,-89,-63,-39,-18,10,36,65,88,117,141,163,185,197,212,218,228,230,229,226,219,216,209,207,201"
"6","0","1551707945475","03/04/19  13:59:05.475   ","1551707945475","03/04/19  13:59:05.475   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197,205,193,186,172,156,142,121,107,87,74,55,41,28,12,1,-13,-29,-42,-66,-81,-105,-125,-144,-164,-181,-196,-206,-215,-218,-227,-228,-234,-234,-240,-238,-237,-228,-212,-190,-166,-140,-112,-79,-54,-28,-3,19,49,75,107,132,162,183,204,214,223,232,214,214,210,205,202,196,197"
"7","0","1551707947441","03/04/19  13:59:07.441   ","1551707947441","03/04/19  13:59:07.441   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203,197,187,180,164,154,133,119,103,87,74,56,43,29,17,5,-10,-26,-47,-72,-95,-125,-146,-170,-187,-204,-214,-222,-227,-234,-237,-241,-241,-244,-243,-241,-230,-214,-188,-164,-135,-106,-78,-51,-30,-4,20,52,75,105,131,154,179,192,210,216,228,231,234,232,226,224,214,212,203"
"8","0","1551707949451","03/04/19  13:59:09.451   ","1551707949451","03/04/19  13:59:09.451   ","0","0","0","0","29703","0","64","512","50","0.3122","150.71","4095","0","0","0","204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198,204,199,184,172,157,137,122,101,88,68,54,38,23,10,-2,-19,-30,-51,-66,-88,-108,-127,-147,-162,-180,-193,-203,-211,-217,-223,-229,-231,-235,-236,-237,-235,-224,-210,-185,-165,-135,-111,-78,-53,-27,-5,21,46,76,106,149,170,183,200,202,213,214,216,215,211,209,203,202,198"
"9","0","1551707951456","03/04/19  13:59:11.456   ","1551707951456","03/04/19  13:59:11.456   ","0","0","0","0","29703","0","64","512","50.02","0.3122","150.71","4095","0","0","0","214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229,214,211,195,182,163,139,120,101,83,67,49,35,16,3,-14,-26,-39,-56,-70,-89,-107,-123,-140,-153,-167,-178,-189,-197,-205,-212,-218,-224,-225,-231,-228,-232,-221,-213,-194,-173,-153,-126,-99,-70,-40,-19,4,28,55,86,114,150,171,201,213,226,232,238,239,238,237,235,235,229"
