"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1551708754762","03/04/19  14:12:34.762   ","1551708754762","03/04/19  14:12:34.762   ","0","0","0","0","29704","0","64","512","49.97","0.3126","150.75","4095","0","0","0","39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29,39,34,29,28,24,23,25,29,31,31,27,24,24,28,31,32,29,23,15,8,3,-1,-5,-7,-8,-13,-19,-21,-18,-16,-19,-31,-41,-34,-29,-28,-24,-23,-26,-29,-32,-31,-27,-24,-23,-26,-30,-31,-27,-23,-16,-10,-5,0,2,6,7,11,17,20,17,15,17,29"
"1","0","1551708760777","03/04/19  14:12:40.777   ","1551708760777","03/04/19  14:12:40.777   ","0","0","0","0","29704","0","64","512","49.98","0.3126","150.75","4095","0","0","0","33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20,33,34,27,27,25,22,23,26,30,31,29,26,24,26,30,33,32,27,19,11,6,2,-3,-5,-7,-12,-16,-19,-20,-16,-18,-26,-42,-43,-31,-30,-27,-24,-26,-29,-31,-32,-29,-25,-22,-24,-29,-30,-28,-24,-17,-12,-6,-1,4,5,6,8,14,19,20,14,14,20"
"2","0","1551708762898","03/04/19  14:12:42.898   ","1551708762898","03/04/19  14:12:42.898   ","0","0","0","0","29704","0","64","512","50.01","0.3124","150.75","4095","0","0","0","31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21,31,39,30,29,26,23,23,26,29,31,29,26,24,24,28,32,31,27,20,12,6,2,-3,-5,-7,-10,-15,-19,-20,-16,-16,-21,-32,-37,-30,-29,-26,-23,-23,-27,-31,-32,-30,-26,-23,-24,-28,-30,-30,-25,-19,-12,-7,-2,4,5,7,8,13,18,21,16,16,21"
"3","0","1551708764765","03/04/19  14:12:44.765   ","1551708764765","03/04/19  14:12:44.765   ","0","0","0","0","29704","0","64","512","50","0.3122","150.75","4095","0","0","0","30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17,30,34,29,28,27,23,23,26,30,32,30,26,23,24,29,32,32,27,20,13,7,2,-4,-5,-7,-9,-15,-20,-22,-16,-15,-21,-34,-40,-30,-29,-27,-24,-23,-26,-30,-32,-30,-27,-23,-23,-27,-30,-31,-26,-20,-14,-8,-4,3,3,6,8,12,18,20,16,13,17"
"4","0","1551708766885","03/04/19  14:12:46.885   ","1551708766885","03/04/19  14:12:46.885   ","0","0","0","0","29704","0","64","512","50.01","0.3122","150.75","4095","0","0","0","28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16,28,40,30,27,26,24,23,25,27,30,32,29,25,24,27,32,33,30,23,16,9,4,0,-5,-8,-10,-12,-16,-21,-21,-16,-18,-32,-43,-35,-28,-27,-25,-24,-26,-28,-30,-30,-28,-23,-22,-24,-27,-29,-27,-22,-15,-9,-4,0,3,6,8,10,15,18,18,14,16"
"5","0","1551708768772","03/04/19  14:12:48.772   ","1551708768772","03/04/19  14:12:48.772   ","0","0","0","0","29704","0","64","512","50.03","0.3122","150.75","4095","0","0","0","23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17,23,33,30,27,27,26,22,22,27,31,31,28,25,23,26,32,33,30,23,16,10,5,0,-6,-8,-8,-11,-16,-22,-19,-16,-18,-25,-38,-38,-30,-29,-27,-23,-24,-28,-32,-31,-28,-24,-22,-24,-27,-29,-27,-22,-15,-10,-5,0,4,7,7,10,15,19,17,14,17"
"6","0","1551708770757","03/04/19  14:12:50.757   ","1551708770757","03/04/19  14:12:50.757   ","0","0","0","0","29704","0","64","512","50.04","0.3124","150.75","4095","0","0","0","21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16,21,38,35,29,29,23,22,23,27,31,30,28,25,23,26,31,32,30,25,18,12,6,1,-5,-6,-7,-11,-16,-19,-20,-17,-17,-25,-44,-39,-30,-30,-26,-23,-25,-29,-32,-32,-29,-25,-22,-24,-28,-30,-28,-22,-16,-10,-5,0,4,6,7,10,15,18,19,16,16"
"7","0","1551708772765","03/04/19  14:12:52.765   ","1551708772765","03/04/19  14:12:52.765   ","0","0","0","0","29704","0","64","512","50.02","0.3124","150.75","4095","0","0","0","28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17,28,37,30,27,26,24,23,25,28,30,30,27,23,23,27,31,32,28,22,15,8,3,-1,-4,-7,-9,-12,-18,-20,-18,-14,-18,-36,-44,-32,-28,-27,-25,-23,-26,-29,-32,-31,-28,-23,-22,-26,-30,-30,-27,-21,-15,-8,-3,2,4,7,8,11,17,21,18,14,17"
"8","0","1551708774762","03/04/19  14:12:54.762   ","1551708774762","03/04/19  14:12:54.762   ","0","0","0","0","29704","0","64","512","50.04","0.3122","150.75","4095","0","0","0","30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22,30,37,28,27,26,24,23,26,29,32,29,26,23,24,28,32,31,26,19,11,7,2,-4,-6,-8,-10,-14,-20,-22,-16,-17,-21,-30,-36,-30,-28,-27,-25,-24,-26,-30,-31,-29,-25,-23,-23,-27,-29,-29,-25,-19,-12,-7,-3,3,4,6,8,14,19,21,14,15,22"
"9","0","1551708776986","03/04/19  14:12:56.986   ","1551708776986","03/04/19  14:12:56.986   ","0","0","0","0","29704","0","64","512","50.02","0.3124","150.75","4095","0","0","0","28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17,28,35,28,28,27,23,22,24,29,32,31,27,23,24,29,33,32,27,21,14,8,2,-3,-6,-9,-9,-13,-19,-23,-18,-16,-21,-37,-45,-32,-29,-28,-25,-24,-26,-30,-31,-31,-27,-23,-21,-25,-30,-29,-25,-19,-13,-8,-3,2,4,7,8,11,17,20,17,14,17"
