"FIND_KEY","HarmChannels","DoubleTimeStart"
"0","119","1558521472256"
"1","119","1558521488259"
"2","119","1558521490270"
"3","119","1558521492269"
"4","119","1558521494292"
"5","119","1558521496324"
"6","119","1558521498378"
"7","119","1558521500393"
"8","119","1558521502457"
"9","119","1558521504481"
"10","119","1558521506551"
"11","119","1558521508539"
"12","119","1558521510549"
"13","119","1558521512257"
"14","119","1558521514261"
"15","119","1558521516254"
"16","119","1558521518255"
"17","119","1558521520254"
"18","119","1558521522260"
"19","119","1558521524258"
"20","119","1558521526265"
"21","119","1558521528296"
"22","119","1558521530294"
"23","119","1558521532339"
"24","119","1558521534332"
"25","119","1558521536367"
"26","119","1558521538394"
"27","119","1558521540253"
"28","119","1558521542259"
"29","119","1558521544259"
"30","119","1558521546259"
"31","119","1558521548262"
"32","119","1558521550281"
"33","119","1558521552324"
"34","119","1558521554339"
"35","119","1558521556371"
"36","119","1558521558419"
"37","119","1558521560449"
"38","119","1558521562501"
"39","119","1558521564526"
"40","119","1558521566526"
"41","119","1558521568258"
"42","119","1558521570255"
"43","119","1558521572254"
"44","119","1558521574255"
"45","119","1558521576256"
"46","119","1558521578269"
"47","119","1558521580260"
"48","119","1558521582278"
"49","119","1558521584260"
"50","119","1558521586303"
"51","119","1558521588299"
"52","119","1558521590317"
"53","119","1558521592360"
"54","119","1558521594407"
"55","119","1558521596262"
"56","119","1558521598279"
"57","119","1558521600255"
"58","119","1558521602258"
"59","119","1558521604254"
"60","119","1558521606268"
"61","119","1558521608309"
"62","119","1558521610372"
"63","119","1558521612385"
"64","119","1558521614431"
"65","119","1558521616441"
"66","119","1558521618474"
"67","119","1558521620558"
"68","119","1558521622569"
"69","119","1558521624272"
"70","119","1558521626263"
"71","119","1558521628276"
"72","119","1558521630261"
"73","119","1558521632265"
"74","119","1558521634259"
"75","119","1558521636275"
"76","119","1558521638254"
"77","119","1558521640278"
"78","119","1558521642265"
"79","119","1558521644309"
"80","119","1558521646297"
"81","119","1558521648356"
"82","119","1558521650393"
"83","119","1558521652411"
"84","119","1558521654267"
"85","119","1558521656274"
"86","119","1558521658262"
"87","119","1558521660281"
"88","119","1558521662263"
"89","119","1558521664277"
"90","119","1558521666332"
"91","119","1558521668363"
"92","119","1558521670396"
"93","119","1558521672465"
"94","119","1558521674484"
"95","119","1558521676497"
"96","119","1558521678543"
"97","119","1558521680543"
"98","119","1558521682281"
"99","119","1558521684262"
"100","119","1558521686258"
"101","119","1558521688256"
"102","119","1558521690254"
"103","119","1558521692279"
"104","119","1558521694270"
"105","119","1558521696277"
"106","119","1558521698260"
"107","119","1558521700307"
"108","119","1558521702332"
"109","119","1558521704377"
"110","119","1558521706376"
"111","119","1558521708417"
"112","119","1558521710275"
"113","119","1558521712257"
"114","119","1558521714261"
"115","119","1558521716280"
"116","119","1558521718278"
"117","119","1558521721292"
"118","119","1558521723322"
"119","119","1558521725367"
"120","119","1558521727421"
"121","119","1558521729430"
"122","119","1558521731494"
"123","119","1558521733516"
"124","119","1558521735546"
"125","119","1558521737562"
"126","119","1558521739258"
"127","119","1558521741263"
"128","119","1558521743261"
"129","119","1558521745284"
"130","119","1558521747258"
"131","119","1558521749266"
"132","119","1558521751278"
"133","119","1558521753260"
"134","119","1558521755273"
"135","119","1558521757304"
"136","119","1558521759305"
"137","119","1558521761345"
"138","119","1558521763372"
"139","119","1558521765406"
"140","119","1558521767261"
"141","119","1558521769281"
"142","119","1558521771256"
"143","119","1558521773255"
"144","119","1558521775343"
"145","119","1558521777322"
"146","119","1558521779351"
"147","119","1558521781364"
"148","119","1558521783427"
"149","119","1558521785468"
"150","119","1558521787490"
"151","119","1558521789498"
"152","119","1558521791547"
