"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558521472256","05/22/19  10:37:52.256   ","1558521472256","05/22/19  10:37:52.256   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,8,4,2,-1,-2,-3,-4,-5,-5,-6,-6,-6,-6"
"1","0","1558521488259","05/22/19  10:38:08.259   ","1558521488259","05/22/19  10:38:08.259   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,10,7,4,1,-1,-3,-4,-5,-5,-5,-6,-6,-6,-6"
"2","0","1558521490270","05/22/19  10:38:10.270   ","1558521490270","05/22/19  10:38:10.270   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,13,14,14,13,11,7,5,2,-1,-2,-3,-5,-5,-5,-6,-6,-6,-6"
"3","0","1558521492269","05/22/19  10:38:12.269   ","1558521492269","05/22/19  10:38:12.269   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-13,-11,-7,-4,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,11,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6"
"4","0","1558521494292","05/22/19  10:38:14.292   ","1558521494292","05/22/19  10:38:14.292   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,0,3,4,5,6,7,7,8,7,7,8,8,8,8,8,9,8,8,8,9,10,10,11,12,13,14,14,14,12,10,6,3,0,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6"
"5","0","1558521496324","05/22/19  10:38:16.324   ","1558521496324","05/22/19  10:38:16.324   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6"
"6","0","1558521498378","05/22/19  10:38:18.378   ","1558521498378","05/22/19  10:38:18.378   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6"
"7","0","1558521500393","05/22/19  10:38:20.393   ","1558521500393","05/22/19  10:38:20.393   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-8,-5,-2,1,3,4,6,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,11,11,12,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6"
"8","0","1558521502457","05/22/19  10:38:22.457   ","1558521502457","05/22/19  10:38:22.457   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-15,-14,-12,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,12,13,13,14,14,13,11,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6"
"9","0","1558521504481","05/22/19  10:38:24.481   ","1558521504481","05/22/19  10:38:24.481   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,13,14,14,13,10,7,4,1,-1,-2,-4,-5,-5,-6,-6,-6,-6,-6,-6"
