"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558526411614","05/22/19  12:00:11.614   ","9.63","-133.9","4.02","19.5","3.7","1.542","100","11.69","15.82","0.36","3.99","0.44","1.43","0.72","0.72","0","0","0","0.69","0","0.46","0","0.29","-134.1","66.3","-118","85","81.9","71.5","-92.9","173.5","169.2","0","0","0","-160.6","0","113.7","-120.8","-21.4"
"1558526412212","05/22/19  12:00:12.212   ","9.51","-133.9","4.022","21.4","3.7","1.614","100","9.82","15.82","1.28","4.3","0.95","0.95","0.64","1.19","0.22","0","0","0.57","0","0.52","0","0.33","-133.6","-41.8","-123.3","5.8","90.4","-17.3","-104.7","68.6","-179.4","-40.4","0","0","-151.6","0","113.7","-120.7","-9.4"
"1558526413466","05/22/19  12:00:13.466   ","9.5","-133.6","4.05","18.1","3.8","1.638","100","10.3","15.82","1.09","4.46","0.93","0.93","0.6","1.24","0","0","0","0.6","0","0.53","0","0.35","-134.2","126.4","-121.2","106.3","89","-159","-102.1","-115.9","177","0","0","0","-152.3","0","110.8","-120.6","-13"
"1558526414197","05/22/19  12:00:14.197   ","9.47","-133.5","4.041","19.4","3.7","1.623","100","8.9","14.89","0.74","4.32","1.2","1.16","0.69","1.04","0.28","0.23","0","0.82","0","0.34","0","0.33","-134","-98.8","-120.1","33.8","83.4","-94.3","-99.8","4.4","167.4","-19.7","-159.8","0","-151.1","0","118.9","-120.7","-25.3"
"1558526415466","05/22/19  12:00:15.466   ","9.61","-133.9","4.013","19.5","3.7","1.552","100","11.62","15.62","0.46","4.08","0.36","1.37","0.61","0.8","0","0","0","0.73","0","0.46","0","0.31","-134.3","77.1","-119.3","98","84","88.5","-90.1","178.9","169.6","0","0","0","-153.2","0","106","-120.6","-12.6"
"1558526416200","05/22/19  12:00:16.200   ","9.59","-133.9","4.015","18.2","3.5","1.655","100","9.32","15.98","0.83","4.86","1.49","1.18","0.57","0.99","0.3","0.22","0","0.8","0","0.49","0","0.34","-134.2","-155.2","-115.7","71.7","85.7","-122","-104.9","-50","-178","-8.5","-170.2","0","-165.9","0","132.4","-120.7","-22.7"
"1558526417457","05/22/19  12:00:17.457   ","9.59","-134.2","3.992","19.7","3.8","1.561","100","11.88","16.81","0.36","4.27","0.85","1.37","0.68","0.73","0","0","0","0.73","0","0.47","0","0.26","-134.2","35.8","-116.4","38.9","88.8","38.4","-108.3","137.2","-162.7","0","0","0","-154.9","0","133.2","-120.7","-24.2"
"1558526418202","05/22/19  12:00:18.202   ","9.59","-134","3.997","18.5","3.5","1.635","100","9.46","16.6","0.57","4.4","1.36","1.16","0.44","1.28","0.2","0","0","0.67","0","0.5","0","0.28","-134.5","155.3","-118","90.1","84","-160.4","-125.7","-97.2","-178.1","-2.2","0","0","-155.3","0","125","-120.7","-6.8"
"1558526419447","05/22/19  12:00:19.447   ","9.48","-134.4","3.974","19.7","3.8","1.615","100","11.12","17.39","0.61","4.25","1.05","1.54","0.7","1.13","0","0","0","0.53","0","0.49","0","0.34","-134","3.8","-119.5","18.5","81.3","-4","-109.7","96.2","-164.8","0","0","0","-151.8","0","109.6","-120.7","-23.4"
"1558526420194","05/22/19  12:00:20.194   ","9.49","-134.4","3.968","19.7","3.7","1.575","100","10.2","15.73","0.98","4.34","0.92","1.02","0.61","1.16","0","0","0","0.64","0","0.52","0","0.27","-134.3","116.9","-121.7","110.7","87.8","-159.8","-94.4","-133.8","172","0","0","0","-155.7","0","109","-120.8","-4.7"
"1558526421437","05/22/19  12:00:21.437   ","9.44","-134","3.956","20","3.8","1.635","100","11.68","17.23","0.54","4.51","1.08","1.54","0.55","0.93","0","0","0.25","0.6","0","0.52","0","0.31","-133.5","-34.5","-123.5","10.1","90.6","-10.9","-112.8","71.9","-178.1","-55","0","0","-154.4","0","106.1","-120.7","-24.3"
"1558526422204","05/22/19  12:00:22.204   ","9.43","-134.3","3.95","19.7","3.7","1.542","100","11.63","15.7","0.57","4.06","0.33","1.36","0.65","0.82","0","0","0","0.72","0","0.44","0","0.33","-134.4","81.5","-120.4","94.3","84.5","119.6","-88.6","177.1","164.6","0","0","0","-153.5","0","107.1","-120.6","-10.2"
"1558526423451","05/22/19  12:00:23.451   ","9.49","-134.2","3.963","20.7","3.9","1.616","100","9.17","15.21","1.08","4.25","0.92","1.07","0.61","1.13","0.23","0.2","0","0.72","0.2","0.45","0","0.31","-133.6","-69.9","-123.5","10.4","86.1","-57.4","-97.2","35","168.7","-44.5","-155.9","0","-149.6","51.5","105.5","-120.7","-22"
"1558526424198","05/22/19  12:00:24.198   ","9.46","-134.3","3.949","19.6","3.7","1.586","100","11.75","16.32","0.38","3.93","0.68","1.52","0.74","0.66","0","0","0.21","0.68","0","0.44","0","0.34","-134.3","54.7","-117","56.6","83.5","53","-100.9","157.5","-174.8","0","0","-159.1","-159.4","0","107.9","-120.7","1.7"
"1558526425432","05/22/19  12:00:25.432   ","9.52","-134.1","3.933","21.5","4","1.605","100","9.77","16.12","1.13","4.27","1.02","0.95","0.62","1.24","0.24","0","0","0.61","0.2","0.5","0","0.32","-133.9","-94.7","-120.7","32.4","83.4","-93.3","-96.1","5.5","164.6","-20.8","-159.5","0","-154.8","0","120","-120.7","-30.2"
"1558526426196","05/22/19  12:00:26.196   ","9.48","-134.3","3.939","19.8","3.7","1.597","100","11.61","16.96","0.43","4.36","0.97","1.47","0.63","0.8","0","0","0.2","0.65","0","0.45","0","0.3","-134.2","37.2","-116.6","47.4","86.8","39.6","-103.3","138.3","-161.8","0","0","-163.7","-164.4","0","113.8","-120.7","-0.2"
"1558526427440","05/22/19  12:00:27.440   ","9.48","-134.3","3.941","21.3","4","1.597","100","9.75","15.58","1.25","4.26","0.88","1.03","0.63","1.16","0","0","0","0.66","0","0.49","0","0.31","-134","-117.8","-117.2","53.9","83.5","-111.6","-107.6","-5.8","172.7","-0.1","-167.2","0","-155.1","0","128.1","-120.6","-13.8"
"1558526428202","05/22/19  12:00:28.202   ","9.5","-134.2","3.931","20.2","3.8","1.643","100","11.74","17.24","0.44","4.68","1.01","1.54","0.62","0.93","0","0","0.23","0.6","0","0.49","0","0.35","-133.9","20.4","-117.4","38.4","84.7","22.3","-100.5","122","-162.3","0","0","-142.1","-157.9","0","118.7","-120.7","-14.7"
"1558526429435","05/22/19  12:00:29.435   ","9.45","-134.3","3.939","20.1","3.8","1.592","100","9.03","15.06","1.03","4.26","0.96","1.04","0.59","1.15","0.24","0.2","0","0.75","0","0.44","0","0.28","-134.2","-140.2","-115.9","69.5","86.2","-118.7","-107.2","-28.6","-174.9","39.3","-168.3","0","-166.6","0","130.7","-120.7","-19.7"
"1558526430199","05/22/19  12:00:30.199   ","9.47","-134.3","3.935","20.4","3.8","1.652","100","11.02","17.4","0.6","4.37","1.07","1.58","0.68","1.08","0","0","0.28","0.53","0","0.51","0","0.33","-134","5.6","-119.5","28.6","81.1","-3","-107.6","98.9","-165","0","0","-168.7","-154.4","0","108.1","-120.8","-13.9"
"1558526431451","05/22/19  12:00:31.451   ","9.41","-134","3.968","19.6","3.7","1.616","100","8.98","14.94","0.79","4.28","1.1","1.14","0.62","1.03","0.27","0","0.21","0.8","0","0.4","0","0.28","-134.2","-157.5","-115.9","75.5","84.9","-123.4","-101.3","-58.8","-176.7","-13","179.1","0","-167.6","0","131.8","-120.7","-24.3"
