"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558527575955","05/22/19  12:19:35.955   ","1558527575955","05/22/19  12:19:35.955   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20,-59,-73,-81,-94,-100,-111,-116,-123,-130,-137,-148,-158,-169,-174,-182,-184,-189,-186,-185,-177,-165,-151,-133,-117,-91,-71,-48,-31,-12,9,35,62,93,115,138,153,167,172,176,180,182,185,185,191,189,192,161,154,148,135,128,111,103,90,80,70,59,50,41,29,21,6,-5,-20"
"1","0","1558527603970","05/22/19  12:20:03.970   ","1558527603970","05/22/19  12:20:03.970   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160,-166,-168,-174,-175,-174,-175,-171,-174,-165,-164,-154,-147,-137,-125,-115,-99,-91,-76,-68,-57,-47,-36,-27,-14,-5,11,20,38,52,65,83,95,112,124,135,146,154,164,173,182,187,192,196,199,199,196,182,171,148,132,106,87,61,44,24,1,-22,-50,-73,-99,-118,-137,-148,-160"
"2","0","1558527606143","05/22/19  12:20:06.143   ","1558527606143","05/22/19  12:20:06.143   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162,-167,-177,-181,-187,-188,-191,-191,-191,-191,-185,-180,-164,-152,-131,-115,-94,-78,-65,-50,-38,-17,-1,17,34,46,63,73,86,97,103,112,116,122,125,127,131,131,137,140,146,149,154,161,162,167,164,161,152,140,128,111,93,75,57,43,28,3,-18,-49,-70,-100,-119,-142,-162"
"3","0","1558527608179","05/22/19  12:20:08.179   ","1558527608179","05/22/19  12:20:08.179   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161,-166,-172,-173,-178,-177,-182,-182,-181,-178,-171,-165,-150,-140,-121,-107,-90,-76,-67,-53,-44,-30,-18,-6,9,21,33,49,57,73,79,93,100,109,115,122,130,137,149,159,168,175,179,186,184,187,183,165,146,122,102,78,61,41,25,-3,-26,-51,-74,-94,-117,-130,-145,-151,-161"
"4","0","1558527610199","05/22/19  12:20:10.199   ","1558527610199","05/22/19  12:20:10.199   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141,-163,-164,-163,-163,-160,-162,-161,-161,-158,-152,-150,-138,-132,-119,-109,-98,-88,-80,-68,-60,-50,-40,-32,-20,-9,5,24,41,65,80,104,118,135,145,156,162,172,181,190,195,198,202,202,182,166,147,127,105,87,67,55,36,18,-6,-27,-47,-68,-83,-100,-114,-122,-131,-134,-141"
"5","0","1558527612240","05/22/19  12:20:12.240   ","1558527612240","05/22/19  12:20:12.240   ","0","0","0","0","29703","0","64","512","49.96","0.3128","150.71","4095","0","0","0","-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118,-143,-141,-144,-143,-142,-146,-144,-146,-144,-146,-146,-142,-141,-134,-127,-119,-109,-101,-87,-75,-59,-50,-36,-23,-7,16,39,66,86,112,130,148,159,170,176,186,191,200,200,203,198,200,170,159,139,124,103,88,71,58,46,27,11,-8,-24,-38,-54,-65,-79,-89,-97,-106,-111,-118"
"6","0","1558527613970","05/22/19  12:20:13.970   ","1558527613970","05/22/19  12:20:13.970   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168,-172,-173,-178,-178,-182,-182,-183,-179,-173,-168,-154,-145,-125,-112,-94,-81,-70,-56,-48,-34,-23,-10,4,16,28,43,53,69,75,89,96,106,113,120,129,136,147,158,168,174,179,185,185,187,183,178,166,152,136,118,94,74,49,34,14,-8,-32,-60,-85,-114,-129,-151,-159,-168"
"7","0","1558527615955","05/22/19  12:20:15.955   ","1558527615955","05/22/19  12:20:15.955   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152,-146,-144,-146,-144,-146,-148,-144,-147,-145,-145,-142,-136,-133,-124,-117,-107,-97,-86,-72,-61,-48,-38,-24,-8,13,36,59,83,105,127,143,157,165,176,181,192,196,204,199,203,198,198,186,173,153,133,111,91,72,54,40,16,-4,-29,-50,-71,-91,-106,-123,-130,-140,-144,-148,-152"
"8","0","1558527617974","05/22/19  12:20:17.974   ","1558527617974","05/22/19  12:20:17.974   ","0","0","0","0","29703","0","64","512","49.98","0.3128","150.71","4095","0","0","0","-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119,-119,-124,-128,-133,-142,-150,-158,-164,-172,-174,-177,-175,-171,-164,-150,-137,-117,-99,-76,-58,-41,-26,-6,17,46,71,101,122,143,156,167,173,178,183,185,187,187,192,187,188,178,170,154,137,119,100,85,69,59,44,28,11,-8,-21,-38,-49,-62,-75,-85,-95,-103,-110,-117,-119"
"9","0","1558527619958","05/22/19  12:20:19.958   ","1558527619958","05/22/19  12:20:19.958   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151,-166,-173,-183,-190,-198,-197,-201,-198,-200,-191,-182,-163,-145,-123,-103,-81,-63,-47,-28,-9,16,38,62,81,100,119,128,141,144,153,154,157,158,156,157,155,158,155,153,152,145,142,132,125,116,105,98,86,79,66,57,47,37,27,13,-1,-21,-44,-63,-87,-104,-125,-138,-151"
