"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558526996543","05/22/19  12:09:56.543   ","16.1","-135","5.395","7.2","2.3","2.035","100","5.64","3.09","0.31","1.71","0.65","0.34","0.24","2.57","0","0.8","0","0","0","0","0","0.55","-135.2","-72.7","-51.7","-35.2","-32.1","-30.3","2.5","29.8","-100.2","0","-168.2","0","0","0","0","-120.7","175"
"1558526997215","05/22/19  12:09:57.215   ","16.02","-135.3","5.349","7.3","2.3","1.98","100","5.72","1.73","0.54","1.5","0.47","0.83","0.26","2.37","0","0.7","0","0","0","0","0","0.53","-134.9","126","-53.2","136.7","-24.6","158.2","23.6","-108.4","-99","0","-161.4","0","0","0","0","-120.7","-178.1"
"1558526998465","05/22/19  12:09:58.465   ","15.98","-135.2","5.363","6.9","2.2","2.055","100","5.77","3.18","0.35","1.57","0.52","0.65","0.33","2.6","0","0.79","0","0","0","0","0","0.54","-135.2","-25.4","-60.3","-43.3","-30.9","-1.3","36.3","89.7","-104.4","0","-171","0","0","0","0","-120.8","179.1"
"1558526999206","05/22/19  12:09:59.206   ","15.99","-135.3","5.339","7.2","2.3","1.981","100","5.92","1.69","0.5","1.58","0.39","0.84","0.26","2.41","0","0.74","0","0","0","0","0","0.63","-134.9","116.3","-47.4","134.7","-25.3","149.3","16.7","-126.4","-98.6","0","-163.4","0","0","0","0","-120.7","177.8"
"1558527000470","05/22/19  12:10:00.470   ","15.99","-135.1","5.392","7","2.3","2.063","100","5.81","3.24","0.47","1.56","0.56","0.64","0.34","2.54","0","0.75","0","0","0","0","0","0.46","-135.3","-33.5","-60.3","-45.3","-32.6","-1.3","34","83","-103.5","0","-166.6","0","0","0","0","-120.8","173.4"
"1558527001215","05/22/19  12:10:01.215   ","16","-135.4","5.365","7.1","2.3","1.986","100","5.81","1.71","0.39","1.66","0.34","0.87","0.29","2.42","0","0.75","0","0","0","0","0","0.54","-135.1","110.6","-45.6","126.4","-25","138.6","12.6","-117.7","-100","0","-161.1","0","0","0","0","-120.8","171.4"
"1558527002467","05/22/19  12:10:02.467   ","16","-135.3","5.354","7.1","2.3","2.06","100","5.76","3.24","0.33","1.56","0.65","0.68","0","2.62","0","0.72","0","0","0","0","0","0.56","-135.2","-33.8","-61.3","-46.2","-32","5.8","35.7","91.3","-101.2","0","-173.7","0","0","0","0","-120.8","175.9"
"1558527003210","05/22/19  12:10:03.210   ","15.99","-135.4","5.336","7.1","2.3","1.979","100","5.91","1.71","0.37","1.7","0.35","0.87","0.23","2.3","0","0.72","0","0","0","0","0","0.65","-135.1","110.6","-44.8","132.7","-25.7","141.4","11.5","-154.1","-100","0","-157.6","0","0","0","0","-120.8","173.2"
"1558527004464","05/22/19  12:10:04.464   ","15.97","-135.4","5.351","6.9","2.2","2.056","100","5.68","3.25","0.37","1.58","0.62","0.63","0","2.6","0","0.74","0","0","0","0","0","0.53","-135.2","-35.2","-59.3","-44.2","-32.6","2.6","32","70.4","-105.2","0","-165.3","0","0","0","0","-120.9","175.6"
