"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558528255075","05/22/19  12:30:55.075   ","1558528255075","05/22/19  12:30:55.075   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,9,8,8,9,10,10,11,12,13,14,14,13,12,8,5,2"
"1","0","1558528258078","05/22/19  12:30:58.078   ","1558528258078","05/22/19  12:30:58.078   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-14,-13,-11,-7,-3,0,2,4,5,6,7,7,8,7,7,8,8,8,8,8,8,9,9,8,8,9,10,11,12,13,14,14,14,13,11,8,4"
"2","0","1558528260082","05/22/19  12:31:00.082   ","1558528260082","05/22/19  12:31:00.082   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-8,-5,-1,2,3,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,10,12,13,13,14,14,13,11,9,5"
"3","0","1558528263016","05/22/19  12:31:03.016   ","1558528263016","05/22/19  12:31:03.016   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9,5,2,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,13,12,9"
"4","0","1558528265027","05/22/19  12:31:05.027   ","1558528265027","05/22/19  12:31:05.027   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11,8,5,2,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-13,-11,-8,-4,-1,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,13,14,14,13,11"
"5","0","1558528267046","05/22/19  12:31:07.046   ","1558528267046","05/22/19  12:31:07.046   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,14,14,13"
"6","0","1558528269042","05/22/19  12:31:09.042   ","1558528269042","05/22/19  12:31:09.042   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13,10,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,0,2,4,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,13,14,15,14,13"
"7","0","1558528271031","05/22/19  12:31:11.031   ","1558528271031","05/22/19  12:31:11.031   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-11,-7,-4,-1,2,4,5,6,6,7,7,7,7,7,8,7,8,8,8,8,9,8,9,9,10,11,12,13,14,14,14,13"
"8","0","1558528273031","05/22/19  12:31:13.031   ","1558528273031","05/22/19  12:31:13.031   ","0","0","0","0","29703","0","64","512","49.99","0.3126","150.71","4095","0","0","0","11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13,11,7,4,1,-1,-2,-4,-4,-5,-5,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-14,-14,-14,-13,-10,-7,-3,0,2,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,11,12,13,14,14,14,13"
"9","0","1558528275066","05/22/19  12:31:15.066   ","1558528275066","05/22/19  12:31:15.066   ","0","0","0","0","29703","0","64","512","50","0.3126","150.71","4095","0","0","0","12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,4,5,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,12,13,14,14,14"
