"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"0","                         ","34320","36368","15","5900","7436","271","30","286","542","798","1054","1310","1566","1822","2078","2334","2590","2846","3102","3358","3614","3870","4126","106","362","618","874","106","362","618","874","1130","1386","1642","1898","2154","2410","2666","35344","3178"
"1558528017608","05/22/19  12:26:57.608   ","0.43","62.9","0.246","34.3","0.3","0.223","100","4.12","31.97","1.82","10.05","0.66","2.68","0.41","3.26","0.47","1.37","0.26","1.24","0.26","0.67","0.42","0.69","63","-16.8","-72.5","-128.7","63","-16.8","-72.5","-128.7","-173.8","84.8","-11.7","0","-65.5","0","25.5","119.6","54"
"1558528018485","05/22/19  12:26:58.485   ","0.43","63","0.245","33.6","0.3","0.222","100","3.65","31.96","1.7","9.91","0.47","2.8","0","3.13","0","1.64","0.42","1.02","0.36","0.56","0.29","0.49","63","-12","-72.5","-119.7","62.9","-10.2","-72.5","-130.5","-174.8","108.3","-12.4","-13.6","-73.3","-124.4","26.9","119.5","58.1"
"1558528019704","05/22/19  12:26:59.704   ","0.43","63.1","0.247","34","0.3","0.222","100","2.79","31.68","1.09","9.97","0.3","2.29","0.34","3.19","0.3","1.46","0","1.08","0","0.64","0.35","0.42","63","-16.7","-72.2","-120.8","63","-14.2","-72.1","-117.8","-171.9","91.6","-5.6","12","-66.2","-171","38.7","119.6","47.7"
"1558528020542","05/22/19  12:27:00.542   ","0.43","63","0.246","33.8","0.3","0.222","100","2.68","31.67","0.95","10","0.34","2.32","0.27","3.26","0.5","1.39","0.22","1.36","0.33","0.49","0.27","0.69","62.8","-12.2","-72.5","-124.6","63","-15.6","-73","-138.6","-174.9","103","-11.9","0","-69.3","179.9","36.1","119.4","68.5"
"1558528021716","05/22/19  12:27:01.716   ","0.43","63","0.248","33.7","0.3","0.222","100","3.23","31.8","1.47","10.23","0.65","2.81","0","3","0","1.44","0.34","0.95","0.42","0.74","0.27","0.51","63.1","-17.3","-72.6","-123.7","63.1","-19.9","-72.3","-120.8","-173.4","105.1","-9.5","59.5","-66.6","-125.8","22.9","119.5","59.3"
"1558528022597","05/22/19  12:27:02.597   ","0.43","62.8","0.248","34.1","0.3","0.222","100","4.18","32.04","1.64","10.08","0.57","2.62","0","3.12","0","1.59","0","1.27","0","0.36","0.44","0.57","62.7","-18.2","-73.3","-128.3","62.9","-19","-72.9","-120","-174.6","113.4","-16.4","111.9","-75","173.2","32.5","119.5","38.4"
"1558528023737","05/22/19  12:27:03.737   ","0.43","62.7","0.247","33.6","0.3","0.22","100","3.54","31.84","1.45","9.98","0.81","2.37","0.47","3.18","0","1.43","0","1.4","0.26","0.73","0.29","0.55","62.8","-16.7","-72.7","-125.9","63","-17.5","-72.5","-132.7","-174","96.5","-11.1","0","-70.2","128.6","34.9","119.6","61.6"
"1558528024671","05/22/19  12:27:04.671   ","0.43","62.8","0.246","34","0.3","0.222","100","3.41","31.82","1.51","9.84","1.11","2.86","0","2.87","0","1.35","0.61","0.96","0.29","0.82","0","0.62","62.7","-12.3","-73","-131.2","62.7","-12.3","-73","-131.2","-174.7","78","-17.4","0","-72.1","85.6","19.5","119.4","29"
"1558528025535","05/22/19  12:27:05.535   ","0.43","62.7","0.247","33.8","0.3","0.224","100","3.56","31.91","1.61","9.89","0.58","2.61","0","2.98","0.5","1.68","0","1.22","0.21","0.48","0.47","0.57","62.8","-14.8","-73","-143.8","62.6","-18.6","-73.2","-129.7","-175.3","118.8","-18.9","0","-72.1","0","34.8","119.4","64.4"
"1558528026237","05/22/19  12:27:06.237   ","0.43","62.8","0.246","33.8","0.3","0.221","100","3.42","31.83","1.54","9.72","0.9","2.57","0.27","3.04","0","1.1","0.41","0.6","0.27","0.81","0","0.56","62.6","-15.2","-73.2","-133.4","62.6","-15.2","-73.2","-133.4","-174.9","97.4","-13.7","-96","-68.7","0","24.7","119.4","21.9"
"1558528027524","05/22/19  12:27:07.524   ","0.44","62.4","0.248","34","0.3","0.223","100","3.57","31.77","1.38","10.12","0.62","2.46","0.42","3.52","0.34","1.22","0","1.15","0.35","1","0.23","0.82","62.7","-19.5","-72.7","-125","62.6","-15.4","-72.9","-123.2","-174.8","111.8","-5.2","57","-71.2","0","31.9","119.5","30.9"
"1558528028248","05/22/19  12:27:08.248   ","0.44","62.8","0.249","34.2","0.3","0.225","100","2.79","32.31","1.42","10.11","0.38","2.51","0.21","2.94","0.2","1.24","0","0.92","0.38","0.4","0.34","0","62.8","-13","-72","-131.3","62.8","-13","-72","-131.3","-173.6","133","-10.2","-139.6","-69.1","179.3","21.6","119.5","62.7"
"1558528029504","05/22/19  12:27:09.504   ","0.44","62.5","0.25","34.1","0.3","0.224","100","3.18","32.11","1.23","10.19","0.42","2.47","0","3.17","0.55","1.54","0","1.18","0.45","0.61","0","0.51","62.8","-17.5","-72.1","-111.4","62.8","-17.5","-72.1","-111.4","-173.8","108.9","-2.6","172.4","-73","-119.7","34.4","119.4","37.7"
"1558528030231","05/22/19  12:27:10.231   ","0.43","63","0.246","34.3","0.3","0.224","100","3.02","32.19","1.19","10.2","0.71","2.85","0","3.35","0","1.16","0.4","1.16","0.24","0.64","0.53","0.58","62.6","-18.9","-72.5","-126.9","62.6","-16.6","-72.9","-130.4","-173","109.3","-2.9","62","-67.9","0","42.3","119.5","29"
