"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","V2 Ang","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","35088","4201"
"1558525025496","05/22/19  11:37:05.496   ","5.48","-149.7","2.967","16.1","1.9","1.777","100","16.27","3.2","1.1","0.43","1.95","0.71","0.84","1.66","0.26","0.85","0.21","0.74","0","0.58","0","0.32","-149.2","-57.4","-173.5","-36.8","-146.4","-4.3","25.5","51.3","-133.8","0","-161.1","0","173.7","0","134.9","-120.4","56.4"
"1558525026221","05/22/19  11:37:06.221   ","5.45","-150","2.939","17.7","1.9","1.668","100","16.29","1.7","1.22","0.86","1.62","1.15","0.96","1.76","0","0.84","0","0.53","0","0.45","0","0.31","-149.2","141.9","-174.1","127.2","-145","-170.5","63","-105.6","-130.7","0","-151.7","0","167.9","0","139.8","-120.5","29.5"
"1558525027470","05/22/19  11:37:07.470   ","5.48","-149.9","2.947","17.5","1.9","1.765","100","16.53","3.23","1.17","0.46","2","0.66","0.87","1.67","0.25","0.85","0.22","0.7","0","0.59","0","0.28","-149.4","1.2","-99.1","-117.3","-89.4","15.2","12.9","91.3","-124.1","-95.5","-156.5","-122.8","158.9","0","148.1","-120.4","49.6"
"1558525028227","05/22/19  11:37:08.227   ","5.45","-150","2.949","18.1","1.9","1.659","100","16.53","1.64","1.25","0.81","1.64","1.23","0.92","1.75","0","0.97","0","0.65","0","0.49","0","0.37","-149","139.7","179","126.3","-146.2","-171.2","55.8","-107","-130.2","0","-151.1","0","165.8","0","138.7","-120.5","39.2"
"1558525029468","05/22/19  11:37:09.468   ","5.48","-149.7","2.955","17.2","1.9","1.774","100","16.51","3.26","1.02","0.5","1.92","0.56","0.85","1.73","0.2","0.82","0","0.71","0","0.54","0","0.27","-149.4","-3.4","-102.8","-120","-100.6","12.3","22.7","95.1","-123.5","-94.6","-155.4","0","161.4","0","148.4","-120.4","41.3"
"1558525030228","05/22/19  11:37:10.228   ","5.47","-149.9","2.942","17.2","1.9","1.66","100","16.81","1.59","1.17","0.81","1.54","1.23","0.96","1.67","0.2","0.9","0","0.54","0","0.48","0","0.27","-149.1","78.3","24.6","-123.4","-93.8","91.2","18.8","-165.9","-114.7","-101.3","-155.7","0","170.7","0","152.4","-120.4","68.6"
"1558525031464","05/22/19  11:37:11.464   ","5.48","-149.7","2.961","17.6","1.9","1.781","100","16.33","3.23","0.92","0.54","1.86","0.51","0.9","1.72","0","0.81","0","0.62","0","0.56","0","0.32","-149.5","-8","-108.8","-114.5","-113.1","5.3","49.9","91.7","-124.3","0","-155.7","0","164.3","0","146.6","-120.5","39.4"
"1558525032230","05/22/19  11:37:12.230   ","5.48","-149.8","2.951","16.7","1.9","1.659","100","16.31","1.59","1.13","0.78","1.61","1.26","0.93","1.66","0.22","0.94","0","0.54","0","0.47","0","0.25","-149.3","73.7","2.3","-117.1","-97.1","87.9","22.6","-177.8","-108.9","-114.5","-158.1","0","173.9","0","171.7","-120.5","62.3"
"1558525033471","05/22/19  11:37:13.471   ","5.47","-149.6","2.972","17","2","1.791","100","16.64","3.26","0.69","0.48","1.9","0.64","0.86","1.77","0.26","0.7","0","0.62","0","0.46","0","0.36","-149.5","-11.9","-111.1","-126.8","-125.4","6.6","69.6","85.4","-125.6","-85.4","-151.3","0","155.5","0","137.6","-120.6","26.8"
"1558525034216","05/22/19  11:37:14.216   ","5.48","-149.8","2.943","17.9","1.9","1.663","100","16.93","1.5","1.04","0.87","1.45","1.18","0.93","1.53","0","0.86","0","0.45","0","0.35","0","0.23","-148.9","127.2","161","135.7","-120.2","-172.6","40.8","-117.9","-134.7","0","-157.5","0","163.8","0","132","-120.4","66.7"
"1558525035469","05/22/19  11:37:15.469   ","5.48","-149.4","2.97","17.3","1.9","1.786","100","15.93","3.04","0.43","0.48","1.86","0.71","0.9","1.86","0.22","0.77","0","0.61","0","0.46","0","0.32","-149.3","-17.1","-114.1","-112.3","-137","5.6","75.5","78.1","-126","-95.9","-147.2","0","162.5","0","144.5","-120.5","33.4"
"1558525036210","05/22/19  11:37:16.210   ","5.48","-149.7","2.959","17.2","1.9","1.661","100","16.57","1.66","1.04","0.78","1.43","1.38","0.92","1.47","0","0.92","0","0.55","0","0.48","0","0.29","-148.8","121.6","155.6","141.8","-125.4","-176.6","38.5","-125.4","-131.2","0","-152.3","0","165.3","0","127.5","-120.5","48.3"
"1558525037460","05/22/19  11:37:17.460   ","5.48","-149.1","2.972","17.7","2","1.772","100","16.28","2.69","0.32","0.71","1.92","0.96","0.95","1.82","0.23","0.84","0","0.58","0","0.51","0","0.32","-149.1","-23.7","-122.6","-106","-150.3","9.4","74.7","68.9","-127.6","-61.2","-152.5","0","168.5","0","144.8","-120.5","42.7"
"1558525038212","05/22/19  11:37:18.212   ","5.5","-149.6","2.969","17.4","1.9","1.66","100","16.92","1.5","1","0.92","1.28","1.34","0.89","1.39","0","0.95","0.2","0.65","0","0.5","0","0.36","-148.8","116.6","147.3","148.5","-116.9","169.8","31.7","-124.4","-129.6","0","-157.9","54.4","176.2","0","128.2","-120.5","52.7"
"1558525039466","05/22/19  11:37:19.466   ","5.49","-148.9","2.971","17.2","2","1.77","100","16.3","2.35","0.55","0.78","1.78","1.08","1.03","1.83","0","0.83","0","0.49","0","0.46","0","0.32","-148.8","-32.9","-132.1","-47.6","-158.7","6.5","64.5","71.6","-129.5","0","-148.9","0","171.3","0","138.9","-120.4","48.5"
"1558525040222","05/22/19  11:37:20.222   ","5.51","-149.6","2.96","16.9","1.9","1.661","100","17.11","1.36","1.04","0.98","1.12","1.39","0.78","1.26","0","1.03","0","0.65","0","0.42","0","0.34","-148.7","108.2","136.8","156.7","-113.4","155.1","30","-126.5","-130.5","0","-155.2","0","-179","0","138.3","-120.4","58"
"1558525041457","05/22/19  11:37:21.457   ","5.48","-148.8","2.989","17.5","1.9","1.772","100","16.17","1.92","0.96","0.81","1.75","1.14","1.07","1.79","0","0.96","0","0.53","0","0.5","0","0.34","-149","-40","-151.3","-42.2","-159.5","3.4","47.9","63.4","-131.9","0","-153.3","0","172.4","0","137.1","-120.6","62.8"
"1558525042214","05/22/19  11:37:22.214   ","5.54","-149.5","2.963","16.8","1.9","1.671","100","16.88","1.08","0.85","1.09","1.07","1.44","0.8","1.15","0","1.01","0","0.68","0","0.43","0","0.36","-148.9","100.1","122.2","161.9","-107.8","133.2","25.8","-136.2","-128.8","0","-158","0","-176.6","0","137.7","-120.6","54.9"
"1558525043474","05/22/19  11:37:23.474   ","5.5","-148.9","2.979","17.5","2","1.743","100","16.71","1.89","1.14","0.78","1.47","1.14","0.97","1.5","0","0.91","0","0.57","0","0.46","0","0.31","-149","-50.2","-169.9","-37","-147.4","-3.4","32.7","63.9","-132.7","0","-153.9","0","-171.5","0","133.2","-120.5","0"
"1558525044230","05/22/19  11:37:24.230   ","5.54","-149.2","2.956","17.5","1.9","1.687","100","17.26","0.66","0.61","1.2","1.06","1.44","0.8","1.09","0","1.04","0.21","0.72","0","0.41","0","0.32","-149.1","89.1","92.5","-154.5","-102.2","109.5","21.7","-148.9","-126.6","0","-163","45.6","-171.2","0","143.4","-120.5","53.6"
"1558525045462","05/22/19  11:37:25.462   ","5.53","-148.6","2.992","17.1","1.9","1.723","100","16.14","1.94","1.04","0.73","1.33","1.23","1.03","1.35","0","0.92","0","0.54","0","0.41","0","0.3","-149.1","-62.1","177.6","-28.4","-129.8","-9.5","20.3","47.9","-134.7","0","-154.3","0","173.8","0","114.8","-120.5","55.8"
"1558525046213","05/22/19  11:37:26.213   ","5.57","-148.8","2.975","16.8","1.9","1.69","100","16.87","0.47","0.77","1.2","1.21","1.46","0.86","1.15","0","0.95","0.21","0.83","0","0.35","0","0.39","-149.1","77","12.3","-130.6","-97.2","89.4","14.3","-157.3","-118","0","-162","16.4","-173.3","0","140.7","-120.5","22.6"
"1558525047467","05/22/19  11:37:27.467   ","5.54","-148.9","2.99","17.7","1.9","1.706","100","16.65","1.58","1.06","1.03","1.17","0.94","0.95","1.06","0","0.74","0","0.53","0","0.3","0","0.31","-149.4","-69.9","176","-18.2","-120.6","-29","20.2","41.3","-141.4","0","-158.5","0","177","0","139.6","-120.6","57.8"
"1558525048212","05/22/19  11:37:28.212   ","5.54","-148.9","2.973","17.3","1.9","1.701","100","17.13","0.97","1","1.19","1.32","1.28","0.92","1.27","0","0.88","0.31","0.86","0","0.37","0","0.35","-149.2","70.7","-26.6","-112.2","-96.4","79.2","12.5","-172","-117.8","0","-158.2","-1.6","-179.3","0","134.5","-120.5","26.3"
"1558525049478","05/22/19  11:37:29.478   ","5.55","-149.1","2.989","17.5","1.9","1.708","100","16.86","1.78","1.03","0.82","1.04","1.2","1.04","1.13","0","0.96","0","0.72","0","0.37","0","0.27","-150.2","-133.8","-74.3","75.2","-105.7","-132","31.8","-20.7","-100","0","-159.6","0","173.5","0","173.5","-120.5","43.9"
