"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558528918960","05/22/19  12:41:58.960   ","1558528918960","05/22/19  12:41:58.960   ","0","0","0","0","29705","0","64","512","49.96","0.3126","150.74","4095","0","0","0","19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,23,21,18,14,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-21,-21,-20,-17,-13,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17"
"1","0","1558528922972","05/22/19  12:42:02.972   ","1558528922972","05/22/19  12:42:02.972   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,20,22,23,23,21,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15"
"2","0","1558528924977","05/22/19  12:42:04.977   ","1558528924977","05/22/19  12:42:04.977   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13,15,17,18,20,22,23,23,22,19,14,10,7,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,8,9,9,9,8,8,9,10,11,13"
"3","0","1558528926967","05/22/19  12:42:06.967   ","1558528926967","05/22/19  12:42:06.967   ","0","0","0","0","29705","0","64","512","49.98","0.3126","150.74","4095","0","0","0","13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,15,10,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-20,-21,-21,-21,-20,-18,-14,-10,-7,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,11"
"4","0","1558528928958","05/22/19  12:42:08.958   ","1558528928958","05/22/19  12:42:08.958   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,18,14,10,6,4,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-20,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11"
"5","0","1558528930971","05/22/19  12:42:10.971   ","1558528930971","05/22/19  12:42:10.971   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10,11,13,14,16,18,20,22,23,23,22,20,16,12,8,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-20,-21,-21,-20,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,9,8,8,9,10"
"6","0","1558528932961","05/22/19  12:42:12.961   ","1558528932961","05/22/19  12:42:12.961   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9,11,12,14,16,18,19,21,22,23,22,20,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-7,-8,-10,-11,-10,-10,-9,-10,-11,-12,-13,-15,-16,-17,-19,-20,-21,-21,-21,-19,-16,-12,-9,-6,-3,-2,0,2,3,4,5,5,6,6,8,9,9,8,8,8,9"
"7","0","1558528934981","05/22/19  12:42:14.981   ","1558528934981","05/22/19  12:42:14.981   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,22,23,22,21,17,13,9,6,3,1,-1,-3,-4,-6,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-18,-20,-21,-21,-21,-20,-17,-13,-9,-6,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9"
"8","0","1558528937021","05/22/19  12:42:17.021   ","1558528937021","05/22/19  12:42:17.021   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8,9,10,11,13,15,17,19,20,22,23,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,0,1,2,4,5,5,6,6,7,9,9,8,8,8"
"9","0","1558528939040","05/22/19  12:42:19.040   ","1558528939040","05/22/19  12:42:19.040   ","0","0","0","0","29705","0","64","512","49.99","0.3124","150.74","4095","0","0","0","8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8,8,9,10,11,13,15,16,18,20,22,23,23,22,19,14,10,7,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-21,-21,-20,-17,-14,-10,-7,-4,-2,-1,1,2,4,4,5,6,6,7,9,9,9,8"
