"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558522031300","05/22/19  10:47:11.300   ","1558522031300","05/22/19  10:47:11.300   ","0","0","0","0","29705","0","64","512","49.99","0.3124","150.74","4095","0","0","0","2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,12,14,16,18,20,22,23,23,23,21,17,13,9,5,3,0,-2,-3,-4,-6,-6,-7,-7,-8,-10,-11,-10,-9,-9,-10,-11,-12,-13,-15,-16,-18,-19,-21,-21,-22,-21,-19,-16,-12,-9,-6,-4,-2,0"
"1","0","1558522062319","05/22/19  10:47:42.319   ","1558522062319","05/22/19  10:47:42.319   ","0","0","0","0","29705","0","64","512","49.95","0.3128","150.74","4095","0","0","0","2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,22,23,23,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1"
"2","0","1558522064302","05/22/19  10:47:44.302   ","1558522064302","05/22/19  10:47:44.302   ","0","0","0","0","29705","0","64","512","49.95","0.3128","150.74","4095","0","0","0","2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,9,8,8,9,10,12,13,15,17,19,21,23,23,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1"
"3","0","1558522066305","05/22/19  10:47:46.305   ","1558522066305","05/22/19  10:47:46.305   ","0","0","0","0","29705","0","64","512","49.95","0.3126","150.74","4095","0","0","0","2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1,2,4,5,5,6,6,8,9,9,8,8,8,9,10,12,13,15,17,19,21,23,24,24,23,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-13,-14,-15,-17,-18,-20,-21,-22,-21,-20,-18,-14,-11,-7,-5,-3,-1,1"
"4","0","1558522068320","05/22/19  10:47:48.320   ","1558522068320","05/22/19  10:47:48.320   ","0","0","0","0","29705","0","64","512","49.95","0.3128","150.74","4095","0","0","0","2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,4,4,5,5,6,7,9,9,9,8,8,9,10,12,13,15,17,19,21,23,24,23,23,19,15,11,7,4,2,0,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1"
"5","0","1558522070312","05/22/19  10:47:50.312   ","1558522070312","05/22/19  10:47:50.312   ","0","0","0","0","29705","0","64","512","49.93","0.3126","150.74","4095","0","0","0","2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0,2,3,4,5,5,6,7,8,9,9,8,8,8,9,11,13,14,16,18,20,22,23,24,23,21,17,12,8,5,2,0,-2,-3,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-9,-10,-11,-12,-14,-15,-17,-18,-19,-21,-22,-22,-21,-19,-16,-12,-9,-6,-3,-1,0"
"6","0","1558522072324","05/22/19  10:47:52.324   ","1558522072324","05/22/19  10:47:52.324   ","0","0","0","0","29705","0","64","512","49.96","0.3126","150.74","4095","0","0","0","2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1,2,4,4,5,6,6,8,9,9,8,8,8,9,10,11,13,15,17,19,21,23,24,24,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-8,-9,-11,-11,-10,-9,-9,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-14,-11,-7,-5,-3,-1,1"
"7","0","1558522075359","05/22/19  10:47:55.359   ","1558522075359","05/22/19  10:47:55.359   ","0","0","0","0","29705","0","64","512","49.97","0.3126","150.74","4095","0","0","0","2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,8,9,9,8,7,8,9,10,11,13,15,17,19,21,23,24,24,23,20,15,11,7,4,2,-1,-2,-4,-5,-6,-7,-7,-8,-9,-10,-11,-10,-9,-10,-10,-11,-12,-14,-16,-17,-18,-20,-21,-22,-22,-21,-18,-14,-11,-8,-5,-3,-1,1"
"8","0","1558522078410","05/22/19  10:47:58.410   ","1558522078410","05/22/19  10:47:58.410   ","0","0","0","0","29705","0","64","512","49.99","0.3124","150.74","4095","0","0","0","2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1,2,3,4,5,5,6,7,9,9,8,8,8,9,10,11,13,15,17,19,21,22,23,23,22,19,15,11,7,4,1,-1,-2,-4,-5,-6,-7,-7,-7,-9,-11,-11,-10,-9,-10,-10,-11,-13,-14,-16,-17,-19,-20,-21,-22,-22,-21,-18,-15,-11,-8,-5,-3,-1,1"
"9","0","1558522081466","05/22/19  10:48:01.466   ","1558522081466","05/22/19  10:48:01.466   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1,3,4,5,5,6,6,8,9,9,8,8,8,9,10,12,14,16,18,20,21,23,24,23,22,18,14,10,6,3,1,-1,-3,-4,-5,-6,-7,-7,-8,-10,-11,-10,-10,-9,-10,-10,-12,-13,-15,-16,-17,-19,-20,-21,-22,-22,-20,-17,-14,-10,-7,-4,-2,0,1"
