"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558523066276","05/22/19  11:04:26.276   ","1558523066276","05/22/19  11:04:26.276   ","0","0","0","0","29703","0","64","512","49.95","0.3128","150.71","4095","0","0","0","-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-15,-15,-14,-12,-8,-5,-1,2,4,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,8,9,9,10,10,11,12,13,14,14,13,11,8,5,2,-1,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7"
"1","0","1558523074283","05/22/19  11:04:34.283   ","1558523074283","05/22/19  11:04:34.283   ","0","0","0","0","29703","0","64","512","49.95","0.3126","150.71","4095","0","0","0","-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-11,-13,-14,-14,-14,-13,-10,-6,-3,1,3,4,6,7,7,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-2,-3,-4,-5,-6,-6,-7,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7"
"2","0","1558523076282","05/22/19  11:04:36.282   ","1558523076282","05/22/19  11:04:36.282   ","0","0","0","0","29703","0","64","512","49.95","0.3128","150.71","4095","0","0","0","-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-15,-14,-13,-10,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,9,10,11,12,13,14,14,14,12,10,6,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7"
"3","0","1558523078270","05/22/19  11:04:38.270   ","1558523078270","05/22/19  11:04:38.270   ","0","0","0","0","29703","0","64","512","49.94","0.3128","150.71","4095","0","0","0","-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-10,-12,-13,-14,-14,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,12,13,14,14,14,12,9,6,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7"
"4","0","1558523080276","05/22/19  11:04:40.276   ","1558523080276","05/22/19  11:04:40.276   ","0","0","0","0","29703","0","64","512","49.95","0.3126","150.71","4095","0","0","0","-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-14,-14,-13,-10,-6,-3,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,3,0,-2,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7"
"5","0","1558523082267","05/22/19  11:04:42.267   ","1558523082267","05/22/19  11:04:42.267   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-9,-11,-12,-13,-14,-15,-14,-12,-9,-6,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,12,9,6,3,0,-2,-3,-4,-6,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7"
"6","0","1558523084271","05/22/19  11:04:44.271   ","1558523084271","05/22/19  11:04:44.271   ","0","0","0","0","29703","0","64","512","49.95","0.3128","150.71","4095","0","0","0","-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-10,-12,-13,-14,-15,-15,-13,-10,-7,-3,0,3,4,5,7,7,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,10,11,12,13,14,14,14,13,10,7,4,1,-1,-3,-4,-5,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-7,-7"
"7","0","1558523086306","05/22/19  11:04:46.306   ","1558523086306","05/22/19  11:04:46.306   ","0","0","0","0","29703","0","64","512","49.93","0.3128","150.71","4095","0","0","0","-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,2,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,14,14,12,9,5,2,-1,-2,-4,-5,-6,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7"
"8","0","1558523088345","05/22/19  11:04:48.345   ","1558523088345","05/22/19  11:04:48.345   ","0","0","0","0","29703","0","64","512","49.94","0.3126","150.71","4095","0","0","0","-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-1,1,3,5,6,7,7,8,8,8,8,8,8,8,8,9,8,9,8,8,9,10,10,11,12,13,14,14,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8"
"9","0","1558523090353","05/22/19  11:04:50.353   ","1558523090353","05/22/19  11:04:50.353   ","0","0","0","0","29703","0","64","512","49.96","0.3128","150.71","4095","0","0","0","-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-14,-12,-9,-5,-2,1,3,5,6,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,9,10,10,11,13,13,14,15,14,12,9,5,2,0,-2,-4,-5,-5,-6,-6,-7,-6,-6,-6,-7,-7,-7,-7,-7,-7"
