"FIND_KEY","HarmChannels","DoubleTimeStart"
"0","119","1558529398964"
"1","119","1558529406962"
"2","119","1558529408965"
"3","119","1558529410964"
"4","119","1558529412971"
"5","119","1558529414973"
"6","119","1558529416967"
"7","119","1558529418970"
"8","119","1558529420962"
"9","119","1558529422974"
"10","119","1558529425005"
"11","119","1558529427043"
"12","119","1558529429076"
"13","119","1558529431112"
"14","119","1558529433152"
"15","119","1558529435013"
"16","119","1558529437032"
"17","119","1558529439019"
"18","119","1558529441027"
"19","119","1558529442963"
"20","119","1558529444978"
"21","119","1558529447005"
"22","119","1558529449044"
"23","119","1558529451072"
"24","119","1558529453114"
"25","119","1558529455134"
"26","119","1558529457146"
"27","119","1558529459186"
"28","119","1558529461263"
"29","119","1558529462966"
"30","119","1558529464964"
"31","119","1558529466964"
"32","119","1558529468969"
"33","119","1558529470961"
"34","119","1558529472969"
"35","119","1558529474961"
"36","119","1558529476967"
"37","119","1558529736966"
"38","119","1558529742970"
"39","119","1558529745105"
"40","119","1558529747122"
"41","119","1558529749169"
"42","119","1558529751017"
"43","119","1558529753024"
"44","119","1558529755033"
"45","119","1558529756977"
"46","119","1558529759004"
"47","119","1558529761019"
"48","119","1558529763029"
"49","119","1558529765072"
"50","119","1558529767129"
"51","119","1558529769161"
"52","119","1558529771166"
"53","119","1558529773210"
"54","119","1558529775223"
"55","119","1558529777263"
"56","119","1558529778972"
"57","119","1558529780966"
"58","119","1558529782969"
"59","119","1558529784966"
"60","119","1558529786967"
"61","119","1558529788965"
"62","119","1558529790964"
"63","119","1558529792974"
"64","119","1558529794977"
"65","119","1558529797029"
"66","119","1558529799042"
"67","119","1558529801055"
"68","119","1558529803070"
"69","119","1558529805116"
"70","119","1558529807011"
"71","119","1558529809024"
"72","119","1558529811035"
"73","119","1558529813022"
"74","119","1558529814968"
"75","119","1558529816987"
"76","119","1558529819022"
"77","119","1558529821069"
"78","119","1558529823086"
"79","119","1558529825116"
"80","119","1558529827148"
"81","119","1558529829187"
"82","119","1558529831198"
"83","119","1558529833225"
"84","119","1558529835257"
"85","119","1558529836972"
"86","119","1558529838967"
"87","119","1558529840972"
"88","119","1558529842966"
"89","119","1558529844963"
"90","119","1558529846963"
"91","119","1558529848967"
"92","119","1558529850964"
"93","119","1558529852975"
"94","119","1558529855021"
"95","119","1558529857050"
"96","119","1558529859048"
"97","119","1558529861078"
"98","119","1558529863153"
"99","119","1558529865019"
"100","119","1558529867028"
"101","119","1558529869032"
"102","119","1558529871026"
"103","119","1558529872969"
"104","119","1558529874994"
"105","119","1558529877026"
"106","119","1558529879042"
"107","119","1558529881116"
"108","119","1558529883121"
"109","119","1558529885158"
"110","119","1558529887181"
"111","119","1558529889234"
"112","119","1558529891238"
"113","119","1558529893303"
"114","119","1558529894970"
"115","119","1558529896967"
"116","119","1558529898967"
"117","119","1558529900967"
"118","119","1558529902966"
"119","119","1558529904969"
"120","119","1558529906969"
"121","119","1558529908972"
"122","119","1558529910988"
"123","119","1558529912997"
"124","119","1558529915082"
"125","119","1558529917088"
"126","119","1558529919126"
"127","119","1558529921157"
"128","119","1558529923014"
"129","119","1558529925021"
"130","119","1558529927024"
"131","119","1558529928965"
"132","119","1558529930963"
"133","119","1558529933005"
"134","119","1558529935025"
"135","119","1558529937079"
"136","119","1558529939117"
"137","119","1558529941134"
"138","119","1558529943152"
"139","119","1558529945191"
