"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1558529398964","05/22/19  12:49:58.964   ","1558529398964","05/22/19  12:49:58.964   ","0","0","0","0","29704","0","64","512","49.96","0.3126","150.75","4095","0","0","0","-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190,-214,-230,-234,-233,-231,-231,-225,-204,-177,-153,-126,-98,-68,-51,-56,-62,-70,-84,-95,-100,-96,-82,-59,-29,4,38,72,100,126,145,167,196,223,243,251,253,251,246,237,213,184,156,124,92,60,52,54,59,65,78,86,89,84,69,45,15,-18,-51,-81,-107,-129,-147,-166,-190"
"1","0","1558529406962","05/22/19  12:50:06.962   ","1558529406962","05/22/19  12:50:06.962   ","0","0","0","0","29704","0","64","512","49.95","0.3126","150.75","4095","0","0","0","-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151,-171,-196,-218,-231,-234,-232,-229,-231,-221,-194,-170,-145,-118,-89,-60,-55,-57,-63,-74,-86,-96,-98,-91,-75,-50,-20,14,48,81,107,131,151,173,201,228,245,251,250,248,243,231,204,177,147,116,83,50,54,56,61,71,81,88,88,80,63,36,4,-29,-61,-91,-115,-134,-151"
"2","0","1558529408965","05/22/19  12:50:08.965   ","1558529408965","05/22/19  12:50:08.965   ","0","0","0","0","29704","0","64","512","49.96","0.3126","150.75","4095","0","0","0","-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130,-148,-166,-190,-213,-229,-234,-232,-230,-230,-227,-206,-176,-152,-126,-97,-68,-50,-55,-62,-72,-83,-95,-99,-95,-81,-59,-29,4,38,71,99,125,145,166,193,221,241,250,252,249,245,237,213,185,157,126,94,61,51,54,58,66,77,86,88,82,67,44,14,-19,-52,-81,-107,-130"
"3","0","1558529410964","05/22/19  12:50:10.964   ","1558529410964","05/22/19  12:50:10.964   ","0","0","0","0","29704","0","64","512","49.98","0.3126","150.75","4095","0","0","0","-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114,-134,-151,-170,-194,-216,-231,-234,-232,-231,-231,-223,-201,-173,-148,-121,-92,-63,-53,-56,-62,-72,-84,-94,-97,-91,-76,-53,-23,11,45,78,104,129,148,170,198,224,243,250,250,248,243,231,208,180,151,120,87,55,53,55,60,69,80,88,88,81,65,40,9,-25,-57,-87,-114"
"4","0","1558529412971","05/22/19  12:50:12.971   ","1558529412971","05/22/19  12:50:12.971   ","0","0","0","0","29704","0","64","512","49.97","0.3124","150.75","4095","0","0","0","-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85,-109,-131,-148,-167,-190,-213,-229,-233,-232,-230,-229,-224,-203,-174,-151,-124,-96,-67,-51,-56,-62,-72,-84,-94,-98,-93,-79,-56,-26,7,41,75,102,127,147,169,197,223,243,251,251,250,245,233,211,183,155,123,90,58,52,53,59,67,78,86,87,80,65,41,11,-22,-55,-85"
"5","0","1558529414973","05/22/19  12:50:14.973   ","1558529414973","05/22/19  12:50:14.973   ","0","0","0","0","29704","0","64","512","50","0.3124","150.75","4095","0","0","0","-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51,-80,-107,-130,-146,-163,-187,-211,-228,-234,-232,-230,-228,-226,-205,-177,-154,-127,-100,-71,-48,-54,-60,-69,-81,-92,-96,-93,-80,-58,-30,3,37,70,98,124,144,164,191,219,240,249,251,249,244,234,214,185,158,128,95,64,50,54,59,67,77,86,88,82,68,45,15,-18,-51"
"6","0","1558529416967","05/22/19  12:50:16.967   ","1558529416967","05/22/19  12:50:16.967   ","0","0","0","0","29704","0","64","512","50","0.3126","150.75","4095","0","0","0","-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24,-56,-86,-111,-134,-150,-168,-192,-215,-230,-233,-232,-229,-228,-222,-200,-174,-150,-123,-96,-66,-53,-57,-63,-72,-85,-95,-98,-92,-77,-53,-24,10,44,77,104,129,149,170,198,225,245,251,251,251,247,237,213,181,153,121,88,56,53,55,59,68,79,86,87,80,64,39,9,-24"
"7","0","1558529418970","05/22/19  12:50:18.970   ","1558529418970","05/22/19  12:50:18.970   ","0","0","0","0","29704","0","64","512","50","0.3126","150.75","4095","0","0","0","-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16,-17,-49,-79,-107,-129,-146,-163,-186,-211,-228,-233,-233,-231,-229,-226,-206,-179,-156,-129,-101,-71,-48,-55,-60,-69,-81,-92,-97,-94,-81,-59,-31,1,35,68,97,124,143,163,190,218,240,249,250,250,246,240,218,187,161,129,97,65,50,54,59,66,77,86,88,83,69,45,16"
"8","0","1558529420962","05/22/19  12:50:20.962   ","1558529420962","05/22/19  12:50:20.962   ","0","0","0","0","29704","0","64","512","49.99","0.3124","150.75","4095","0","0","0","26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52,26,-5,-38,-69,-98,-120,-140,-157,-177,-202,-222,-232,-232,-230,-228,-227,-212,-185,-163,-138,-111,-82,-52,-56,-59,-66,-77,-89,-97,-96,-86,-67,-40,-9,25,58,90,116,138,158,182,211,234,248,251,249,247,240,222,191,165,135,102,71,44,52,57,65,74,85,88,85,74,52"
"9","0","1558529422974","05/22/19  12:50:22.974   ","1558529422974","05/22/19  12:50:22.974   ","0","0","0","0","29704","0","64","512","49.99","0.3124","150.75","4095","0","0","0","53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73,53,24,-7,-41,-71,-101,-122,-141,-158,-178,-203,-223,-233,-233,-229,-228,-226,-211,-184,-162,-137,-109,-81,-51,-55,-59,-66,-77,-89,-96,-95,-86,-67,-40,-9,25,58,90,116,138,158,182,210,234,248,251,250,249,242,225,194,168,138,106,74,44,53,57,64,74,83,88,85,73"
