"FIND_KEY","HarmChannels","DoubleTimeStart"
"0","119","1558523982710"
"1","119","1558524004710"
"2","119","1558524006714"
"3","119","1558524008748"
"4","119","1558524010809"
"5","119","1558524018712"
"6","119","1558524020948"
"7","119","1558524022979"
"8","119","1558524024711"
"9","119","1558524026712"
"10","119","1558524028718"
"11","119","1558524030709"
"12","119","1558524032713"
"13","119","1558524034712"
"14","119","1558524036716"
"15","119","1558524038702"
"16","119","1558524040726"
"17","119","1558524042729"
"18","119","1558524044718"
"19","119","1558524046765"
"20","119","1558524048806"
"21","119","1558524050828"
"22","119","1558524052853"
"23","119","1558524054711"
"24","119","1558524056709"
"25","119","1558524058715"
"26","119","1558524060701"
"27","119","1558524062742"
"28","119","1558524064739"
"29","119","1558524066804"
"30","119","1558524068822"
"31","119","1558524070886"
"32","119","1558524072889"
"33","119","1558524074896"
"34","119","1558524076937"
"35","119","1558524078967"
"36","119","1558524080981"
"37","119","1558524082716"
"38","119","1558524084726"
"39","119","1558524086710"
"40","119","1558524088711"
"41","119","1558524090710"
"42","119","1558524092714"
"43","119","1558524094716"
"44","119","1558524096727"
"45","119","1558524098711"
"46","119","1558524100729"
"47","119","1558524102765"
"48","119","1558524104755"
"49","119","1558524106854"
"50","119","1558524108824"
"51","119","1558524110849"
"52","119","1558524112718"
"53","119","1558524114729"
"54","119","1558524116729"
"55","119","1558524118703"
"56","119","1558524120702"
"57","119","1558524122726"
"58","119","1558524124765"
"59","119","1558524126830"
"60","119","1558524128837"
"61","119","1558524130882"
"62","119","1558524132934"
"63","119","1558524134916"
"64","119","1558524136964"
"65","119","1558524138950"
"66","119","1558524141022"
"67","119","1558524142733"
"68","119","1558524144716"
"69","119","1558524146713"
"70","119","1558524148710"
"71","119","1558524150716"
"72","119","1558524152711"
"73","119","1558524154702"
"74","119","1558524156724"
"75","119","1558524158727"
"76","119","1558524160754"
"77","119","1558524162756"
"78","119","1558524164775"
"79","119","1558524166865"
"80","119","1558524168846"
"81","119","1558524170712"
"82","119","1558524172710"
"83","119","1558524174716"
"84","119","1558524176718"
"85","119","1558524178702"
"86","119","1558524180748"
"87","119","1558524182809"
"88","119","1558524184796"
"89","119","1558524186874"
"90","119","1558524188865"
"91","119","1558524190907"
"92","119","1558524192900"
"93","119","1558524194952"
"94","119","1558524202718"
"95","119","1558524204714"
"96","119","1558524206710"
"97","119","1558524208710"
"98","119","1558524210717"
"99","119","1558524212700"
"100","119","1558524214720"
"101","119","1558524216730"
"102","119","1558524218723"
"103","119","1558524220755"
"104","119","1558524222781"
"105","119","1558524224831"
"106","119","1558524226895"
"107","119","1558524228716"
"108","119","1558524230718"
"109","119","1558524232713"
"110","119","1558524234716"
"111","119","1558524236720"
"112","119","1558524238768"
"113","119","1558524240783"
"114","119","1558524242813"
"115","119","1558524244852"
"116","119","1558524246895"
"117","119","1558524248928"
"118","119","1558524250895"
"119","119","1558524252939"
"120","119","1558524254995"
"121","119","1558524256731"
"122","119","1558524258722"
"123","119","1558524260719"
"124","119","1558524262714"
"125","119","1558524264711"
"126","119","1558524266732"
"127","119","1558524268721"
"128","119","1558524270705"
"129","119","1558524272718"
"130","119","1558524274725"
"131","119","1558524276763"
"132","119","1558524278756"
"133","119","1558524280797"
"134","119","1558524282822"
"135","119","1558524284856"
"136","119","1558524286716"
"137","119","1558524288718"
"138","119","1558524290733"
"139","119","1558524292717"
"140","119","1558524294712"
"141","119","1558524296734"
"142","119","1558524298786"
"143","119","1558524300821"
"144","119","1558524302843"
