"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","V1 Ang","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","34832","4200"
"1558523938464","05/22/19  11:18:58.464   ","5.84","-24.2","3.785","15.4","1.9","2.053","100","13.71","4.07","1.27","1.64","1.22","1.06","0.63","2.22","0","0","0","0.31","0","0.32","0","1.25","-24.4","-174.6","-51.3","102.9","163","-15.3","125.5","-55.6","-84.2","0","0","0","-85.4","0","-57.6","0","92.3"
"1558523939336","05/22/19  11:18:59.336   ","5.83","-23.3","3.774","15.6","1.7","2.161","100","13.97","5.22","0.72","1.58","1.59","0.57","0.56","2.29","0","0.32","0","0.62","0","0.43","0","1.26","-25.5","-60.1","-32","-89.1","-168","55.5","99.6","30.8","-84.8","0","67.5","0","-60.1","0","-86.7","0","89.6"
"1558523940477","05/22/19  11:19:00.477   ","5.84","-23.3","3.78","14.3","1.8","2.125","100","14.7","6.25","0.45","1.1","1.85","0.61","0.85","2.48","0","0.29","0","0.61","0","0.45","0","1.03","-24.1","-170","-53.4","99.2","169.7","-13.1","122.1","-50.5","-84.6","0","126.5","-107.7","-85.6","0","-47.9","0","82.9"
"1558523941338","05/22/19  11:19:01.338   ","5.83","-25.7","3.757","15.6","1.8","2.079","100","13.26","3.23","1.41","1.7","1.04","0.88","0.66","2.26","0","0.21","0","0.27","0","0.4","0","1.19","-23.8","-1.6","-51.6","-73.5","155.9","159.5","130.4","131.5","-87.5","0","107.2","0","-17.9","0","-56.6","0","96"
"1558523942464","05/22/19  11:19:02.464   ","5.92","-25.6","3.758","15.8","1.7","2.15","100","13.92","5","0.81","1.44","1.46","0.79","0.49","2.21","0","0.3","0","0.66","0","0.4","0","1.18","-25.4","-53.7","-30.7","-79.6","-160.4","61.1","102.7","22.3","-83.3","0","73.5","0","-71.9","0","-81.5","0","91.7"
"1558523943330","05/22/19  11:19:03.330   ","5.92","-25.1","3.753","14.9","1.8","2.088","100","14.27","5.53","0.64","1.57","1.88","0.64","0.78","2.88","0","0.31","0","0.33","0","0.31","0","1.17","-23.6","55.6","-63.9","-81.8","176.6","-148.4","94.2","-176.7","-84.2","0","130.6","0","-101","0","-63.3","0","94.3"
"1558523944458","05/22/19  11:19:04.458   ","5.87","-25","3.738","15.5","1.8","2.065","100","13.34","3.25","1.43","1.74","1.11","0.82","0.67","2.31","0","0.29","0","0.23","0","0.44","0","0.97","-23.7","2.9","-53.2","-73.7","161.1","168.1","130","139.7","-88.2","0","81.8","0","-55","0","-60.3","0","89.7"
"1558523945332","05/22/19  11:19:05.332   ","5.89","-24","3.769","15.9","1.7","2.105","100","13.91","5.69","0.41","1.99","1.39","0.81","0.62","2.62","0.22","0.24","0","0.44","0","0.53","0.21","0.97","-25.8","115.5","-44.7","126.4","176.1","-127.9","56.6","-170.7","-79","57.3","155.7","0","-80.6","0","-55.7","0","88.1"
"1558523946466","05/22/19  11:19:06.466   ","5.9","-24","3.746","14.7","1.8","2.11","100","14.28","5.82","0.48","1.42","1.86","0.6","0.71","2.9","0","0.25","0","0.4","0","0.45","0","1.04","-23.9","61.7","-61.2","-97.9","176.4","-144.3","96.6","-174.3","-84.8","0","121.6","0","-106.1","0","-67.6","0","92.8"
"1558523947341","05/22/19  11:19:07.341   ","7.92","-22.4","4.223","11.3","1.8","2.165","100","10.21","2.59","0.93","1.47","0.85","0.7","0.4","1.54","0","0.22","0","0","0","0.23","0","0.7","-22","175","-44.4","106.5","152.4","-36.3","119","-61.8","-86","0","122.1","0","0","0","-42.6","0","79.7"
"1558523948466","05/22/19  11:19:08.466   ","7.71","-22.2","4.155","12.2","1.7","2.186","100","11.05","3.81","0.36","1.64","1.02","0.79","0.48","1.97","0","0","0","0.3","0","0.37","0","0.69","-22.4","120.4","-39.8","119","172.7","-123.6","64.9","-161.4","-80.1","0","0","0","-82.1","0","-56.6","0","91.6"
"1558523949347","05/22/19  11:19:09.347   ","7.29","-21.5","4.132","11.6","1.8","2.142","100","11.9","4.06","0.61","1.31","1.46","0.58","0.58","1.98","0","0","0","0.36","0","0.3","0","0.75","-20.9","-133.2","-48.5","87.7","174.9","22.8","130.8","-10.9","-88.4","0","0","0","-94","0","-96.2","0","85.3"
"1558523950487","05/22/19  11:19:10.487   ","7.2","-21.9","4.147","13.1","1.8","2.263","100","10.97","3.37","0.88","1.13","0.81","0.91","0.41","1.57","0","0.23","0","0.24","0","0.41","0","0.74","-25.7","94.9","-47.5","-178.8","149","-129.9","43","-164.5","-78.7","0","135.6","0","-85.4","0","-62.2","0","94.5"
"1558523951340","05/22/19  11:19:11.340   ","7.5","-24.3","4.225","11.3","1.8","2.323","100","11.66","4.84","0.52","1.11","1.58","0.6","0.53","1.83","0","0","0","0.36","0","0.21","0","0.82","-24.4","-120.4","-44.7","81.4","175.5","29.5","120.4","-1.5","-84.3","0","0","0","-126.1","0","-90.3","0","93.3"
"1558523952481","05/22/19  11:19:12.481   ","7.66","-25.1","4.259","12.9","1.8","2.282","100","11.09","3.51","0.5","1.27","0.88","0.83","0.4","1.73","0","0","0","0.39","0","0.43","0","0.74","-25.5","135.7","-35.8","103","169.8","-105","80.2","-150.2","-81.6","0","0","0","-48.9","0","-42.1","0","89.6"
"1558523953341","05/22/19  11:19:13.341   ","7.39","-21.7","4.293","12.2","2","2.133","100","11.33","3.03","0.94","1.73","1.06","0.8","0.54","1.75","0","0","0","0","0","0.31","0","0.84","-21","-167.3","-47.1","102.1","156.9","-9.2","122.4","-44.9","-88.9","0","0","0","0","0","-52.7","0","87.9"
"1558523954487","05/22/19  11:19:14.487   ","7.43","-20.7","4.282","12","1.8","2.145","100","11.65","3.85","0.63","1.61","1.63","0.45","0.58","2.24","0","0.2","0","0","0","0.33","0","0.99","-20.2","55.1","-59.5","-91.9","158.1","-150.2","94.7","-179.5","-87.9","0","128.8","0","0","0","-74.1","0","84.4"
"1558523955339","05/22/19  11:19:15.339   ","7.42","-20.5","4.306","12.8","1.9","2.195","100","11.47","4.31","0.43","1.92","1.54","0.44","0.64","2.04","0","0.22","0","0.41","0","0.46","0","0.87","-21.5","93.9","-47.6","-162","148.2","-128.7","63.7","-155.4","-81.5","0","131.4","0","-79.2","0","-61.5","0","89.7"
"1558523956701","05/22/19  11:19:16.701   ","7.51","-21.2","4.326","12.5","1.9","2.151","100","11.9","3.73","0.66","1.67","1.62","0.42","0.55","2.24","0","0","0","0","0","0.37","0","0.92","-20","52","-60.1","-90.3","157.8","-149.6","100.2","174.6","-89","0","0","0","0","0","-64","0","96.8"
"1558523957217","05/22/19  11:19:17.217   ","7.53","-21.6","4.361","12.8","1.9","2.167","100","11.64","3","0.97","1.76","1.46","0.44","0.58","2.09","0","0","0","0","0","0.3","0","0.88","-19.7","35.8","-61.7","-77.5","156.8","-158.8","118.8","158.3","-89","0","0","0","0","0","-83.5","0","88.6"
