"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1553006019583","03/19/19  14:33:39.583   ","1553006019583","03/19/19  14:33:39.583   ","0","0","0","0","29704","0","64","512","50.02","0.3124","150.75","4095","0","0","0","-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517,-477,-492,-519,-557,-578,-601,-615,-564,-541,-530,-494,-461,-412,-399,-384,-346,-315,-289,-238,-180,-141,-91,-7,85,172,247,307,367,393,429,493,516,471,485,518,554,577,599,614,569,541,524,490,457,414,397,386,344,318,291,244,186,132,87,7,-85,-174,-249,-309,-367,-392,-432,-495,-517"
"1","0","1553006023699","03/19/19  14:33:43.699   ","1553006023699","03/19/19  14:33:43.699   ","0","0","0","0","29704","0","64","512","50.04","0.3122","150.75","4095","0","0","0","-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419,-481,-512,-483,-485,-510,-546,-569,-594,-611,-575,-540,-530,-492,-462,-418,-400,-391,-348,-323,-295,-247,-188,-150,-100,-21,70,156,233,295,354,395,425,483,510,480,481,510,548,570,594,613,574,542,527,493,462,418,403,394,345,319,297,253,192,147,95,18,-68,-156,-236,-299,-357,-393,-419"
"2","0","1553006025581","03/19/19  14:33:45.581   ","1553006025581","03/19/19  14:33:45.581   ","0","0","0","0","29704","0","64","512","50.02","0.3122","150.75","4095","0","0","0","-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396,-421,-480,-509,-492,-479,-504,-544,-566,-593,-610,-580,-542,-536,-501,-473,-421,-392,-392,-351,-324,-297,-259,-193,-157,-104,-27,61,149,227,291,350,396,418,478,510,488,478,505,542,568,594,612,584,544,531,497,466,424,399,396,353,323,298,262,201,151,98,23,-61,-152,-228,-295,-352,-396"
"3","0","1553006027573","03/19/19  14:33:47.573   ","1553006027573","03/19/19  14:33:47.573   ","0","0","0","0","29704","0","64","512","50.05","0.3122","150.75","4095","0","0","0","-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337,-389,-409,-464,-507,-509,-472,-496,-538,-566,-590,-610,-597,-544,-539,-510,-491,-431,-397,-394,-364,-332,-303,-275,-206,-164,-111,-41,33,127,211,281,337,388,402,465,509,509,471,496,537,566,589,607,599,545,536,506,479,435,399,398,363,331,300,277,213,167,108,41,-34,-126,-207,-284,-337"
"4","0","1553006030106","03/19/19  14:33:50.106   ","1553006030106","03/19/19  14:33:50.106   ","0","0","0","0","29704","0","64","512","50.02","0.3122","150.75","4095","0","0","0","-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245,-309,-369,-394,-425,-487,-515,-480,-484,-510,-551,-573,-596,-610,-564,-545,-531,-492,-460,-412,-396,-389,-349,-317,-286,-242,-190,-146,-92,-12,76,160,244,306,365,394,425,484,513,478,482,509,548,570,594,609,559,540,529,493,458,416,398,384,347,321,291,238,190,145,93,8,-80,-162,-245"
"5","0","1553006033687","03/19/19  14:33:53.687   ","1553006033687","03/19/19  14:33:53.687   ","0","0","0","0","29704","0","64","512","50.03","0.3124","150.75","4095","0","0","0","-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27,-118,-197,-281,-333,-388,-402,-454,-507,-512,-465,-492,-532,-563,-587,-605,-603,-547,-537,-512,-488,-438,-401,-396,-367,-333,-305,-278,-215,-172,-115,-46,25,118,199,280,336,387,400,458,508,513,470,495,534,566,588,606,604,548,538,511,486,439,403,395,364,334,304,273,221,177,112,38,-27"
"6","0","1553006035585","03/19/19  14:33:55.585   ","1553006035585","03/19/19  14:33:55.585   ","0","0","0","0","29704","0","64","512","50.03","0.3122","150.75","4095","0","0","0","-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14,-101,-182,-267,-325,-381,-395,-444,-501,-517,-469,-495,-525,-562,-584,-604,-610,-551,-541,-522,-490,-430,-406,-409,-386,-344,-305,-277,-224,-186,-128,-63,9,102,186,263,326,385,397,445,502,512,473,493,527,563,584,604,612,557,542,526,490,447,408,395,375,343,313,280,223,182,122,58,-14"
"7","0","1553006044407","03/19/19  14:34:04.407   ","1553006044407","03/19/19  14:34:04.407   ","0","0","0","0","29704","0","64","512","50.07","0.3122","150.75","4095","0","0","0","175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217,175,113,43,-31,-122,-194,-276,-331,-390,-405,-454,-508,-511,-464,-493,-531,-562,-585,-604,-602,-549,-534,-512,-488,-439,-403,-395,-363,-336,-304,-274,-218,-172,-114,-50,28,118,194,275,332,387,404,454,503,508,465,494,531,562,587,606,600,543,536,514,486,445,407,397,358,334,306,278,217"
"8","0","1553006046409","03/19/19  14:34:06.409   ","1553006046409","03/19/19  14:34:06.409   ","0","0","0","0","29704","0","64","512","50.05","0.312","150.75","4095","0","0","0","227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289,227,182,133,71,-8,-98,-175,-258,-319,-381,-405,-449,-501,-522,-471,-496,-525,-562,-585,-606,-618,-561,-545,-528,-498,-455,-411,-400,-372,-347,-317,-288,-228,-176,-131,-76,5,99,179,262,319,380,405,448,504,520,470,494,525,561,584,606,616,561,538,524,493,454,414,397,374,340,318,289"
"9","0","1553006048536","03/19/19  14:34:08.536   ","1553006048536","03/19/19  14:34:08.536   ","0","0","0","0","29704","0","64","512","50.06","0.312","150.75","4095","0","0","0","293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324,293,253,203,161,96,15,-63,-145,-224,-296,-358,-402,-421,-480,-513,-498,-483,-507,-544,-571,-599,-614,-581,-544,-535,-502,-469,-429,-400,-395,-350,-325,-296,-252,-197,-162,-100,-18,60,144,226,295,357,397,423,480,511,497,481,505,548,573,600,616,587,548,535,500,469,426,403,394,346,324"
