"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1553006989686","03/19/19  14:49:49.686   ","1553006989686","03/19/19  14:49:49.686   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90,-69,-41,5,42,85,123,153,188,211,214,266,281,242,266,302,341,375,403,418,387,340,296,231,210,195,196,214,192,177,164,154,121,98,63,16,-25,-72,-114,-148,-181,-206,-213,-269,-294,-262,-295,-332,-367,-396,-421,-437,-406,-359,-314,-243,-215,-193,-187,-195,-170,-152,-135,-120,-90"
"1","0","1553006996452","03/19/19  14:49:56.452   ","1553006996452","03/19/19  14:49:56.452   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218,-184,-168,-152,-126,-90,-80,-45,7,45,88,125,156,192,218,228,274,291,256,279,311,346,377,406,425,394,340,295,226,201,182,182,198,172,164,158,142,107,101,71,18,-22,-64,-104,-135,-175,-204,-210,-261,-274,-244,-275,-314,-353,-385,-409,-429,-402,-354,-314,-254,-234,-213,-208,-218"
"2","0","1553006998666","03/19/19  14:49:58.666   ","1553006998666","03/19/19  14:49:58.666   ","0","0","0","0","29705","0","64","512","49.98","0.3124","150.74","4095","0","0","0","-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200,-208,-212,-186,-161,-136,-117,-92,-73,-24,23,61,93,134,168,208,220,244,281,285,250,279,306,335,362,388,396,340,301,255,221,196,176,182,191,172,160,140,124,106,94,49,-3,-43,-82,-119,-152,-193,-204,-233,-274,-277,-251,-285,-318,-349,-374,-396,-408,-361,-319,-279,-249,-224,-200"
"3","0","1553007001590","03/19/19  14:50:01.590   ","1553007001590","03/19/19  14:50:01.590   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248,-238,-206,-204,-219,-189,-166,-147,-127,-91,-79,-42,10,48,87,125,158,195,219,231,277,290,250,266,293,320,343,370,386,351,300,260,222,207,178,176,197,177,160,145,136,109,97,65,13,-24,-65,-104,-137,-176,-200,-211,-256,-272,-235,-260,-294,-336,-359,-381,-396,-356,-314,-278,-248"
"4","0","1553007003642","03/19/19  14:50:03.642   ","1553007003642","03/19/19  14:50:03.642   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291,-251,-248,-210,-189,-196,-183,-162,-146,-132,-97,-69,-57,-12,33,74,105,137,168,204,208,250,276,260,232,262,292,318,344,363,360,305,268,229,232,200,191,206,201,186,172,162,132,100,79,32,-14,-62,-96,-132,-164,-201,-207,-253,-287,-277,-254,-287,-316,-338,-359,-378,-378,-323,-291"
"5","0","1553007006591","03/19/19  14:50:06.591   ","1553007006591","03/19/19  14:50:06.591   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336,-298,-258,-246,-225,-200,-203,-210,-173,-153,-137,-116,-82,-65,-30,12,62,95,135,165,200,211,236,276,278,232,257,282,310,332,354,365,315,271,233,221,202,186,193,211,180,166,159,141,113,93,54,10,-42,-78,-121,-153,-190,-200,-228,-270,-278,-241,-270,-306,-331,-351,-370,-381,-336"
"6","0","1553007009572","03/19/19  14:50:09.572   ","1553007009572","03/19/19  14:50:09.572   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362,-366,-320,-288,-257,-252,-226,-211,-213,-210,-186,-163,-139,-118,-89,-67,-21,23,60,97,135,169,208,219,249,286,288,241,269,291,312,332,352,358,307,267,232,224,195,181,186,186,171,156,139,120,100,82,41,-5,-42,-76,-114,-148,-190,-200,-227,-264,-264,-237,-270,-298,-321,-343,-362"
"7","0","1553007011627","03/19/19  14:50:11.627   ","1553007011627","03/19/19  14:50:11.627   ","0","0","0","0","29705","0","64","512","50.01","0.3122","150.74","4095","0","0","0","-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354,-370,-368,-311,-283,-252,-250,-217,-198,-205,-190,-168,-148,-129,-101,-78,-56,-1,34,72,106,142,176,214,217,257,279,264,236,264,289,311,336,354,346,291,257,226,223,196,187,199,195,181,166,152,127,110,78,22,-23,-63,-96,-134,-169,-208,-217,-260,-286,-279,-259,-289,-314,-335,-354"
"8","0","1553007014583","03/19/19  14:50:14.583   ","1553007014583","03/19/19  14:50:14.583   ","0","0","0","0","29705","0","64","512","50.03","0.3124","150.74","4095","0","0","0","-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317,-340,-359,-375,-338,-297,-265,-253,-235,-211,-209,-216,-185,-164,-146,-128,-92,-75,-37,12,48,90,131,161,199,217,236,281,291,243,261,283,309,329,351,363,323,275,239,222,204,180,182,195,174,159,150,139,109,98,61,12,-25,-66,-108,-140,-181,-202,-217,-260,-273,-231,-257,-287,-317"
"9","0","1553007016633","03/19/19  14:50:16.633   ","1553007016633","03/19/19  14:50:16.633   ","0","0","0","0","29705","0","64","512","50.01","0.3122","150.74","4095","0","0","0","-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291,-318,-337,-355,-372,-346,-300,-269,-252,-241,-206,-198,-205,-180,-159,-137,-124,-93,-72,-44,6,43,84,121,155,188,214,222,269,282,237,248,272,298,321,344,359,326,278,245,227,217,193,192,207,190,177,159,149,124,105,67,14,-23,-64,-107,-142,-181,-207,-217,-264,-286,-250,-263,-291"
