"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"0","                         ","34320","36368","15","5900","7436","271","30","286","542","798","1054","1310","1566","1822","2078","2334","2590","2846","3102","3358","3614","3870","4126","106","362","618","874","106","362","618","874","1130","1386","1642","1898","2154","2410","2666","2922","3178"
"1555347595428","04/15/19  16:59:55.428   ","0.52","61.4","0.186","34","0.3","0.179","100","4.2","32.31","1.95","8.96","0.4","1.99","0.34","2.39","0.4","1.2","0.29","0.64","0","0.45","0","0.54","61.5","-11","-70.5","-132.1","61.4","-14.6","-70.4","-124.8","-174.5","97.6","3.3","0","-64","-15.2","21.7","134.5","8.6"
"1555347596204","04/15/19  16:59:56.204   ","0.52","61.4","0.184","33.9","0.3","0.178","100","4.25","32.15","1.88","8.89","0.56","1.91","0","2.38","0.3","1.02","0","0.63","0","0.71","0","0.62","61.5","-11.5","-70","-126.2","61.5","-11.5","-70","-126.2","-173.2","104.3","1.2","0","-63.7","-12","7.7","0","19.4"
"1555347597415","04/15/19  16:59:57.415   ","0.52","61.5","0.185","33.8","0.3","0.177","100","3.89","32.01","1.64","8.82","0.42","2.11","0.34","2.49","0.31","0.59","0","0.86","0.22","0.42","0.61","0.62","61.4","-8","-70","-132.6","61.4","-8","-70","-132.6","-174.7","105.9","-3.2","-37.1","-65.2","-83.1","3.7","0","28.2"
"1555347598208","04/15/19  16:59:58.208   ","0.52","61.5","0.185","34","0.3","0.178","100","3.82","32.27","1.33","8.89","0.65","2.44","0.5","2.43","0.3","1.32","0","0.9","0.2","0.41","0.45","0.34","61.3","-12.4","-70.8","-130.7","61.3","-12.4","-70.8","-130.7","-176.3","124.7","-4.4","-26","-69.6","-104.1","26.3","0","24.6"
"1555347599418","04/15/19  16:59:59.418   ","0.52","61.3","0.186","33.9","0.3","0.178","100","3.6","32.04","1.61","8.95","0.43","2.15","0.6","2.56","0.26","0.91","0.29","0.87","0.29","0.33","0.37","0.53","61.4","-11.2","-70.1","-135.7","61.4","-11.2","-70.1","-135.7","-173.5","77.5","-1.6","-60.5","-58.5","0","26.9","150.4","36.1"
"1555347600203","04/15/19  17:00:00.203   ","0.51","61.4","0.185","33.5","0.3","0.177","100","3.72","31.95","1.73","8.98","0.48","2.08","0.32","2.56","0.43","1.08","0.29","0.7","0","0.56","0.29","0.4","61.4","-11","-70.5","-132.2","61.4","-11","-70.5","-132.2","-173.9","100.7","0.8","-65.8","-66","-48.7","12.4","105.3","28.8"
"1555347601402","04/15/19  17:00:01.402   ","0.52","61.4","0.185","33.7","0.3","0.177","100","3.42","32.25","1.69","9.18","0.71","1.94","0.34","2.17","0.25","1.07","0","1.21","0.28","0.23","0.25","0.22","61.2","-19.9","-70.4","-136.8","61.2","-19.9","-70.4","-136.8","-173.3","131","-3.8","-17.7","-64.9","0","39.9","0","44.5"
"1555347602203","04/15/19  17:00:02.203   ","0.52","61.2","0.184","33.9","0.3","0.177","100","3.99","32.39","1.7","9.03","0.7","2.08","0.21","2.21","0.23","0.79","0.39","0.63","0","0.27","0.33","0","61.3","-17.9","-71.1","-130.9","61.3","-17.9","-71.1","-130.9","-173.3","135.7","-2.3","21.2","-61.3","7.9","33","-5.6","47.4"
"1555347603581","04/15/19  17:00:03.581   ","0.52","61.5","0.185","34.3","0.4","0.178","100","4.27","32.54","2.08","9.3","0.73","2.23","0.21","2.49","0","0.86","0.41","0.85","0","0.58","0","0.38","61.5","-17.1","-70.5","-124.1","61.5","-17.1","-70.5","-124.1","-175","134.8","1.5","-33.6","-60.7","57.8","18.9","0","37.6"
"1555347604199","04/15/19  17:00:04.199   ","0.52","61.4","0.185","34.1","0.3","0.177","100","4.65","32.24","2.17","8.88","0.58","1.84","0","2.05","0.25","0.85","0.22","0.85","0","0.49","0.26","0.35","61.4","-15.1","-70.8","-129.3","61.4","-15.1","-70.8","-129.3","-174.4","111.3","-0.2","0","-65.2","43.3","8.9","42.7","44.7"
"1555347605419","04/15/19  17:00:05.419   ","0.52","61.4","0.184","34.3","0.4","0.179","100","4.42","32.28","2.06","8.89","0.41","1.92","0","2.17","0.2","0.92","0.23","0.8","0","0.23","0.21","0.51","61.2","-11.4","-70.9","-124.4","61.2","-11.4","-70.9","-124.4","-173.9","104.7","2","0","-67","-21.6","10.9","94.4","29.4"
