"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","3945","4201"
"1555422970601","04/16/19  13:56:10.601   ","8.78","-123.8","2.41","2.6","0.5","0.336","100","0.21","0.84","0","0.9","0","0.59","0","2.05","0","0.27","0","0.61","0","0.37","0","0.38","-123.8","-180","171","0","-98.2","0","51.5","0","-111.6","0","-169.8","0","-137","0","-177.7","0","97.6"
"1555422971394","04/16/19  13:56:11.394   ","8.79","-123.7","2.416","2.5","0.4","0.338","100","0","0.8","0","0.95","0","0.6","0","2","0","0.2","0","0.53","0","0.35","0","0.41","-123.7","-119.4","172.8","0","-99.2","0","50.8","0","-112.5","0","0","0","-133.4","0","-173.5","0","103.5"
"1555422972173","04/16/19  13:56:12.173   ","8.77","-123.7","2.4","2.6","0.4","0.337","100","0.25","0.71","0","1","0","0.48","0","2.03","0","0.22","0","0.53","0","0.33","0","0.39","-123.7","171.7","169.2","0","-97.3","0","50.9","0","-112.3","0","173.3","0","-133.6","0","-171.9","0","109.3"
"1555422973390","04/16/19  13:56:13.390   ","8.79","-123.6","2.445","2.6","0.5","0.463","100","0.31","0.76","0","0.92","0","0.53","0","2.04","0","0.24","0","0.51","0","0.33","0","0.38","-123.7","-153.2","168.4","0","-102.9","0","46.5","0","-112.1","0","-175.3","0","-143.7","0","177.4","0","99.6"
"1555422974188","04/16/19  13:56:14.188   ","8.78","-123.8","2.444","2.5","0.4","0.46","100","0","0.7","0","0.89","0","0.55","0","2.06","0","0.21","0","0.44","0","0.32","0","0.36","-123.8","0","169.1","0","-99.5","0","50.5","0","-114.8","0","179.6","0","-143.3","0","-176.2","0","94.6"
"1555422975367","04/16/19  13:56:15.367   ","8.78","-123.7","2.44","2.6","0.5","0.459","100","0","0.73","0","0.96","0","0.56","0","2.03","0","0.27","0","0.59","0","0.35","0","0.41","-123.7","0","169.9","0","-96.8","0","57.3","0","-112.1","0","174.4","0","-137.7","0","-173.5","0","102.5"
"1555422976178","04/16/19  13:56:16.178   ","8.78","-123.7","2.41","2.6","0.5","0.335","100","0.37","0.73","0","0.94","0","0.57","0","2.02","0","0.29","0","0.54","0","0.36","0","0.4","-123.7","-131.5","168.1","0","-96.4","0","55.4","0","-111.3","0","-170.8","0","-134.8","0","-177.1","0","105.6"
"1555422977368","04/16/19  13:56:17.368   ","8.78","-123.6","2.412","2.6","0.5","0.336","100","0","0.82","0","0.89","0","0.59","0","2.04","0","0","0","0.52","0","0.36","0","0.39","-123.8","0","173.8","0","-94.7","0","59.3","0","-114.7","0","0","0","-134.8","0","-167.2","0","107"
"1555422978181","04/16/19  13:56:18.181   ","8.78","-123.7","2.409","2.6","0.5","0.337","100","0.29","0.78","0","0.97","0","0.5","0","1.94","0","0","0","0.61","0","0.41","0","0.43","-123.8","178.6","175.3","0","-98.8","0","58.3","0","-110.6","0","0","0","-128.1","0","-169.5","0","105.2"
"1555422979368","04/16/19  13:56:19.368   ","8.79","-123.7","2.416","2.6","0.4","0.339","100","0.36","0.71","0","0.96","0","0.48","0","2","0","0.24","0","0.53","0","0.33","0","0.35","-123.7","-151.9","170.1","0","-97.6","0","57","0","-114.9","0","-171.3","0","-138.8","0","-172.4","0","107"
"1555422980178","04/16/19  13:56:20.178   ","8.78","-123.7","2.418","2.5","0.4","0.336","100","0","0.7","0","0.97","0","0.46","0","1.99","0","0.2","0","0.52","0","0.34","0","0.34","-123.6","0","172.7","0","-96.8","0","57.4","0","-114","0","178.8","0","-139.1","0","-171.2","0","98.5"
"1555422981374","04/16/19  13:56:21.374   ","8.77","-123.7","2.414","2.6","0.5","0.338","100","0.21","0.69","0","1.01","0","0.44","0","1.96","0","0.25","0","0.62","0","0.37","0","0.36","-123.7","168.4","168.8","0","-93.7","0","57.6","0","-112.8","0","-179.1","0","-133.5","0","-166.6","0","105.2"
"1555422982173","04/16/19  13:56:22.173   ","8.78","-123.7","2.417","2.6","0.5","0.339","100","0.35","0.76","0","0.98","0","0.5","0","2.01","0","0","0","0.57","0","0.35","0","0.38","-123.7","-125.9","170.7","0","-95.9","0","52.7","0","-111.1","0","0","0","-127.7","0","-169.8","0","109.9"
"1555422983369","04/16/19  13:56:23.369   ","8.78","-123.6","2.419","2.5","0.4","0.337","100","0","0.77","0","0.92","0","0.54","0","2.04","0","0","0","0.49","0","0.32","0","0.4","-123.7","0","173.5","0","-97.9","0","55.4","0","-111.2","0","0","0","-133.4","0","-172.5","0","108.4"
"1555422984177","04/16/19  13:56:24.177   ","8.79","-123.7","2.411","2.6","0.5","0.342","100","0.34","0.81","0","0.9","0","0.57","0","2.05","0","0","0","0.57","0","0.35","0","0.45","-123.7","-162.4","172.4","0","-98.2","0","52.2","0","-111.6","0","0","0","-138.4","0","-172.3","0","101.6"
"1555422985359","04/16/19  13:56:25.359   ","8.78","-123.8","2.42","2.6","0.5","0.34","100","0.36","0.84","0","0.9","0","0.56","0","2.05","0","0.23","0","0.6","0","0.38","0","0.38","-123.8","-145.3","171.4","0","-98.8","0","58.1","0","-113.4","0","165.4","0","-128.3","0","-165.6","0","107.1"
"1555422986177","04/16/19  13:56:26.177   ","8.78","-123.7","2.414","2.5","0.4","0.337","100","0","0.82","0","0.94","0","0.57","0","2.02","0","0.26","0","0.63","0","0.35","0","0.4","-123.8","0","175","0","-96.2","0","53.8","0","-113.6","0","174","0","-134.8","0","-170.5","0","106.2"
"1555422987367","04/16/19  13:56:27.367   ","8.78","-123.7","2.415","2.6","0.5","0.337","100","0.32","0.82","0","0.93","0","0.56","0","2.02","0","0.21","0","0.55","0","0.34","0","0.39","-123.7","-173.5","174.4","0","-97.1","0","57.7","0","-110.9","0","0","0","-128.6","0","-165.1","0","114.6"
"1555422988186","04/16/19  13:56:28.186   ","8.78","-123.6","2.413","2.6","0.5","0.341","100","0.31","0.83","0","0.96","0","0.52","0","1.99","0","0.22","0","0.65","0","0.35","0","0.34","-123.7","-112.4","173.4","0","-96.3","0","66.3","0","-111.4","0","174.3","0","-119.7","0","-164.2","0","117.3"
"1555422989368","04/16/19  13:56:29.368   ","8.78","-123.8","2.413","2.5","0.5","0.338","100","0","0.88","0","0.91","0","0.57","0","2","0","0.22","0","0.71","0","0.38","0","0.42","-123.7","0","175.9","0","-97.6","0","62.9","0","-110.6","0","0","0","-126.8","0","-167.5","0","113.4"
"1555422990174","04/16/19  13:56:30.174   ","8.79","-123.6","2.407","2.6","0.4","0.335","100","0.32","0.79","0","0.96","0","0.51","0","1.99","0","0.2","0","0.58","0","0.33","0","0.38","-123.6","-146.2","173.9","0","-95.5","0","59.8","0","-110","0","155","0","-127.5","0","-165.6","0","114.5"
