"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"0","                         ","34320","36368","15","5900","7436","271","30","286","542","798","1054","1310","1566","1822","2078","2334","2590","2846","3102","3358","3614","3870","4126","106","362","618","874","106","362","618","874","1130","1386","1642","1898","2154","2410","2666","2922","3178"
"1555349653608","04/15/19  17:34:13.608   ","5.39","84.5","3.463","19.9","2.1","1.829","100","18.48","2.94","1.48","4.03","1.48","0.36","0.8","0.48","0.25","0.34","0","0","0","0","0","0","85.3","111.7","-56.9","118.1","84.6","51.5","-24.9","-95.6","-12.9","-53","44.3","142.3","99.4","0","0","0","0"
"1555349654378","04/15/19  17:34:14.378   ","5.36","85.5","3.467","20.4","2.2","1.897","100","17.67","1","0.7","4.33","1.41","0.93","1.1","0.21","0.2","0.38","0","0","0","0","0","0","84.5","-141.9","-61.1","92.4","84.5","-141.9","-61.1","92.4","-10.1","116.5","16.2","-39.8","26.1","179.7","161.4","0","0"
"1555349655582","04/15/19  17:34:15.582   ","5.39","86.3","3.502","18.9","2.1","1.801","100","18.91","2.35","0.23","3.63","1.42","0.26","1.02","0.36","0","0","0.2","0.38","0","0","0","0.25","85","14.7","-33.7","-71.6","85","14.7","-33.7","-71.6","-12.1","-89.1","-29.7","131.2","43.4","0","152.6","0","0"
"1555349656375","04/15/19  17:34:16.375   ","5.36","85.4","3.515","18.4","2","1.794","100","18.49","2.67","1.46","4.04","1.42","0.3","0.8","0.45","0.23","0.35","0","0","0","0","0","0","85.5","116.8","-56.1","116.8","85.5","116.8","-56.1","116.8","-11.1","15.4","29","-148.7","-115.3","0","0","-34.5","-64.9"
"1555349657595","04/15/19  17:34:17.595   ","5.31","84.5","3.482","19.8","2.1","1.795","100","19.53","5.32","1.7","3.73","1.73","0.64","0.8","0.66","0.26","0.31","0","0","0","0","0","0","86","-88.5","-85.6","-93.4","84.3","-150.9","-49.2","97.1","-12.8","111.7","8.1","-48.5","8.8","0","153.4","0","0"
"1555349658387","04/15/19  17:34:18.387   ","5.48","84.4","3.468","20.2","2.1","1.833","100","19.08","3.28","1.45","4.06","1.24","0.21","0.87","0.39","0","0.24","0","0","0","0","0","0","85","11.8","-35.3","-70.3","85","11.8","-35.3","-70.3","-11.6","-92.2","-31.1","128.1","35.8","0","146.2","0","0"
"1555349659581","04/15/19  17:34:19.581   ","5.56","85.5","3.473","19.4","2.2","1.893","100","17.76","0.79","0.54","4.2","1.44","1.02","1.13","0","0.22","0.46","0","0","0","0","0","0.24","84.9","163.1","-41.2","121.3","84.9","163.1","-41.2","121.3","-1.4","51.8","66.2","-95.9","-53.2","29.7","132","0","0"
"1555349660354","04/15/19  17:34:20.354   ","5.36","84.9","3.455","19.7","2.1","1.802","100","19.57","5.4","1.58","3.64","1.87","0.72","0.78","0.73","0.24","0.31","0.22","0","0","0","0","0","86.1","-96.9","-89.4","0","86.1","-96.9","-89.4","0","-9.2","166.6","20.2","-14.2","-117.7","0","-180","93.6","0"
"1555349661595","04/15/19  17:34:21.595   ","5.36","85.3","3.531","20.3","2.1","1.786","100","18.97","3.8","0.56","4.01","1.85","0.91","0.9","0.59","0","0","0.2","0.36","0","0","0","0","84.7","47.9","-17.6","-95.9","84.7","47.9","-17.6","-95.9","-14.1","-58.5","43","140.9","84.8","30.4","0","0","0"
"1555349662379","04/15/19  17:34:22.379   ","5.48","84.9","3.533","19.2","2.1","1.844","100","18.5","1.14","1.11","4.23","1.41","0.81","1.06","0.22","0.2","0.39","0","0","0","0","0","0.23","85","145.6","-47.4","122.2","85","145.6","-47.4","122.2","-4.1","39.1","59.5","-117.7","-79.5","20.1","114.3","0","-23.4"
"1555349663596","04/15/19  17:34:23.596   ","5.41","85.5","3.506","19.4","2.2","1.801","100","19.53","4.46","1.78","3.83","1.42","0.27","0.85","0.49","0","0.27","0","0","0","0","0","0","86.5","-69.6","-78.5","-93.5","86.5","-69.6","-78.5","-93.5","-4.1","-165.7","22.9","16","-95.6","178.4","158.1","137.6","0"
"1555349664358","04/15/19  17:34:24.358   ","5.45","86.6","3.513","20.1","2.2","1.831","100","18.95","2.79","0.34","3.71","1.37","0.62","1","0.37","0","0","0.25","0.43","0","0.22","0","0","84.9","23.8","-26.9","-79.9","84.9","23.8","-26.9","-79.9","-17.7","-79.8","-11.4","137.2","58.2","-4.4","0","0","0"
"1555349665599","04/15/19  17:34:25.599   ","5.49","84.6","3.502","19.7","2.2","1.916","100","17.96","0.91","0.57","4.14","1.41","0.99","1.19","0","0.31","0.5","0","0","0","0","0","0.26","84.5","170.2","-38.7","119","85.7","104.9","-59.2","129.9","-16.6","7.7","18.5","-165","-124.9","0","0","-44.4","-87.3"
"1555349666361","04/15/19  17:34:26.361   ","5.38","85.8","3.477","19.6","2.2","1.813","100","19.7","5.39","1.62","3.67","1.82","0.64","0.79","0.68","0.27","0.32","0","0","0","0","0","0","86.3","-94.2","-88.7","0","86.3","-94.2","-88.7","0","-10.7","169.4","12","-14.4","-117.4","156.7","168.6","98","0"
"1555349667575","04/15/19  17:34:27.575   ","5.5","85.1","3.536","20.2","2.1","1.797","100","19.01","3.88","0.54","4.09","1.82","0.98","0.92","0.53","0","0","0.2","0.38","0","0","0","0","84.9","46.3","-18.8","-94.3","84.9","46.3","-18.8","-94.3","-14.7","-60","39.6","136.9","74.2","19.7","0","0","0"
"1555349668510","04/15/19  17:34:28.510   ","5.5","84.9","3.558","19.4","2.2","1.825","100","19.2","2.39","0.27","3.59","1.33","0.35","1.01","0.33","0","0","0.24","0.41","0.2","0.21","0","0","85.2","16.5","-31.9","-73.2","85.2","16.5","-31.9","-73.2","-14.4","-87.1","-29.6","133","46.9","0","155.1","0","0"
"1555349669384","04/15/19  17:34:29.384   ","5.37","86.7","3.551","18.7","2.2","1.789","100","19.16","3.89","0.61","3.98","1.87","0.93","0.91","0.63","0","0","0.2","0.4","0","0.22","0","0","85.7","109.8","-58.8","124","84.9","48","-18.4","-94.7","-14.2","-58.9","48.2","137.4","80.7","11.5","0","0","-143.7"
"1555349670612","04/15/19  17:34:30.612   ","5.57","84.4","3.498","19.8","2.2","1.833","100","18.48","2.13","0.28","3.3","1.48","0.73","0.98","0.39","0","0.39","0","0","0","0","0","0.26","84.5","-168.4","-36.7","108.3","84.5","-168.4","-36.7","108.3","-6.7","89.7","7.9","-67.1","-18.2","0","151.6","0","0"
"1555349671467","04/15/19  17:34:31.467   ","5.47","84.7","3.487","19.7","2.2","1.811","100","19.74","4.86","1.86","3.84","1.55","0.39","0.85","0.51","0.24","0.28","0","0","0","0","0","0","86.8","-77","-81.9","-98.9","84.6","-139.7","-68.4","86.4","-7.5","111.8","15.3","-43.4","0","157.2","155.4","0","0"
"1555349672590","04/15/19  17:34:32.590   ","5.38","85.4","3.53","20.8","2.1","1.842","100","18.94","1.98","1.55","4.11","1.42","0.45","0.91","0.35","0","0.44","0","0.2","0","0","0","0","85.7","123.7","-54.7","116.8","85.4","63.5","-35.4","-100.8","-14","-31.8","59.7","146.5","110","29.9","0","0","-129.9"
"1555349673374","04/15/19  17:34:33.374   ","5.52","85","3.546","21","2.1","1.921","100","18.28","0.61","0.73","4.33","1.39","0.99","1.12","0","0.26","0.46","0","0","0","0","0","0.24","84.5","-142.4","-55.8","87","85","155.2","-42.7","123.9","-2.5","46.1","56.1","-106.9","-64.8","29.5","130.3","0","0"
"1555349674781","04/15/19  17:34:34.781   ","5.57","84.7","3.497","19.8","2.2","1.867","100","18.09","0.74","0.58","4.2","1.35","0.97","1.17","0","0.32","0.52","0","0","0","0","0","0.28","84.7","167.1","-39.6","121.2","84.7","167.1","-39.6","121.2","-1.6","55.1","51.3","-93.3","-48.2","35.9","139.7","0","0"
"1555349675442","04/15/19  17:34:35.442   ","5.48","86.6","3.533","18.6","2.2","1.813","100","19.16","2.63","0.31","3.65","1.33","0.56","1.01","0.33","0","0","0.23","0.44","0.21","0.23","0","0","85.2","21.1","-27.2","-76.7","85.2","21.1","-27.2","-76.7","-16.5","-83.4","-13.8","135.1","43.7","-22.6","0","0","0"
"1555349676605","04/15/19  17:34:36.605   ","5.6","84.7","3.499","19.8","2.3","1.87","100","18.17","0.51","0.67","4.32","1.32","1","1.13","0","0.3","0.5","0","0","0","0.2","0","0.29","84.8","-138.4","-75.4","80.4","85","159","-42","123","-2.5","49.1","54.8","-104.5","-54.5","23.6","131.6","0","0"
"1555349677520","04/15/19  17:34:37.520   ","5.39","85.2","3.52","20.3","2.2","1.887","100","18.51","1.89","0.36","3.47","1.43","0.73","1.02","0.34","0","0.4","0.2","0","0","0","0","0.25","84.5","-172.1","-36.9","110","84.5","-172.1","-36.9","110","-5.7","82","10","-71.2","-19.7","78.9","148.1","0","0"
