FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5553517068670000e+12
1,119,1.5553517128680000e+12
2,119,1.5553517148640000e+12
3,119,1.5553517168660000e+12
4,119,1.5553517248650000e+12
5,119,1.5553517268680000e+12
6,119,1.5553517288720000e+12
7,119,1.5553517308690000e+12
8,119,1.5553517328650000e+12
9,119,1.5553517348700000e+12
10,119,1.5553517368680000e+12
11,119,1.5553517388640000e+12
12,119,1.5553517408620000e+12
13,119,1.5553517428670000e+12
14,119,1.5553517448690000e+12
15,119,1.5553517469050000e+12
16,119,1.5553517488660000e+12
17,119,1.5553517508630000e+12
18,119,1.5553517528720000e+12
19,119,1.5553517548710000e+12
20,119,1.5553517568640000e+12
21,119,1.5553517588710000e+12
22,119,1.5553517608710000e+12
23,119,1.5553517628650000e+12
24,119,1.5553517648650000e+12
25,119,1.5553517668630000e+12
26,119,1.5553517688690000e+12
27,119,1.5553517708690000e+12
28,119,1.5553517728730000e+12
29,119,1.5553517748710000e+12
30,119,1.5553517768620000e+12
31,119,1.5553517788650000e+12
32,119,1.5553517808640000e+12
33,119,1.5553517828620000e+12
34,119,1.5553517848640000e+12
35,119,1.5553517868700000e+12
36,119,1.5553517888630000e+12
37,119,1.5553517909770000e+12
38,119,1.5553517928700000e+12
39,119,1.5553517948760000e+12
40,119,1.5553517988740000e+12
41,119,1.5553518009170000e+12
42,119,1.5553518028700000e+12
43,119,1.5553518048730000e+12
44,119,1.5553518068700000e+12
45,119,1.5553518088650000e+12
46,119,1.5553518108660000e+12
47,119,1.5553518128650000e+12
48,119,1.5553518148630000e+12
49,119,1.5553518168610000e+12
50,119,1.5553518188790000e+12
51,119,1.5553518208610000e+12
52,119,1.5553518228620000e+12
53,119,1.5553518248650000e+12
54,119,1.5553518268640000e+12
55,119,1.5553518288740000e+12
56,119,1.5553518308770000e+12
57,119,1.5553518328670000e+12
58,119,1.5553518348690000e+12
59,119,1.5553518368920000e+12
60,119,1.5553518388680000e+12
61,119,1.5553518408640000e+12
62,119,1.5553518428630000e+12
63,119,1.5553518488610000e+12
64,119,1.5553518568180000e+12
65,119,1.5553518588100000e+12
66,119,1.5553518608110000e+12
67,119,1.5553518628060000e+12
68,119,1.5553518648090000e+12
69,119,1.5553518668060000e+12
70,119,1.5553518688070000e+12
71,119,1.5553518708090000e+12
72,119,1.5553518729680000e+12
73,119,1.5553518748050000e+12
74,119,1.5553518768070000e+12
75,119,1.5553518788120000e+12
76,119,1.5553518808040000e+12
77,119,1.5553518828120000e+12
78,119,1.5553518848120000e+12
79,119,1.5553518868130000e+12
80,119,1.5553518888110000e+12
81,119,1.5553518908100000e+12
82,119,1.5553518928070000e+12
83,119,1.5553518948070000e+12
84,119,1.5553518968050000e+12
85,119,1.5553518988550000e+12
86,119,1.5553519008110000e+12
87,119,1.5553519028170000e+12
88,119,1.5553519048030000e+12
89,119,1.5553519068140000e+12
90,119,1.5553519088070000e+12
91,119,1.5553519108110000e+12
92,119,1.5553519128080000e+12
93,119,1.5553519148070000e+12
94,119,1.5553519168120000e+12
95,119,1.5553519188090000e+12
96,119,1.5553519208130000e+12
97,119,1.5553519228130000e+12
98,119,1.5553519248070000e+12
99,119,1.5553519268020000e+12
100,119,1.5553519288100000e+12
101,119,1.5553519308030000e+12
102,119,1.5553519328110000e+12
103,119,1.5553519427250000e+12
104,119,1.5553519447110000e+12
105,119,1.5553519468280000e+12
106,119,1.5553519487140000e+12
107,119,1.5553519507120000e+12
108,119,1.5553519527760000e+12
109,119,1.5553519549270000e+12
110,119,1.5553519567220000e+12
111,119,1.5553519587790000e+12
112,119,1.5553519608250000e+12
113,119,1.5553519627120000e+12
114,119,1.5553519647110000e+12
115,119,1.5553519667150000e+12
116,119,1.5553519687130000e+12
117,119,1.5553519707160000e+12
118,119,1.5553519727150000e+12
119,119,1.5553519747080000e+12
120,119,1.5553519767150000e+12
121,119,1.5553519787050000e+12
122,119,1.5553519987180000e+12
123,119,1.5553520007880000e+12
124,119,1.5553520027210000e+12
125,119,1.5553520067100000e+12
126,119,1.5553520088220000e+12
127,119,1.5553520217160000e+12
128,119,1.5553520237070000e+12
129,119,1.5553520257240000e+12
130,119,1.5553520277170000e+12
131,119,1.5553520298400000e+12
132,119,1.5553520317210000e+12
133,119,1.5553520337060000e+12
134,119,1.5553520357190000e+12
135,119,1.5553520377200000e+12
136,119,1.5553520397730000e+12
137,119,1.5553520417180000e+12
138,119,1.5553520457130000e+12
139,119,1.5553520477160000e+12
140,119,1.5553520497290000e+12
141,119,1.5553520517160000e+12
142,119,1.5553520539410000e+12
143,119,1.5553520557670000e+12
144,119,1.5553520577440000e+12
145,119,1.5553520597190000e+12
146,119,1.5553520617190000e+12
147,119,1.5553520657140000e+12
148,119,1.5553520677100000e+12
149,119,1.5553520697720000e+12
150,119,1.5553520719040000e+12
151,119,1.5553520737210000e+12
152,119,1.5553520758040000e+12
153,119,1.5553520777210000e+12
154,119,1.5553520797160000e+12
155,119,1.5553520818220000e+12
156,119,1.5553520837100000e+12
157,119,1.5553520858340000e+12
158,119,1.5553520877150000e+12
159,119,1.5553520898860000e+12
160,119,1.5553520917330000e+12
161,119,1.5553520937180000e+12
162,119,1.5553520957310000e+12
163,119,1.5553520977170000e+12
164,119,1.5553520998330000e+12
165,119,1.5553521037190000e+12
166,119,1.5553521077110000e+12
167,119,1.5553521099490000e+12
168,119,1.5553521127150000e+12
169,119,1.5553521147300000e+12
170,119,1.5553521167180000e+12
171,119,1.5553521188320000e+12
172,119,1.5553521207110000e+12
173,119,1.5553521229460000e+12
174,119,1.5553521257110000e+12
175,119,1.5553521277390000e+12
176,119,1.5553521297280000e+12
177,119,1.5553521317830000e+12
178,119,1.5553521337250000e+12
179,119,1.5553521358020000e+12
180,119,1.5553521377190000e+12
181,119,1.5553521397470000e+12
182,119,1.5553521417370000e+12
183,119,1.5553521437230000e+12
184,119,1.5553521457860000e+12
185,119,1.5553521477140000e+12
186,119,1.5553521497150000e+12
187,119,1.5553521519740000e+12
188,119,1.5553521547340000e+12
189,119,1.5553521567140000e+12
190,119,1.5553521674190000e+12
191,119,1.5553521694110000e+12
192,119,1.5553521714630000e+12
193,119,1.5553521755010000e+12
194,119,1.5553521774610000e+12
195,119,1.5553521797360000e+12
196,119,1.5553521815570000e+12
197,119,1.5553521835130000e+12
198,119,1.5553521858440000e+12
199,119,1.5553521884600000e+12
200,119,1.5553521904150000e+12
201,119,1.5553521924220000e+12
202,119,1.5553521946210000e+12
203,119,1.5553521965120000e+12
204,119,1.5553522004120000e+12
205,119,1.5553522024910000e+12
206,119,1.5553522044150000e+12
207,119,1.5553522067680000e+12
208,119,1.5553522094220000e+12
209,119,1.5553522116930000e+12
210,119,1.5553522136580000e+12
211,119,1.5553522154670000e+12
212,119,1.5553522194310000e+12
213,119,1.5553522214700000e+12
214,119,1.5553522234610000e+12
215,119,1.5553522255270000e+12
216,119,1.5553522274980000e+12
217,119,1.5553522294830000e+12
218,119,1.5553522314230000e+12
219,119,1.5553522335170000e+12
220,119,1.5553522355980000e+12
221,119,1.5553522374240000e+12
222,119,1.5553522395330000e+12
223,119,1.5553522414390000e+12
224,119,1.5553522455130000e+12
225,119,1.5553522475580000e+12
226,119,1.5553522494210000e+12
227,119,1.5553522515370000e+12
228,119,1.5553522537620000e+12
229,119,1.5553522564320000e+12
230,119,1.5553522585240000e+12
231,119,1.5553522604740000e+12
232,119,1.5553522624200000e+12
233,119,1.5553522644730000e+12
234,119,1.5553522665280000e+12
235,119,1.5553522794350000e+12
236,119,1.5553522814280000e+12
237,119,1.5553522834250000e+12
238,119,1.5553522857070000e+12
239,119,1.5553522875270000e+12
240,119,1.5553522897770000e+12
241,119,1.5553522925240000e+12
242,119,1.5553522944780000e+12
243,119,1.5553522964640000e+12
244,119,1.5553522985120000e+12
245,119,1.5553523005400000e+12
246,119,1.5553523175940000e+12
247,119,1.5553523206050000e+12
248,119,1.5553523226010000e+12
249,119,1.5553523247400000e+12
250,119,1.5553523275960000e+12
251,119,1.5553523305940000e+12
252,119,1.5553523325890000e+12
253,119,1.5553523446000000e+12
254,119,1.5553523476180000e+12
255,119,1.5553523506080000e+12
256,119,1.5553523535930000e+12
257,119,1.5553523565900000e+12
258,119,1.5553523595940000e+12
259,119,1.5553523625910000e+12
260,119,1.5553523656830000e+12
261,119,1.5553523686710000e+12
262,119,1.5553523716020000e+12
263,119,1.5553523746100000e+12
264,119,1.5553523766010000e+12
265,119,1.5553523796230000e+12
266,119,1.5553523825890000e+12
267,119,1.5553523846020000e+12
268,119,1.5553523876980000e+12
269,119,1.5553523906000000e+12
270,119,1.5553523935840000e+12
271,119,1.5553523966040000e+12
272,119,1.5553523995990000e+12
273,119,1.5553524025740000e+12
274,119,1.5553524056170000e+12
275,119,1.5553524084480000e+12
276,119,1.5553524106400000e+12
277,119,1.5553524135960000e+12
278,119,1.5553524165810000e+12
279,119,1.5553524195970000e+12
280,119,1.5553524227170000e+12
281,119,1.5553524255820000e+12
282,119,1.5553524286100000e+12
283,119,1.5553524316090000e+12
284,119,1.5553524348680000e+12
285,119,1.5553524375990000e+12
286,119,1.5553524408780000e+12
287,119,1.5553524437870000e+12
288,119,1.5553524465990000e+12
289,119,1.5553524495800000e+12
290,119,1.5553524639700000e+12
291,119,1.5553524670400000e+12
292,119,1.5553524704190000e+12
293,119,1.5553524730260000e+12
294,119,1.5553524752410000e+12
295,119,1.5553524780240000e+12
296,119,1.5553524810320000e+12
297,119,1.5553524842050000e+12
298,119,1.5553524870750000e+12
299,119,1.5553524901790000e+12
300,119,1.5553524930320000e+12
301,119,1.5553524960250000e+12
302,119,1.5553524990220000e+12
303,119,1.5553525020270000e+12
304,119,1.5553525050260000e+12
305,119,1.5553525080370000e+12
306,119,1.5553525110920000e+12
307,119,1.5553525130320000e+12
308,119,1.5553525160330000e+12
309,119,1.5553525190250000e+12
