"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","I1 H16 ANG","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","3944","4200"
"1555351179376","04/15/19  17:59:39.376   ","7.59","-20.7","4.517","13.4","2.1","2.239","100","12.38","2.95","1","2.69","1.22","0.37","0.56","0.33","0","0.84","0","0.67","0","0.56","0","0.63","-21.6","13.9","-54.1","-83.2","158.3","171.9","86.2","139","-151.3","0","148.8","0","168","0","-113.6","0","96.6"
"1555351180373","04/15/19  17:59:40.373   ","7.77","-21.7","4.493","13.7","2.1","2.257","100","12.69","2.95","1.18","2.41","0.9","0.68","0.47","0","0","0.79","0","0.4","0","0.63","0","0.64","-22.1","-88.4","-54.2","-30.3","157.6","53","16.6","31.4","-79.6","0","152.8","0","-156.4","0","-111.5","0","97.6"
"1555351181372","04/15/19  17:59:41.372   ","7.71","-21.8","4.478","13.4","2.1","2.31","100","12.91","4.17","0.86","3.14","0.94","0.77","0.37","0.25","0","0.69","0","0.46","0","0.74","0","0.65","-20.8","-123.9","-63.8","76.5","164","31.2","41.4","13.8","-98.3","0","148.2","0","-172.3","0","-115.7","0","95.2"
"1555351182224","04/15/19  17:59:42.224   ","7.64","-21.4","4.469","13.7","2.1","2.33","100","12.98","3.14","1.08","2.38","0.92","0.78","0.41","0","0","0.73","0.2","0.41","0","0.7","0","0.62","-22","-97.9","-56.4","-14.8","156","47","17.9","31.2","-87","0","148.3","0","-157.4","0","-113.9","0","92.3"
"1555351183356","04/15/19  17:59:43.356   ","7.73","-22.2","4.492","13.7","2.1","2.351","100","12.4","1.81","1.16","2.6","1.05","0.47","0.5","0.28","0","0.98","0","0.53","0","0.55","0","0.74","-22.7","102.1","-35.4","135","151.8","-123.5","-5.2","-136.3","-92.9","0","170.6","148.8","-160.8","0","-110","0","97.2"
"1555351184233","04/15/19  17:59:44.233   ","7.67","-21.4","4.542","12.9","2","2.37","100","12.83","2.93","1.11","2.5","1.17","0.83","0.41","0.41","0","0.81","0.26","0.45","0","0.57","0","0.8","-22.8","129.7","-22.5","96.4","159.1","-101.2","22.7","-110.6","-98.2","0","159.1","162.3","-156.6","0","-89.8","0","75.9"
"1555351185378","04/15/19  17:59:45.378   ","8","-25.6","4.541","13.6","2.2","2.387","100","12.46","3.58","1","2.16","0.83","0.85","0.43","0","0","0.72","0.21","0.43","0","0.69","0","0.66","-26.1","-35.8","-44.1","-72.3","163.2","102.1","71.1","77.7","0","0","146","-28.6","-149.6","0","-104.4","0","92.1"
"1555351186233","04/15/19  17:59:46.233   ","8.1","-26","4.517","13.5","2.2","2.371","100","12.12","3.11","1.19","2.49","1.03","0.52","0.53","0","0","0.7","0","0.41","0","0.63","0","0.6","-25.5","-13.6","-46.2","-75.5","150.6","139.7","89.3","108.3","0","0","138.8","0","176.1","0","-106.2","0","87.2"
"1555351187362","04/15/19  17:59:47.362   ","7.63","-22","4.476","14","2.2","2.273","100","12.99","4.58","0.21","2.72","1.42","0.5","0.46","0.56","0","0.73","0","0.74","0","0.73","0","0.73","-21.1","-178.8","-54.4","108.2","151.5","-16.7","56.4","-47.2","-130.6","0","151.8","0","170.8","0","-100.7","0","89.7"
"1555351188232","04/15/19  17:59:48.232   ","7.81","-22.6","4.49","14.3","2.2","2.266","100","12.28","2.74","0.96","2.89","1.18","0.34","0.49","0.37","0","0.85","0","0.78","0","0.65","0","0.6","-20.5","-155.7","-66.1","105.1","157","9.2","53.3","-24.8","-122.3","0","153.8","0","178.3","0","-115.6","0","84.3"
"1555351189369","04/15/19  17:59:49.369   ","7.66","-22.6","4.538","13","2","2.336","100","12.75","3.83","0.35","2.64","1.23","0.93","0.58","0.68","0.21","1.01","0.24","0.65","0","0.52","0","0.66","-21.4","38.8","-54.4","-93.6","159.3","-167.3","36.8","169.3","-118.3","0","152.3","0","172.3","0","-114.8","0","86.8"
"1555351190262","04/15/19  17:59:50.262   ","7.6","-20.9","4.544","13.7","2.1","2.266","100","13.17","4.26","0.28","2.27","1.45","0.43","0.5","0.73","0.21","0.85","0.23","0.69","0","0.58","0","0.69","-21.8","62","-50","-144.6","159","-146.7","13.7","-157.8","-108.7","-148.1","151","124","-178.5","0","-109.9","0","81.2"
"1555351191369","04/15/19  17:59:51.369   ","7.76","-22.3","4.494","13.4","2.1","2.318","100","13.14","3.37","0.99","2.54","0.91","0.83","0.43","0","0","0.71","0.23","0.44","0","0.69","0","0.67","-21.3","-108.5","-59.4","14.9","161.7","40.2","38.1","29.9","-80.3","0","149.6","0","-163","0","-117.2","0","90.9"
"1555351192259","04/15/19  17:59:52.259   ","7.76","-21.4","4.484","13.5","2.1","2.307","100","12.63","4.79","0.54","3.07","1.39","0.66","0.5","0.43","0","0.8","0","0.7","0","0.71","0","0.65","-22.3","-87.1","-53.4","-27.3","156.9","55.9","15.5","31.3","-64.8","0","154.7","0","-158.4","0","-113.1","0","95.1"
"1555351193390","04/15/19  17:59:53.390   ","7.74","-22.6","4.511","13.9","2","2.386","100","12.69","3.74","0.38","2.72","1.22","0.92","0.54","0.58","0","1.04","0.23","0.7","0","0.49","0","0.6","-22.8","106.7","-30.6","104.8","154.7","-120.9","-7.6","-134.8","-89.4","0","159.3","148.1","-177.5","0","-108.5","0","80.7"
"1555351194254","04/15/19  17:59:54.254   ","7.69","-21.3","4.551","13","2","2.383","100","12.84","2.98","1.12","2.54","1.21","0.69","0.41","0.32","0","0.94","0.23","0.52","0","0.63","0","0.62","-22.7","129.4","-23.4","97.9","159.8","-104.5","24.3","-118.6","-92.8","0","145.2","137.5","-173.1","0","-94.8","0","79.5"
"1555351195385","04/15/19  17:59:55.385   ","7.73","-22.4","4.53","14.2","2.1","2.27","100","13.11","3.38","0.99","2.54","0.87","0.8","0.43","0.2","0","0.65","0.25","0.38","0","0.65","0","0.61","-22.9","-42.6","-42.8","-73","168.8","93.2","71.8","66.2","-47.2","0","142.2","-24.4","-169.2","0","-112.4","0","97.7"
"1555351196260","04/15/19  17:59:56.260   ","7.79","-22.7","4.503","13.7","2.1","2.276","100","12.83","2.91","1.13","2.38","1","0.7","0.48","0","0","0.79","0","0.42","0","0.7","0","0.61","-22.6","-24.5","-47.9","-71.9","156.4","122.5","88.3","91.1","0","0","143.4","0","-174.4","0","-112.5","0","92.3"
"1555351197378","04/15/19  17:59:57.378   ","7.73","-21.5","4.495","14.1","2.2","2.289","100","12.46","1.8","1.18","2.6","1.04","0.47","0.5","0.2","0","1.01","0.2","0.62","0","0.51","0","0.66","-21.9","164.1","-43.3","113.5","147.1","-36.6","75.4","-73.2","-164.8","0","147.9","-160.4","161.9","0","-112.3","0","85.2"
"1555351198270","04/15/19  17:59:58.270   ","7.75","-23.4","4.53","14.2","2","2.33","100","12.23","1.79","1.19","2.91","1.04","0.28","0.59","0.28","0","0.95","0.21","0.72","0","0.52","0","0.74","-21.2","-179.1","-55.4","106.6","150.8","-18.7","65.6","-47.4","-125.8","0","150.6","-151.7","166.9","0","-111.7","0","88.1"
