"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"0","                         ","34320","36368","15","5900","7436","271","30","286","542","798","1054","1310","1566","1822","2078","2334","2590","2846","3102","3358","3614","3870","4126","106","362","618","874","106","362","618","874","1130","1386","1642","1898","2154","2410","2666","2922","3178"
"1555351816610","04/15/19  18:10:16.610   ","5.48","85.3","4.485","20","2.2","2.255","100","18.87","4.29","0.89","2.88","2.15","0.89","0.93","0.45","0.2","0","0","0.39","0","0","0","0.31","84.7","-145.7","-53.5","107.4","85.5","149.3","-49.6","128.5","4.8","43","52.9","-100.8","-75.2","0","0","0","0"
"1555351817778","04/15/19  18:10:17.778   ","5.6","85.9","4.532","20.9","2.1","2.227","100","18.73","3.34","1.59","3.57","1.59","0.47","0.83","0.55","0.24","0","0","0","0","0","0","0","85.2","40.1","-17.5","-113.9","86.6","-82.6","-81.5","-93.4","-12.4","-178.2","27.4","15.3","-119.7","84","0","0","-87.3"
"1555351818763","04/15/19  18:10:18.763   ","5.52","85.2","4.551","18.8","2.1","2.305","100","19.21","1.45","0.35","3.32","1.73","0.61","0.67","0.29","0","0.31","0.28","0.22","0","0.23","0","0","86.8","-64.1","-74","-90.3","85","-126.1","-88.4","0","-1.5","132.2","59.3","-28","26.3","0","0","-40.4","0"
"1555351819601","04/15/19  18:10:19.601   ","5.56","86.4","4.543","19.4","2.1","2.244","100","19.15","2","0.66","3.21","1.82","0.83","0.76","0.66","0.21","0.24","0","0.25","0","0.25","0","0","85.5","15.1","-34.7","-77.2","86.9","-46.5","-63.9","-79.2","-1.1","-152.5","75.7","68.8","-81.3","0","96.3","0","-36"
"1555351820776","04/15/19  18:10:20.776   ","5.51","84.8","4.49","20","2.2","2.337","100","18.41","1.52","0.88","3.62","1.43","0.56","0.88","0.35","0","0","0.2","0","0","0","0","0","84.6","-154.7","-43.7","102.9","86.1","77.2","-60.1","143.7","-6","1.8","5.5","-174.7","-135","-128.1","-169.4","-161.5","-140.9"
"1555351821754","04/15/19  18:10:21.754   ","5.67","84.7","4.487","21.3","2.2","2.296","100","19.11","3.87","1.7","3.69","1.8","0.67","0.84","0.67","0.22","0","0","0","0","0","0","0","86.5","94.4","-67.7","133.6","85.3","28.1","-24","-96.3","-10.7","-61.6","0.6","142.6","52","0","169.7","147.9","0"
"1555351822611","04/15/19  18:10:22.611   ","5.42","86","4.502","20.5","2.3","2.352","100","18.86","3.03","1.52","3.61","1.5","0.47","0.79","0.48","0.25","0.2","0","0","0","0","0","0","86.5","108.9","-65.6","119.4","85.6","44.5","-16.9","-123.4","-3.9","-44.2","19.6","146.1","0","0","-178.6","157.2","147.6"
"1555351823808","04/15/19  18:10:23.808   ","5.56","86.9","4.531","19.2","2.2","2.253","100","19.16","5.02","1.34","2.92","2.32","0.97","0.94","0.46","0.24","0","0","0.46","0","0","0","0.29","85","-130.9","-82.2","0","85.1","163.5","-43.4","125.2","6.3","52.2","72.2","-90.2","-53.7","4.7","0","0","0"
"1555351825068","04/15/19  18:10:25.068   ","5.56","85.7","4.555","18.5","2.2","2.293","100","18.88","1.46","0.5","3.92","1.69","0.76","0.64","0","0","0.31","0.29","0","0","0","0","0","86.9","-77.3","-78.8","-89.6","84.9","-142.6","-60.3","89.4","-8.2","121.8","34","-36.2","37.9","0","0","0","0"
"1555351826521","04/15/19  18:10:26.521   ","5.52","85","4.498","19.5","2.3","2.325","100","18.59","3.64","0.63","2.73","2.03","0.69","0.85","0.44","0.22","0","0","0.4","0","0","0","0.28","84.7","-154.6","-43.7","99.2","85.7","140","-52.9","121","3.5","34.4","47.4","-109","-84.4","-39.3","0","0","0"
"1555351827738","04/15/19  18:10:27.738   ","5.47","85.6","4.558","19.8","2.2","2.276","100","19.1","2.46","1.03","3.99","1.22","0.43","0.84","0.3","0","0.2","0.2","0","0","0","0","0","86.8","-41","-60.9","-74.7","86.4","-101.7","-86.5","-46","-6.5","166.1","58","-8.8","0","83.5","0","17.9","-92.3"
"1555351828748","04/15/19  18:10:28.748   ","5.48","87.1","4.522","20","2.2","2.253","100","18.61","3.48","0.52","2.74","2.01","0.66","0.82","0.38","0.2","0","0","0.37","0","0","0","0.25","84.8","-157.2","-41.7","102.5","86","136.9","-53.7","121.4","4","33.2","43.7","-110.6","-84.8","-51.8","0","0","0"
"1555351829901","04/15/19  18:10:29.901   ","5.48","85.4","4.579","19.6","2.1","2.34","100","19.2","1.93","0.73","3.31","1.84","1.01","0.73","0.69","0.25","0.25","0.2","0.28","0","0.25","0","0","85.5","16.9","-31.3","-74","87","-46","-63.5","-76.6","-1.8","-150","86.1","71.3","-81.7","0","53.9","0","-35.4"
"1555351830764","04/15/19  18:10:30.764   ","5.61","86.3","4.564","21.2","2.1","2.341","100","19.17","2.39","0.9","3.35","1.99","1.24","0.82","0.82","0.28","0.24","0","0.29","0","0.26","0.2","0","85.4","24.9","-25.7","-88.1","85.4","24.9","-25.7","-88.1","-11.1","-65.8","-5.2","143.5","47.8","0","0","0","0"
"1555351831747","04/15/19  18:10:31.747   ","5.46","86.1","4.606","18.3","2.2","2.283","100","18.77","1.8","0.76","4.21","1.45","0.71","0.74","0","0.22","0.29","0.26","0","0","0","0","0","86.7","-30.2","-54.6","-68.1","86.7","-91.8","-84.9","-77.6","-13.6","176.9","30.5","4.8","-140.7","86.7","0","0","-88.1"
"1555351832598","04/15/19  18:10:32.598   ","5.55","87.1","4.293","18.4","2.2","2.217","100","18.71","1.52","0.58","4.06","1.61","0.78","0.7","0","0","0.28","0.29","0","0","0","0","0","86.6","-22.5","-50.4","-65.8","86.9","-84.3","-82.1","-85.7","-13.7","-175.4","31.3","14.7","-127","88.5","0","0","-77.8"
"1555351833744","04/15/19  18:10:33.744   ","5.49","86","4.24","19.5","2.3","2.288","100","18.2","1.02","0.45","3.59","1.46","0.75","0.99","0.37","0","0","0.23","0","0","0","0","0.21","85.7","152.2","-49.4","124","86.8","87.8","-69.5","138.2","-7.9","9.3","2.7","-164.6","-122.2","-105.1","-150.4","-146.4","-122.6"
"1555351834821","04/15/19  18:10:34.821   ","5.59","86.2","4.297","20.3","2.1","2.199","100","19.29","2.61","0.93","3.4","2.1","1.3","0.79","0.86","0.29","0.24","0","0.34","0","0.26","0.2","0","85.7","28.6","-23.6","-98.1","86.7","-96.2","-85.8","-64","-11.7","174.6","41.4","-1.4","-144.9","94.6","0","89.5","-88.6"
"1555351835735","04/15/19  18:10:35.735   ","5.47","86.2","4.305","18.3","2.2","2.225","100","18.73","1.68","0.62","4.15","1.52","0.75","0.75","0","0.25","0.3","0.22","0","0","0","0","0","86.6","-26.9","-52.5","-65.7","87","-88.6","-83.3","-80.1","-12.2","-178.2","26.9","10.5","-132.7","93.5","0","0","-81.7"
"1555351836744","04/15/19  18:10:36.744   ","5.57","87.1","4.259","19.8","2.2","2.219","100","20.23","5.34","2.14","3.27","1.78","0.44","0.93","0.34","0","0.25","0","0.31","0.23","0","0","0","84.9","-147","-51.7","97.3","85.7","148.1","-49.6","122.7","5.1","40.7","53","-103.5","-73.9","-21.7","0","0","0"
"1555351837729","04/15/19  18:10:37.729   ","5.7","84.9","4.23","19.6","2.3","2.287","100","18.11","0.91","0.34","3.61","1.48","0.84","0.97","0.3","0","0.2","0.2","0","0","0","0","0.24","85.3","157.5","-46.8","122.7","85.3","157.5","-46.8","122.7","5.5","46.9","60.4","-94.2","-64.1","4.7","0","0","0"
"1555351839140","04/15/19  18:10:39.140   ","5.73","85","4.224","19.6","2.4","2.323","100","18.56","1.37","0.84","3.55","1.42","0.51","0.9","0.35","0","0","0.21","0","0","0","0","0.2","86.4","77.5","-62.2","141.3","85.5","10.7","-35.4","-71.8","-7.3","-92.3","0","130.5","29.3","0","152","0","0"
"1555351840760","04/15/19  18:10:40.760   ","5.57","87","4.249","19.2","2.2","2.212","100","19.65","5.35","1.43","2.88","2.39","0.95","0.95","0.46","0.26","0.22","0","0.49","0","0","0","0.27","85.1","-126","-89.9","0","85.1","167.6","-42.9","123.9","5.7","56.9","67.7","-87.9","-48.4","11.4","0","0","0"
"1555351842744","04/15/19  18:10:42.744   ","5.71","85.2","4.196","19.9","2.4","2.298","100","18.65","1.8","1.07","3.47","1.38","0.4","0.82","0.44","0","0","0","0","0","0","0","0","86.1","70.5","-54.7","159.7","85.6","4.3","-38.8","-67.6","-3.7","-105.4","0","122.1","28.7","0","138.7","0","0"
"1555351843564","04/15/19  18:10:43.564   ","5.53","86.3","4.211","19.7","2.4","2.308","100","18.27","0.99","0.4","3.63","1.48","0.8","0.98","0.36","0","0","0","0","0","0","0","0.23","85.4","151.5","-49.9","126","86.3","87.5","-70.4","143.4","-7.4","8.2","-0.4","-161.7","-122.6","-111.6","-160.4","0","-121.1"
