"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1555424707575","04/16/19  14:25:07.575   ","1555424707575","04/16/19  14:25:07.575   ","0","0","0","0","29705","0","64","512","50.02","0.3124","150.74","4095","0","0","0","-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-11,-11,-10,-10,-11,-12,-14,-16,-18,-19,-21,-23,-25,-25,-26,-25,-22,-18,-14,-10,-7,-4,-2,0,2,3,4,5,6,7,8,10,10,9,8,9,10,11,13,15,17,19,22,24,26,28,28,27,24,19,14,10,6,3,1,-1,-3,-5,-6"
"1","0","1555424709579","04/16/19  14:25:09.579   ","1555424709579","04/16/19  14:25:09.579   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4,-6,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,9,8,8,9,10,12,14,16,18,20,23,25,27,28,28,26,22,17,12,8,4,2,-1,-3,-4"
"2","0","1555424711569","04/16/19  14:25:11.569   ","1555424711569","04/16/19  14:25:11.569   ","0","0","0","0","29705","0","64","512","50.01","0.3124","150.74","4095","0","0","0","-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3,-5,-6,-7,-8,-8,-10,-11,-12,-11,-10,-11,-11,-12,-14,-16,-17,-19,-21,-23,-25,-26,-26,-25,-22,-18,-14,-11,-7,-5,-2,0,2,3,4,5,6,7,8,9,10,9,8,9,10,11,13,14,17,19,21,24,26,28,28,27,24,20,15,10,6,3,1,-1,-3"
"3","0","1555424713579","04/16/19  14:25:13.579   ","1555424713579","04/16/19  14:25:13.579   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-6,-6,-7,-8,-9,-11,-12,-11,-11,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-13,-9,-6,-4,-2,0,2,4,5,5,6,7,9,10,10,9,9,9,10,12,13,16,18,20,22,25,27,28,28,26,22,18,13,8,5,2,0"
"4","0","1555424715573","04/16/19  14:25:15.573   ","1555424715573","04/16/19  14:25:15.573   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2,-1,-3,-4,-6,-7,-8,-8,-10,-11,-12,-11,-10,-10,-11,-12,-13,-15,-17,-19,-20,-22,-24,-25,-26,-25,-23,-20,-15,-12,-8,-5,-3,-1,1,3,4,5,5,6,8,9,10,9,8,9,9,10,12,14,16,18,21,23,26,27,28,28,25,21,16,12,7,4,2"
"5","0","1555424717568","04/16/19  14:25:17.568   ","1555424717568","04/16/19  14:25:17.568   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-2,0,2,4,5,5,6,7,9,10,10,8,8,9,10,12,13,15,18,20,22,25,27,28,28,26,23,18,13,9,5"
"6","0","1555424719563","04/16/19  14:25:19.563   ","1555424719563","04/16/19  14:25:19.563   ","0","0","0","0","29705","0","64","512","49.99","0.3126","150.74","4095","0","0","0","5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-25,-24,-21,-17,-12,-9,-6,-3,-1,1,2,4,5,5,6,7,9,10,10,8,9,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,13,8"
"7","0","1555424721574","04/16/19  14:25:21.574   ","1555424721574","04/16/19  14:25:21.574   ","0","0","0","0","29705","0","64","512","49.97","0.3124","150.74","4095","0","0","0","8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12,8,5,2,0,-2,-4,-5,-7,-8,-8,-9,-11,-11,-11,-10,-10,-11,-12,-13,-15,-17,-18,-20,-22,-24,-25,-26,-26,-24,-20,-16,-12,-9,-6,-3,-1,1,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,16,18,20,23,25,27,28,28,26,22,17,12"
"8","0","1555424723675","04/16/19  14:25:23.675   ","1555424723675","04/16/19  14:25:23.675   ","0","0","0","0","29705","0","64","512","49.98","0.3124","150.74","4095","0","0","0","13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18,13,9,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-11,-13,-14,-16,-18,-20,-22,-24,-25,-26,-26,-24,-21,-17,-13,-9,-6,-3,-1,0,2,4,5,6,6,7,9,10,10,9,9,9,10,12,13,15,18,20,23,25,27,28,28,26,23,18"
"9","0","1555424725566","04/16/19  14:25:25.566   ","1555424725566","04/16/19  14:25:25.566   ","0","0","0","0","29705","0","64","512","50","0.3124","150.74","4095","0","0","0","18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22,18,13,8,5,2,0,-2,-4,-5,-7,-7,-8,-9,-11,-12,-11,-10,-10,-11,-12,-13,-15,-16,-18,-20,-22,-24,-25,-26,-25,-24,-20,-17,-13,-9,-6,-4,-1,0,2,4,5,6,6,7,9,10,9,8,8,9,10,12,13,15,18,20,23,25,27,28,28,26,22"
