DoubleTime,StringTime,V1,V1:1,V2,I1 %HD03,I1 %HD05,I1 %HD07,I1,I2,I3,I1 Ang,I2 Ang,I3 Ang,kW L1,kW L2,kW L3,kvar L1,kvar L2,kvar L3,PF L1,PF L2,PF L3,I1 THD,I2 THD,I3 THD,I2 %HD03,I2 %HD05,I2 %HD07,I PSEQ,I NSEQ,I ZSEQ,I1 TDD,I2 TDD,I3 TDD,I1 KF,I2 KF,I3 KF,I3 %HD03,I3 %HD05,I3 %HD07,In
0,,12,12,268,540,1052,1564,780,1036,1292,35856,36112,36368,1548,1804,2060,2316,2572,2828,3852,4108,4364,5388,5644,5900,541,1053,1565,34072,34328,34584,6924,7180,7436,6156,6412,6668,542,1054,1566,277
1.5873E+12,04/19/20  13:32:46.439,228,229,228,14.23,6.31,3.29,1,1,1,-3.3,145.9,-141.9,0,0,0,0,0,0,0.998,-0.902,0.928,17.7,53.6,28.6,38.23,32.04,18.02,0,1,0,0.4,1.4,0.6,2.3,7,5.5,18.7,13.28,10.2,1
1.5873E+12,04/19/20  13:32:49.441,229,229,229,13.53,5.85,2.77,1,1,1,-3.1,146,-142,0,0,0,0,0,0,0.999,-0.908,0.929,16,60.1,28.7,43.88,36.93,19.1,0,1,0,0.4,1.6,0.6,2.2,7.4,5.3,19.13,13.22,10.76,1
1.5873E+12,04/19/20  13:32:52.432,228,228,228,13.6,5.23,3.91,1,2,1,-4,144.1,-142,0,0,0,0,0,0,0.999,-0.893,0.929,16.4,58.6,27.8,42.46,33.96,18.04,0,1,0,0.4,1.6,0.6,2.2,7.2,5.9,18.72,12.99,10.26,1
1.5873E+12,04/19/20  13:32:55.905,229,229,229,14.09,5.66,2.75,1,2,1,-4.1,146.1,-142.3,0,0,0,0,0,0,0.999,-0.885,0.928,16.3,56.5,28.4,43.04,36.22,18.68,0,1,0,0.4,1.6,0.6,2.4,7.4,5.9,18.49,13.63,10.94,1
1.5873E+12,04/19/20  13:32:58.935,229,229,229,14.26,5.76,3.25,1,1,1,-4.1,145.5,-142.4,0,0,0,0,0,0,0.998,-0.894,0.924,16.6,55.7,28.4,38.95,37.43,18.88,0,1,0,0.6,1.6,0.6,2.5,7.5,6,18.98,12.65,10.58,1
1.5873E+12,04/19/20  13:33:02.803,229,229,228,13.83,5.79,2.89,1,1,1,-3.3,145.8,-141.8,0,0,0,0,0,0,0.998,-0.896,0.929,16.5,58,27.9,44.17,36.09,19.54,0,1,0,0.4,1.4,0.6,2.3,7.8,5.7,19.27,13.06,11.18,1
1.5873E+12,04/19/20  13:33:04.933,229,229,229,14.22,6.43,2.87,1,1,1,-3.3,145.7,-142.1,0,0,0,0,0,0,0.998,-0.908,0.928,17.3,60.1,27.8,43.71,35.36,19.56,0,1,0,0.4,1.6,0.6,2.2,7.3,6.1,17.62,12.59,10.35,1
1.5873E+12,04/19/20  13:33:07.975,229,229,228,13.56,5.51,3.41,1,2,1,-3.8,143.9,-141.8,0,0,0,0,0,0,0.998,-0.899,0.931,16.8,49.8,28.5,36.51,31.06,15.43,0,1,0,0.4,1.4,0.6,2.3,6.3,5.8,18.98,12.18,10.85,1
1.5873E+12,04/19/20  13:33:10.917,228,228,228,13.61,5.98,3.11,1,1,1,-3.7,144.6,-142,0,0,0,0,0,0,0.998,-0.903,0.928,16.8,59.5,28.4,42.03,35.57,19.39,0,1,0,0.4,1.6,0.6,2.5,7.4,5.8,19.47,13.25,10.48,1
1.5873E+12,04/19/20  13:33:13.932,229,229,229,14.11,5.49,3.11,1,1,1,-3.1,145.6,-142.2,0,0,0,0,0,0,0.998,-0.895,0.927,15.8,60.4,27.8,43.6,35.54,19.2,0,1,0,0.4,1.4,0.6,2.3,7.6,5.9,18.49,12.7,10.14,1
