FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5530023559760000e+12
1,119,1.5530023619750000e+12
2,119,1.5530023640040000e+12
3,119,1.5530023679670000e+12
4,119,1.5530023699780000e+12
5,119,1.5530023720020000e+12
6,119,1.5530023740000000e+12
7,119,1.5530023760820000e+12
8,119,1.5530023779760000e+12
9,119,1.5530023799740000e+12
10,119,1.5530023819690000e+12
11,119,1.5530023840070000e+12
12,119,1.5530023859750000e+12
13,119,1.5530023880060000e+12
14,119,1.5530023900020000e+12
15,119,1.5530023919750000e+12
16,119,1.5530023939750000e+12
17,119,1.5530023960540000e+12
18,119,1.5530023979700000e+12
19,119,1.5530024000040000e+12
20,119,1.5530024021260000e+12
21,119,1.5530024044080000e+12
22,119,1.5530024062560000e+12
23,119,1.5530024080130000e+12
24,119,1.5530024099690000e+12
25,119,1.5530024119700000e+12
26,119,1.5530024139750000e+12
27,119,1.5530024160720000e+12
28,119,1.5530024180060000e+12
29,119,1.5530024200070000e+12
30,119,1.5530024221250000e+12
31,119,1.5530024239740000e+12
32,119,1.5530024259690000e+12
33,119,1.5530024279720000e+12
34,119,1.5530024300100000e+12
35,119,1.5530024319710000e+12
36,119,1.5530024540090000e+12
37,119,1.5530024561840000e+12
38,119,1.5530024579790000e+12
39,119,1.5530024602720000e+12
40,119,1.5530024619720000e+12
41,119,1.5530024639710000e+12
42,119,1.5530024660060000e+12
43,119,1.5530024680420000e+12
44,119,1.5530024710080000e+12
45,119,1.5530024729710000e+12
46,119,1.5530024750070000e+12
47,119,1.5530024770030000e+12
48,119,1.5530024789740000e+12
49,119,1.5530024810030000e+12
50,119,1.5530024830030000e+12
51,119,1.5530024851740000e+12
52,119,1.5530024869800000e+12
53,119,1.5530024890520000e+12
54,119,1.5530024919780000e+12
55,119,1.5530024939670000e+12
56,119,1.5530024961280000e+12
57,119,1.5530024979660000e+12
58,119,1.5530024999680000e+12
59,119,1.5530025020070000e+12
60,119,1.5530025039770000e+12
61,119,1.5530025059770000e+12
62,119,1.5530025079780000e+12
63,119,1.5530025100050000e+12
64,119,1.5530025120030000e+12
65,119,1.5530025139790000e+12
66,119,1.5530025159760000e+12
67,119,1.5530025180020000e+12
68,119,1.5530025199730000e+12
69,119,1.5530025220450000e+12
70,119,1.5530025241530000e+12
71,119,1.5530025260100000e+12
72,119,1.5530025279720000e+12
73,119,1.5530025299700000e+12
74,119,1.5530025320530000e+12
75,119,1.5530025339770000e+12
76,119,1.5530025359730000e+12
77,119,1.5530025379800000e+12
78,119,1.5530025400090000e+12
79,119,1.5530025419780000e+12
80,119,1.5530025439720000e+12
81,119,1.5530025459760000e+12
82,119,1.5530025479770000e+12
83,119,1.5530025500100000e+12
84,119,1.5530025519780000e+12
85,119,1.5530025539740000e+12
86,119,1.5530025560090000e+12
87,119,1.5530025579740000e+12
88,119,1.5530025600060000e+12
89,119,1.5530025874430000e+12
90,119,1.5530025894020000e+12
91,119,1.5530025913930000e+12
92,119,1.5530025934600000e+12
93,119,1.5530025955130000e+12
94,119,1.5530025973970000e+12
95,119,1.5530025993910000e+12
96,119,1.5530026015090000e+12
97,119,1.5530026034010000e+12
98,119,1.5530026053990000e+12
99,119,1.5530026074170000e+12
100,119,1.5530026095200000e+12
101,119,1.5530026125510000e+12
102,119,1.5530026143980000e+12
103,119,1.5530026163980000e+12
104,119,1.5530026185290000e+12
105,119,1.5530026203980000e+12
106,119,1.5530026223960000e+12
107,119,1.5530026243950000e+12
108,119,1.5530026263950000e+12
109,119,1.5530026285250000e+12
110,119,1.5530026303910000e+12
111,119,1.5530026323950000e+12
112,119,1.5530026343960000e+12
113,119,1.5530026364080000e+12
114,119,1.5530026383980000e+12
115,119,1.5530026403930000e+12
116,119,1.5530026424000000e+12
117,119,1.5530026445810000e+12
118,119,1.5530026463960000e+12
119,119,1.5530026483920000e+12
120,119,1.5530026503910000e+12
121,119,1.5530026526260000e+12
122,119,1.5530026543930000e+12
123,119,1.5530026563940000e+12
124,119,1.5530026584820000e+12
125,119,1.5530026604580000e+12
126,119,1.5530026624070000e+12
127,119,1.5530026643940000e+12
128,119,1.5530026663970000e+12
129,119,1.5530026684560000e+12
130,119,1.5530026704590000e+12
131,119,1.5530026734640000e+12
132,119,1.5530026753970000e+12
133,119,1.5530026773980000e+12
134,119,1.5530026793980000e+12
135,119,1.5530026813940000e+12
136,119,1.5530026836310000e+12
137,119,1.5530026853960000e+12
138,119,1.5530026873940000e+12
139,119,1.5530026894020000e+12
140,119,1.5530026913960000e+12
141,119,1.5530026933920000e+12
142,119,1.5530026953940000e+12
143,119,1.5530026973950000e+12
144,119,1.5530026993920000e+12
145,119,1.5530027016640000e+12
146,119,1.5530027743980000e+12
147,119,1.5530027763960000e+12
148,119,1.5530027784010000e+12
149,119,1.5530027803980000e+12
150,119,1.5530027824020000e+12
151,119,1.5530027844160000e+12
152,119,1.5530027866320000e+12
153,119,1.5530027884580000e+12
154,119,1.5530027913980000e+12
155,119,1.5530027933980000e+12
156,119,1.5530027953990000e+12
157,119,1.5530027976210000e+12
158,119,1.5530027994400000e+12
159,119,1.5530028014080000e+12
