"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1553005503281","03/19/19  14:25:03.281   ","1553005503281","03/19/19  14:25:03.281   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29,12,-3,-25,-43,-61,-71,-75,-67,-79,-85,-70,-43,-52,-62,-70,-78,-87,-92,-77,-67,-63,-61,-50,-41,-47,-51,-51,-55,-56,-48,-39,-27,-13,5,26,45,62,72,76,68,80,86,73,44,53,64,70,80,87,93,75,68,68,62,51,43,47,51,54,55,54,48,40,29"
"1","0","1553005505288","03/19/19  14:25:05.288   ","1553005505288","03/19/19  14:25:05.288   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30,15,-4,-23,-42,-61,-70,-76,-67,-77,-84,-76,-42,-50,-60,-69,-76,-86,-90,-74,-69,-66,-61,-49,-41,-47,-51,-51,-55,-53,-47,-39,-31,-16,6,25,43,62,72,75,68,79,84,78,43,52,62,71,77,85,92,74,67,67,65,51,41,47,51,51,55,54,46,38,30"
"2","0","1553005507285","03/19/19  14:25:07.285   ","1553005507285","03/19/19  14:25:07.285   ","0","0","0","0","29703","0","64","512","50.04","0.3122","150.71","4095","0","0","0","52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61,52,41,19,-2,-22,-41,-54,-63,-59,-68,-78,-81,-41,-47,-62,-71,-79,-90,-100,-92,-79,-79,-83,-73,-63,-65,-73,-71,-78,-81,-74,-61,-54,-42,-18,2,25,43,56,63,60,68,79,81,44,48,64,71,81,91,101,95,80,79,84,75,64,66,75,72,77,82,76,61"
"3","0","1553005509277","03/19/19  14:25:09.277   ","1553005509277","03/19/19  14:25:09.277   ","0","0","0","0","29703","0","64","512","50.02","0.3122","150.71","4095","0","0","0","49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54,49,37,27,19,0,-21,-41,-61,-70,-74,-65,-77,-86,-80,-40,-49,-62,-69,-75,-84,-91,-77,-69,-64,-63,-53,-41,-46,-52,-51,-53,-54,-51,-39,-28,-19,2,24,43,61,69,75,67,77,86,79,43,51,62,70,78,86,93,76,69,67,64,54,42,46,52,53,54,54"
"4","0","1553005511351","03/19/19  14:25:11.351   ","1553005511351","03/19/19  14:25:11.351   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53,54,46,34,24,8,-6,-31,-49,-64,-71,-73,-65,-81,-84,-62,-44,-54,-64,-69,-79,-88,-87,-75,-68,-62,-59,-46,-43,-49,-50,-49,-54,-54,-47,-37,-24,-9,8,31,51,67,73,74,67,82,85,65,44,56,66,71,80,91,89,74,69,64,59,47,43,50,52,50,53"
"5","0","1553005513385","03/19/19  14:25:13.385   ","1553005513385","03/19/19  14:25:13.385   ","0","0","0","0","29703","0","64","512","50.05","0.3122","150.71","4095","0","0","0","56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54,56,51,40,33,22,1,-18,-37,-53,-66,-73,-69,-73,-83,-83,-42,-47,-58,-66,-73,-82,-90,-79,-67,-64,-67,-56,-44,-43,-52,-48,-53,-57,-51,-41,-33,-24,-2,19,39,55,66,74,71,75,85,85,45,48,61,67,75,83,92,82,68,66,68,57,43,44,54,49,54"
"6","0","1553005516371","03/19/19  14:25:16.371   ","1553005516371","03/19/19  14:25:16.371   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51,52,50,54,51,45,37,22,6,-10,-29,-51,-63,-72,-74,-68,-81,-82,-55,-45,-55,-64,-69,-80,-90,-86,-70,-67,-63,-56,-44,-42,-50,-52,-50,-54,-52,-44,-39,-25,-5,13,32,51,62,73,74,71,83,82,51,44,57,64,72,82,91,87,73,70,66,58,46,43,51"
"7","0","1553005518325","03/19/19  14:25:18.325   ","1553005518325","03/19/19  14:25:18.325   ","0","0","0","0","29703","0","64","512","50.05","0.3122","150.71","4095","0","0","0","71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63,71,74,72,78,75,66,57,45,27,10,-14,-34,-52,-59,-64,-58,-75,-79,-60,-44,-55,-66,-74,-85,-96,-99,-84,-81,-79,-75,-65,-61,-71,-73,-72,-77,-76,-66,-57,-45,-28,-8,15,35,53,61,64,61,77,79,63,44,56,69,75,87,96,100,85,82,80,77,67,63"
"8","0","1553005520279","03/19/19  14:25:20.279   ","1553005520279","03/19/19  14:25:20.279   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50,41,46,50,51,56,57,46,34,27,18,-1,-22,-44,-65,-71,-74,-65,-77,-84,-76,-41,-50,-61,-69,-76,-85,-92,-76,-68,-63,-60,-50,-41,-46,-49,-51,-56,-57,-45,-32,-27,-19,1,24,44,66,74,76,65,78,87,77,41,53,64,71,77,88,92,80,70,65,63,50"
"9","0","1553005522479","03/19/19  14:25:22.479   ","1553005522479","03/19/19  14:25:22.479   ","0","0","0","0","29703","0","64","512","50.02","0.3122","150.71","4095","0","0","0","46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60,46,42,50,53,51,54,51,43,37,27,8,-10,-27,-47,-64,-73,-73,-66,-80,-83,-65,-43,-54,-64,-69,-79,-87,-87,-70,-67,-64,-59,-46,-41,-49,-53,-50,-52,-50,-43,-37,-27,-9,10,32,48,63,71,74,70,82,85,67,44,56,63,71,80,89,88,73,68,65,60"
