"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1553006989686","03/19/19  14:49:49.686   ","1553006989686","03/19/19  14:49:49.686   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82,-86,-66,-46,-53,-62,-68,-78,-87,-89,-72,-66,-61,-60,-51,-44,-51,-53,-54,-57,-56,-48,-34,-22,-10,6,28,46,60,68,73,67,81,89,69,47,55,64,70,80,89,92,74,68,63,61,50,44,51,54,55,57,54,44,35,24,8,-8,-26,-42,-58,-66,-73,-68,-82"
"1","0","1553006996452","03/19/19  14:49:56.452   ","1553006996452","03/19/19  14:49:56.452   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29,-45,-55,-62,-59,-75,-80,-63,-44,-54,-65,-72,-85,-97,-100,-82,-78,-78,-76,-67,-63,-72,-74,-77,-83,-79,-66,-54,-45,-29,-11,13,30,47,56,64,59,77,84,63,46,55,67,73,86,97,100,84,79,79,79,68,64,72,76,76,81,79,67,54,43,28,11,-11,-29"
"2","0","1553006998666","03/19/19  14:49:58.666   ","1553006998666","03/19/19  14:49:58.666   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15,-32,-47,-60,-70,-72,-69,-84,-85,-51,-46,-57,-65,-72,-81,-90,-81,-64,-65,-65,-57,-44,-44,-53,-52,-58,-57,-50,-40,-34,-21,0,18,34,49,61,70,70,73,86,87,52,47,58,68,73,84,91,84,67,65,67,61,46,43,54,54,57,57,52,38,31,20,1,-15"
"3","0","1553007001590","03/19/19  14:50:01.590   ","1553007001590","03/19/19  14:50:01.590   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21,7,-7,-28,-45,-58,-67,-72,-67,-84,-86,-65,-44,-53,-63,-69,-79,-87,-88,-70,-65,-63,-60,-49,-42,-50,-54,-55,-57,-54,-44,-32,-22,-9,9,28,46,59,68,72,68,83,89,68,45,54,64,69,81,88,88,72,67,66,63,50,43,51,53,56,59,52,42,33,21"
"4","0","1553007003642","03/19/19  14:50:03.642   ","1553007003642","03/19/19  14:50:03.642   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37,27,22,-1,-21,-38,-53,-61,-70,-68,-76,-86,-87,-42,-48,-60,-67,-74,-84,-91,-81,-64,-60,-66,-57,-44,-46,-51,-52,-57,-59,-51,-35,-28,-23,0,20,40,55,64,71,68,76,88,87,45,50,63,69,75,84,92,79,66,63,67,58,45,47,55,53,56,57,50,37"
"5","0","1553007006591","03/19/19  14:50:06.591   ","1553007006591","03/19/19  14:50:06.591   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51,40,31,19,4,-12,-30,-48,-60,-68,-68,-68,-84,-86,-54,-43,-54,-66,-70,-80,-88,-81,-67,-65,-65,-60,-45,-44,-54,-52,-54,-57,-52,-42,-32,-19,-2,14,32,49,61,69,70,70,86,88,55,44,56,66,73,81,90,84,70,66,66,61,47,46,54,52,56,57,51"
"6","0","1553007009572","03/19/19  14:50:09.572   ","1553007009572","03/19/19  14:50:09.572   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58,56,50,39,30,18,1,-13,-33,-50,-62,-70,-69,-72,-84,-86,-46,-47,-56,-65,-73,-82,-89,-81,-67,-64,-65,-58,-44,-45,-54,-54,-58,-59,-50,-40,-32,-20,-1,15,35,51,62,70,70,74,85,87,50,47,59,67,74,83,92,83,67,65,67,60,43,45,55,54,58"
"7","0","1553007011627","03/19/19  14:50:11.627   ","1553007011627","03/19/19  14:50:11.627   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54,57,57,49,37,28,19,-2,-18,-37,-54,-64,-72,-67,-76,-86,-85,-42,-48,-60,-67,-75,-84,-90,-76,-66,-65,-65,-55,-43,-46,-53,-55,-57,-57,-49,-37,-32,-21,3,21,38,54,64,73,68,79,87,87,43,52,61,70,76,86,92,77,67,67,67,56,45,47,52,54"
"8","0","1553007014583","03/19/19  14:50:14.583   ","1553007014583","03/19/19  14:50:14.583   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52,54,54,57,54,43,34,21,4,-8,-27,-46,-59,-67,-73,-69,-83,-85,-58,-44,-55,-63,-69,-80,-88,-86,-69,-65,-64,-62,-49,-43,-51,-52,-54,-57,-55,-45,-36,-21,-4,12,28,46,59,68,74,69,84,87,60,47,54,66,70,82,89,87,71,66,65,61,50,45,52"
"9","0","1553007016633","03/19/19  14:50:16.633   ","1553007016633","03/19/19  14:50:16.633   ","0","0","0","0","29703","0","64","512","50.01","0.3122","150.71","4095","0","0","0","50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45,50,54,54,56,55,47,34,23,10,-5,-24,-42,-57,-66,-74,-68,-81,-87,-72,-43,-51,-62,-68,-78,-86,-89,-71,-65,-65,-62,-51,-43,-49,-52,-55,-57,-55,-48,-36,-24,-11,7,26,44,59,68,73,68,82,87,76,44,54,63,71,80,87,90,75,67,68,64,53,45"
