DoubleTime,StringTime,V1,V1:1,V2,I1 %HD03,I1 %HD05,I1 %HD07,I1,I2,I3,I1 Ang,I2 Ang,I3 Ang,kW L1,kW L2,kW L3,kvar L1,kvar L2,kvar L3,PF L1,PF L2,PF L3,I1 THD,I2 THD,I3 THD,I2 %HD03,I2 %HD05,I2 %HD07,I PSEQ,I NSEQ,I ZSEQ,I1 TDD,I2 TDD,I3 TDD,I1 KF,I2 KF,I3 KF,I3 %HD03,I3 %HD05,I3 %HD07,In
1.58718E+12,04/18/20  04:27:29.670,231,231,230,32.15,9.68,4.01,2,1,0,-13.7,160.3,0,0,0,0,0,0,0,0.971,-0.754,-0.527,35,91.5,0,59.96,50.22,37.07,1,1,0,1.2,1.4,0,2.9,14.5,1,0,0,0,1
1.58718E+12,04/18/20  04:27:32.923,231,231,230,32.31,9.23,4.67,2,1,0,-13.3,160.9,0,0,0,0,0,0,0,0.971,-0.719,-0.505,34.8,88.3,0,59.71,50.04,37.31,1,1,0,1.2,1.4,0,2.9,16,1,0,0,0,1
1.58718E+12,04/18/20  04:27:35.628,231,231,230,32.08,9.08,5.08,2,1,0,-13.7,161,0,0,0,0,0,0,0,0.971,-0.747,-0.538,35,90.7,0,59.87,49.38,35.64,1,1,0,1.2,1.4,0,2.9,14.9,1,0,0,0,1
1.58718E+12,04/18/20  04:27:38.900,231,231,230,32.29,9.11,4.53,2,1,0,-13.7,161.1,0,0,0,0,0,0,0,0.972,-0.733,-0.548,35.2,91,0,58.91,50.06,37.1,1,1,0,1.2,1.4,0,2.9,15.4,1,0,0,0,1
1.58718E+12,04/18/20  04:27:41.588,231,231,230,32.07,9.04,4.63,2,1,0,-13.7,160.5,0,0,0,0,0,0,0,0.97,-0.755,-0.533,34.8,89.9,0,60.64,49.35,35.5,1,1,0,1.2,1.4,0,2.9,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:27:44.917,231,231,230,31.76,8.87,5.07,2,1,0,-13.8,160.9,0,0,0,0,0,0,0,0.971,-0.745,-0.556,34.5,90.2,0,59.54,50.19,36.61,1,1,0,1,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:27:47.584,231,231,230,31.88,9.02,4.48,2,1,0,-13.6,163.8,0,0,0,0,0,0,0,0.972,-0.752,-0.553,34.7,79.1,0,56.16,40.55,29.23,1,1,0,1.2,1.2,0,2.9,14.3,1,0,0,0,1
1.58718E+12,04/18/20  04:27:50.937,231,231,230,32.11,9.13,4.69,2,1,0,-13.6,161,0,0,0,0,0,0,0,0.972,-0.744,-0.526,34.7,91.5,0,59.84,50.08,36.85,1,1,0,1.2,1.4,0,2.9,15.4,1,0,0,0,1
1.58718E+12,04/18/20  04:27:53.629,231,231,230,32.45,9.47,4.41,2,1,0,-13.6,165.6,0,0,0,0,0,0,0,0.973,-0.754,-0.534,35,90.7,0,59.64,49.57,36.48,1,1,0,1.2,1.4,0,2.8,15.6,1,0,0,0,1
1.58718E+12,04/18/20  04:27:56.922,231,231,230,32.08,9.03,4.38,2,1,0,-13.5,160.8,0,0,0,0,0,0,0,0.974,-0.756,-0.536,35.1,91.9,0,60.61,49.33,27.98,1,1,0,1.2,1.2,0,2.8,13,1,0,0,0,1
1.58718E+12,04/18/20  04:27:59.632,231,231,230,31.86,8.97,4.88,2,1,0,-13.4,160.8,0,0,0,0,0,0,0,0.973,-0.744,-0.537,34.8,90.3,0,59.63,48.54,34.78,1,1,0,1.2,1.4,0,2.9,15.8,1,0,0,0,1
1.58718E+12,04/18/20  04:28:02.906,231,231,230,32.12,9.15,4.65,2,1,0,-13.6,161.5,0,0,0,0,0,0,0,0.973,-0.752,-0.549,35.1,91,0,59.37,50.12,37.17,1,1,0,1.2,1.4,0,2.9,15.7,1,0,0,0,1
1.58718E+12,04/18/20  04:28:05.599,231,231,230,32.06,8.88,4.88,2,1,0,-13.3,161,0,0,0,0,0,0,0,0.973,-0.763,-0.525,34.9,89.1,0,60.4,48.79,35.07,1,1,0,1.2,1.4,0,2.8,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:28:08.931,231,231,230,32.43,9.42,4.43,2,1,0,-13.3,161.8,0,0,0,0,0,0,0,0.972,-0.745,-0.531,34.7,89.7,0,59.26,49.1,36.18,1,1,0,1.2,1.4,0,2.9,15.4,1,0,0,0,1
1.58718E+12,04/18/20  04:28:11.605,231,231,230,32.33,9.07,4.74,2,1,0,-13.1,161,0,0,0,0,0,0,0,0.973,-0.762,-0.532,35.3,89.2,0,60.12,48.45,27.77,1,1,0,1.2,1.2,0,2.9,11.4,1,0,0,0,1
1.58718E+12,04/18/20  04:28:14.892,231,231,230,31.93,8.71,4.89,2,1,0,-13.3,161.2,0,0,0,0,0,0,0,0.972,-0.739,-0.546,34.5,90,0,59.38,49.17,36.59,1,1,0,1.2,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:28:17.574,231,231,230,32.22,9.15,4.7,2,1,0,-13.1,160.5,0,0,0,0,0,0,0,0.972,-0.757,-0.533,35.2,91,0,60.1,48.57,35.23,1,1,0,1.2,1.4,0,2.9,15.2,1,0,0,0,1
1.58718E+12,04/18/20  04:28:20.924,231,231,230,31.94,8.91,4.41,2,1,0,-13.2,161.3,0,0,0,0,0,0,0,0.971,-0.743,-0.511,34.9,89.9,0,59.05,49.37,36.5,1,1,0,1.2,1.4,0,2.8,15.4,1,0,0,0,1
1.58718E+12,04/18/20  04:28:23.638,231,231,230,31.81,9.23,4.99,2,1,0,-13.4,161,0,0,0,0,0,0,0,0.971,-0.744,-0.547,34.6,89.9,0,59.42,49.05,35.53,1,1,0,1.2,1.4,0,2.9,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:28:26.923,231,231,230,32.06,9.06,4.67,2,1,0,-13.2,161.1,0,0,0,0,0,0,0,0.971,-0.74,-0.539,34.9,89.7,0,59.04,50.08,36.63,1,1,0,1.2,1.4,0,2.9,15.4,1,0,0,0,1
1.58718E+12,04/18/20  04:28:29.660,231,231,230,32.14,9.33,4.7,2,1,0,-13.6,161.3,0,0,0,0,0,0,0,0.97,-0.748,-0.549,35,89.9,0,59.48,48.97,35.82,1,1,0,1.2,1.4,0,2.9,15.1,1,0,0,0,1
1.58718E+12,04/18/20  04:28:32.931,231,231,230,31.55,8.97,5.11,2,1,0,-13.4,160.9,0,0,0,0,0,0,0,0.971,-0.743,-0.551,35.1,90.1,0,59.23,49.38,35.88,1,1,0,1.2,1.4,0,2.9,15,1,0,0,0,1
1.58718E+12,04/18/20  04:28:35.600,231,231,230,31.42,9.06,4.98,2,1,0,-13.6,161.2,0,0,0,0,0,0,0,0.971,-0.749,-0.564,35.1,89.4,0,59.73,49.04,35.88,1,1,0,1.2,1.4,0,2.9,15.1,1,0,0,0,1
1.58718E+12,04/18/20  04:28:38.928,231,231,230,32.17,9.32,4.53,2,1,0,-13.6,161.3,0,0,0,0,0,0,0,0.971,-0.749,-0.534,35.2,89.9,0,59.04,49.52,36.43,1,1,0,1.2,1.4,0,2.9,15.2,1,0,0,0,1
1.58718E+12,04/18/20  04:28:41.601,231,231,230,31.74,8.86,4.7,2,1,0,-13.6,165.4,0,0,0,0,0,0,0,0.971,-0.703,-0.545,34.9,84.5,0,53.71,47.25,35,1,1,0,1.2,1.2,0,2.9,11.8,1,0,0,0,1
1.58718E+12,04/18/20  04:28:44.907,231,231,230,31.73,8.99,5.11,2,1,0,-13.7,161.4,0,0,0,0,0,0,0,0.971,-0.735,-0.562,34.7,89.8,0,58.89,49.75,36.76,1,1,0,1.2,1.4,0,2.9,15.6,1,0,0,0,1
1.58718E+12,04/18/20  04:28:47.576,231,231,230,31.78,8.93,4.48,2,1,0,-13.6,165.7,0,0,0,0,0,0,0,0.971,-0.748,-0.549,34.7,83.9,0,59.78,49.18,35.87,1,1,0,1.2,1.4,0,2.9,14.9,1,0,0,0,1
1.58718E+12,04/18/20  04:28:50.907,231,231,230,32.03,9.04,5.08,2,1,0,-13.7,161.2,0,0,0,0,0,0,0,0.971,-0.741,-0.541,34.8,91,0,59.46,49.76,36.94,1,1,0,1.2,1.4,0,2.9,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:28:53.641,231,231,230,32.04,9.55,4.7,2,1,0,-13.8,160.8,0,0,0,0,0,0,0,0.971,-0.75,-0.511,35.2,90.7,0,59.72,48.48,35.52,1,1,0,1.2,1.4,0,2.9,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:28:56.928,231,231,230,32.17,9.36,4.51,2,1,0,-13.7,161.1,0,0,0,0,0,0,0,0.972,-0.746,-0.529,35,90.4,0,59.48,49.7,36.71,1,1,0,1.2,1.2,0,2.8,14.4,1,0,0,0,1
1.58718E+12,04/18/20  04:28:59.596,231,231,230,32.41,9.45,4.23,2,1,0,-13.5,160.7,0,0,0,0,0,0,0,0.971,-0.757,-0.535,34.9,88.5,0,59.61,48.76,35.08,1,1,0,1.2,1.4,0,2.9,15,1,0,0,0,1
1.58718E+12,04/18/20  04:29:02.914,231,231,231,32.16,9.02,4.9,2,1,0,-13.8,161.3,0,0,0,0,0,0,0,0.972,-0.734,-0.55,34.6,89.9,0,59.23,49.85,36.81,1,1,0,1.2,1.4,0,2.8,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:29:05.600,231,231,231,32.16,9.2,4.62,2,1,0,-13.8,158.5,0,0,0,0,0,0,0,0.972,-0.784,-0.563,34.8,71.8,0,49.95,37.96,30.91,1,1,0,1.2,1.2,0,2.9,13.3,1,0,0,0,1
1.58718E+12,04/18/20  04:29:08.924,231,231,230,32.28,9.33,4.63,2,1,0,-13.7,161.7,0,0,0,0,0,0,0,0.972,-0.683,-0.565,34.8,82,0,59.49,49.72,36.5,1,1,0,1.2,1.4,0,2.9,15.2,1,0,0,0,1
1.58718E+12,04/18/20  04:29:11.628,231,231,230,31.99,9.04,4.83,2,1,0,-13.7,160.9,0,0,0,0,0,0,0,0.973,-0.747,-0.528,35.3,88.4,0,60.26,49.05,35.06,1,1,0,1.2,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:29:14.895,231,231,230,32.06,9.37,4.74,2,1,0,-13.8,161.4,0,0,0,0,0,0,0,0.973,-0.745,-0.556,34.8,90.5,0,59.17,50.08,36.06,1,1,0,1.2,1.4,0,2.8,15.1,1,0,0,0,1
1.58718E+12,04/18/20  04:29:17.574,231,231,230,31.99,8.88,4.89,2,1,0,-13.6,160.8,0,0,0,0,0,0,0,0.972,-0.753,-0.54,35,89.8,0,59.83,48.58,34.45,1,1,0,1.2,1.4,0,2.9,15.1,1,0,0,0,1
1.58718E+12,04/18/20  04:29:20.915,231,231,231,31.61,9.04,4.93,2,1,0,-13.8,160.9,0,0,0,0,0,0,0,0.973,-0.748,-0.56,35.2,89.5,0,59.26,49.39,35.73,1,1,0,1.2,1.4,0,2.8,15.2,1,0,0,0,1
1.58718E+12,04/18/20  04:29:23.668,231,231,231,32.2,9.07,4.4,2,1,0,-13.6,160.7,0,0,0,0,0,0,0,0.974,-0.747,-0.529,35,88.8,0,59.1,49.08,35.36,1,1,0,1.2,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:29:26.928,231,231,231,31.64,8.91,5.03,2,1,0,-13.8,161.3,0,0,0,0,0,0,0,0.974,-0.742,-0.533,34.8,88.8,0,59.16,49.83,36.15,1,1,0,1.2,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:29:29.631,231,231,231,32.25,9.11,3.89,2,1,0,-13.6,161.3,0,0,0,0,0,0,0,0.973,-0.747,-0.515,35.2,89.6,0,59.79,48.56,34.72,1,1,0,1.2,1.4,0,2.8,15.5,1,0,0,0,1
1.58718E+12,04/18/20  04:29:32.915,231,231,231,32.4,9.56,4.7,2,1,0,-13.6,161.2,0,0,0,0,0,0,0,0.973,-0.739,-0.54,35,89.8,0,59.14,50.18,36.64,1,1,0,1.2,1.4,0,2.9,15.6,1,0,0,0,1
1.58718E+12,04/18/20  04:29:35.599,231,231,231,32.03,9.09,4.6,2,1,0,-13.3,161.2,0,0,0,0,0,0,0,0.973,-0.759,-0.529,35.1,88.7,0,59.7,48.95,34.95,1,1,0,1.2,1.4,0,2.8,14.8,1,0,0,0,1
1.58718E+12,04/18/20  04:29:38.905,231,231,231,31.95,9.19,4.92,2,1,0,-13.5,161.4,0,0,0,0,0,0,0,0.973,-0.742,-0.555,34.8,89.7,0,58.93,49.65,36.9,1,1,0,1.2,1.4,0,2.8,14.7,1,0,0,0,1
1.58718E+12,04/18/20  04:29:41.584,231,231,231,32.16,9.15,4.51,2,1,0,-13.3,160.7,0,0,0,0,0,0,0,0.974,-0.747,-0.519,34.8,89.7,0,59.58,49.5,35.9,1,1,0,1.2,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:29:44.904,231,231,231,32.13,9,4.69,2,1,0,-13.7,161.4,0,0,0,0,0,0,0,0.973,-0.743,-0.538,34.9,89.7,0,58.69,50.11,36.27,1,1,0,1.2,1.4,0,2.9,15.3,1,0,0,0,1
1.58718E+12,04/18/20  04:29:47.572,231,231,231,31.62,8.98,4.84,2,1,0,-13.3,161.2,0,0,0,0,0,0,0,0.974,-0.748,-0.535,34.6,89.7,0,59.62,48.65,35.64,1,1,0,1.2,1.4,0,2.9,15.4,1,0,0,0,1
1.58718E+12,04/18/20  04:29:50.905,231,231,231,31.99,9.07,4.87,2,1,0,-13.5,161.1,0,0,0,0,0,0,0,0.973,-0.74,-0.523,35,89.7,0,59,49.59,36.81,1,1,0,1.2,1.4,0,2.9,15.8,1,0,0,0,1
