FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5553474107680000e+12
1,119,1.5553474167700000e+12
2,119,1.5553474187610000e+12
3,119,1.5553474210050000e+12
4,119,1.5553474227740000e+12
5,119,1.5553474248360000e+12
6,119,1.5553474267720000e+12
7,119,1.5553474287650000e+12
8,119,1.5553474307700000e+12
9,119,1.5553474327790000e+12
10,119,1.5553474347690000e+12
11,119,1.5553474367680000e+12
12,119,1.5553474387670000e+12
13,119,1.5553474407750000e+12
14,119,1.5553474427710000e+12
15,119,1.5553474447720000e+12
16,119,1.5553474468300000e+12
17,119,1.5553474487730000e+12
18,119,1.5553474507720000e+12
19,119,1.5553474527720000e+12
20,119,1.5553474547740000e+12
21,119,1.5553474567770000e+12
22,119,1.5553474587740000e+12
23,119,1.5553474607740000e+12
24,119,1.5553474628230000e+12
25,119,1.5553474647760000e+12
26,119,1.5553474667680000e+12
27,119,1.5553474687680000e+12
28,119,1.5553474707680000e+12
29,119,1.5553474727830000e+12
30,119,1.5553474747720000e+12
31,119,1.5553474767680000e+12
32,119,1.5553474787660000e+12
33,119,1.5553474807690000e+12
34,119,1.5553474827690000e+12
35,119,1.5553474847700000e+12
36,119,1.5553474868110000e+12
37,119,1.5553474887730000e+12
38,119,1.5553474907780000e+12
39,119,1.5553474927790000e+12
40,119,1.5553474947700000e+12
41,119,1.5553474968180000e+12
42,119,1.5553474987720000e+12
43,119,1.5553475007730000e+12
44,119,1.5553475027700000e+12
45,119,1.5553475047660000e+12
46,119,1.5553475067850000e+12
47,119,1.5553475087690000e+12
48,119,1.5553475107750000e+12
49,119,1.5553475127720000e+12
50,119,1.5553475147730000e+12
51,119,1.5553475167700000e+12
52,119,1.5553475187910000e+12
53,119,1.5553475207740000e+12
54,119,1.5553475227720000e+12
55,119,1.5553475247640000e+12
56,119,1.5553475267730000e+12
57,119,1.5553475287690000e+12
58,119,1.5553475307690000e+12
59,119,1.5553475327640000e+12
60,119,1.5553475347700000e+12
61,119,1.5553475367740000e+12
62,119,1.5553475387760000e+12
63,119,1.5553475407720000e+12
64,119,1.5553475427780000e+12
65,119,1.5553475448600000e+12
66,119,1.5553475469270000e+12
67,119,1.5553475487900000e+12
68,119,1.5553475507710000e+12
69,119,1.5553475528900000e+12
70,119,1.5553475547690000e+12
71,119,1.5553475567690000e+12
72,119,1.5553475587750000e+12
73,119,1.5553475607710000e+12
74,119,1.5553475627890000e+12
75,119,1.5553475647730000e+12
76,119,1.5553475667700000e+12
77,119,1.5553475687730000e+12
78,119,1.5553475707700000e+12
79,119,1.5553475727710000e+12
80,119,1.5553475747720000e+12
81,119,1.5553475767740000e+12
82,119,1.5553475787760000e+12
83,119,1.5553475807660000e+12
84,119,1.5553475827720000e+12
85,119,1.5553475847750000e+12
86,119,1.5553475867700000e+12
87,119,1.5553475887700000e+12
88,119,1.5553475907720000e+12
89,119,1.5553475927710000e+12
90,119,1.5553475947720000e+12
91,119,1.5553475967720000e+12
92,119,1.5553475987740000e+12
