"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","I1 H16 ANG","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","3944","4200"
"1555346888335","04/15/19  16:48:08.335   ","0.3","-42.5","0.183","43.1","0.3","0.178","100","1.35","39.62","0.65","16.28","0.28","3.52","0.35","1.33","0","1.05","0.65","1.12","0.33","0.42","0.2","0.27","-42.4","-79.8","-62.6","-95.7","-69.3","-73.2","-61.9","-137.2","-105.1","-132.8","-170","146.2","-35.9","-80.3","-168.6","145.1","-20.1"
"1555346889184","04/15/19  16:48:09.184   ","0.3","-42.2","0.184","43.2","0.3","0.177","100","1.48","39.97","0.52","16.37","0.33","3.79","0.38","1.69","0.43","0.63","0.48","0.68","0.47","0.53","0.48","0","-42.3","-86.8","-62.4","-49.1","-68.4","-117.7","-68.7","169.5","-101.2","-94.5","-175.4","-168.5","-6.9","-101","-159.1","146.4","0"
"1555346890177","04/15/19  16:48:10.177   ","0.3","-42.4","0.184","43.4","0.3","0.177","100","1.15","40.06","0.27","15.9","0","3.33","0.38","1.81","0.33","0.6","0.3","0.75","0.28","0.83","0.58","0","-42.3","-77.4","-62.9","-120.3","-68.7","117.5","-67.8","0","-99","0","130.7","93.6","-19.8","-134.5","-166.8","130.1","-34.5"
"1555346891178","04/15/19  16:48:11.178   ","0.3","-42.5","0.184","43.5","0.3","0.177","100","1.1","39.87","0.47","16.17","0","3.7","0.27","1.8","0.33","0.87","0.33","0.95","0.22","0.95","0.47","0.45","-42.3","-81.8","-62.9","-104.1","-69.2","0","-71.4","131.6","-103.7","-69.7","177.9","129.7","-18.9","-83","-151.1","-133.3","-84.5"
"1555346892182","04/15/19  16:48:12.182   ","0.3","-42.5","0.184","43","0.3","0.177","100","1.25","39.74","0.54","15.67","0.23","3.33","0.28","1.99","0","0.99","0.69","0.84","0.27","0.79","0.33","0.5","-42.7","-85.2","-63","-62.8","-68.8","78.2","-61.4","156.8","-106.1","145.9","-148.4","125.6","-60","-94.1","168.7","0","103.5"
"1555346893186","04/15/19  16:48:13.186   ","0.3","-42.3","0.185","43.1","0.3","0.177","100","1.34","39.67","0","15.86","0","3.63","0.25","1.74","0","0.97","0.67","1.04","0","0.38","0.75","0.4","-42.5","-78.6","-62.7","0","-68.7","0","-58.4","66.4","-107.9","0","-155.1","134.8","-60.4","0","178.2","109.5","92.3"
"1555346894192","04/15/19  16:48:14.192   ","0.3","-42.2","0.185","43.6","0.3","0.177","100","1.33","39.92","0.53","16.22","0.23","3.83","0","1.73","0","0.95","0.55","1.22","0.63","0.78","0.27","0","-42.1","-76","-62.5","-60.9","-68.6","12.6","-60.4","0","-97.4","0","-159.4","160.7","-38.7","-80.8","-161.2","-157.3","0"
"1555346895187","04/15/19  16:48:15.187   ","0.3","-42.3","0.185","43.2","0.3","0.177","100","1.53","40.1","0.92","16.37","0.22","3.43","0.27","1.55","0.28","0.65","0.33","1.03","0.38","0.42","0.23","0","-42.4","-89.5","-62.6","-76.4","-68.5","-68.7","-60.6","-148.5","-102.3","-70.7","-133.6","100.5","-20.3","-90.8","-153.3","137.2","0"
"1555346896185","04/15/19  16:48:16.185   ","0.3","-42.4","0.185","43.5","0.3","0.177","100","0.75","40.14","0.43","16.13","0","3.36","0.27","1.72","0.22","0.57","0.5","0.94","0.42","0.43","0.3","0.43","-42.6","-80.5","-62.6","-106.7","-68.4","0","-64.7","94","-100.5","-162.1","165.3","152.3","-41.3","-143.1","-141.6","155.8","-75.1"
