"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1555423013206","04/16/19  13:56:53.206   ","1555423013206","04/16/19  13:56:53.206   ","0","0","0","0","29703","0","64","512","50.04","0.312","150.71","4095","0","0","0","-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138,-152,-148,-149,-144,-147,-145,-146,-145,-140,-137,-129,-119,-110,-96,-85,-68,-59,-46,-37,-27,-10,4,31,49,79,99,126,143,160,172,181,187,194,197,200,199,202,201,201,194,182,166,143,123,97,59,45,24,3,-16,-34,-47,-61,-74,-84,-97,-104,-114,-121,-127,-135,-136,-139,-138"
"1","0","1555423017201","04/16/19  13:56:57.201   ","1555423017201","04/16/19  13:56:57.201   ","0","0","0","0","29703","0","64","512","50.04","0.312","150.71","4095","0","0","0","-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188,-186,-194,-195,-200,-198,-199,-195,-199,-192,-187,-171,-155,-133,-113,-91,-71,-55,-34,-14,11,31,50,67,81,98,108,121,129,137,146,149,153,151,150,147,143,145,141,144,144,146,149,145,143,135,163,147,129,105,86,62,50,32,17,-5,-30,-56,-84,-108,-133,-151,-168,-177,-188"
"2","0","1555423019200","04/16/19  13:56:59.200   ","1555423019200","04/16/19  13:56:59.200   ","0","0","0","0","29703","0","64","512","50.04","0.3122","150.71","4095","0","0","0","-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168,-181,-183,-181,-175,-175,-165,-166,-157,-155,-145,-138,-130,-119,-108,-93,-82,-67,-54,-42,-30,-21,-13,0,6,23,34,49,66,80,99,113,129,141,151,160,165,174,177,183,188,195,199,203,200,190,173,156,130,70,53,31,12,-14,-34,-56,-76,-93,-113,-124,-139,-147,-159,-165,-168"
"3","0","1555423021192","04/16/19  13:57:01.192   ","1555423021192","04/16/19  13:57:01.192   ","0","0","0","0","29703","0","64","512","50.07","0.3122","150.71","4095","0","0","0","-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121,-124,-128,-132,-132,-135,-135,-139,-143,-148,-158,-163,-172,-173,-175,-169,-159,-147,-127,-108,-85,-66,-51,-37,-17,0,28,50,81,103,130,148,165,176,186,192,194,196,193,193,189,191,184,181,166,155,136,118,98,79,65,47,32,8,-9,-26,-42,-52,-66,-77,-87,-98,-105,-116,-121"
"4","0","1555423023262","04/16/19  13:57:03.262   ","1555423023262","04/16/19  13:57:03.262   ","0","0","0","0","29703","0","64","512","50.07","0.312","150.71","4095","0","0","0","-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75,-89,-106,-122,-135,-146,-153,-161,-166,-175,-177,-187,-189,-199,-201,-201,-196,-179,-166,-141,-121,-93,-67,-47,-28,-7,14,38,62,87,108,130,146,157,169,174,182,182,184,181,179,177,172,170,162,158,144,135,119,106,93,79,68,52,41,28,15,5,-3,-14,-21,-38,-46,-64,-75"
"5","0","1555423025197","04/16/19  13:57:05.197   ","1555423025197","04/16/19  13:57:05.197   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109,-115,-134,-153,-164,-174,-180,-184,-185,-184,-185,-182,-186,-180,-180,-169,-160,-146,-129,-113,-94,-81,-66,-53,-36,-16,-3,14,23,36,46,58,72,83,94,106,113,122,126,131,133,134,140,143,150,155,166,172,179,181,180,175,163,151,128,109,84,66,27,4,-17,-43,-63,-90,-109"
"6","0","1555423027203","04/16/19  13:57:07.203   ","1555423027203","04/16/19  13:57:07.203   ","0","0","0","0","29703","0","64","512","50.03","0.312","150.71","4095","0","0","0","-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100,-111,-125,-132,-142,-149,-153,-157,-154,-153,-149,-146,-147,-142,-145,-143,-144,-144,-139,-136,-128,-119,-110,-96,-85,-68,-58,-46,-37,-26,-10,4,30,49,78,98,125,143,159,171,180,186,193,196,200,198,201,200,201,194,182,166,143,124,99,79,56,41,17,-4,-27,-47,-65,-85,-100"
"7","0","1555423029297","04/16/19  13:57:09.297   ","1555423029297","04/16/19  13:57:09.297   ","0","0","0","0","29703","0","64","512","50.05","0.312","150.71","4095","0","0","0","-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67,-73,-83,-95,-104,-112,-121,-125,-133,-135,-136,-137,-134,-138,-135,-140,-143,-149,-155,-158,-162,-159,-154,-146,-132,-117,-97,-78,-62,-47,-33,-19,5,25,55,77,107,127,150,164,176,185,192,196,197,198,194,194,191,192,181,173,154,138,116,97,77,60,45,22,3,-19,-36,-52,-67"
"8","0","1555423031195","04/16/19  13:57:11.195   ","1555423031195","04/16/19  13:57:11.195   ","0","0","0","0","29703","0","64","512","50.04","0.3122","150.71","4095","0","0","0","-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20,-6,-26,-57,-77,-108,-128,-150,-163,-177,-184,-191,-194,-196,-195,-194,-192,-191,-189,-179,-170,-151,-136,-113,-95,-75,-59,-43,-21,1,23,39,56,70,82,97,105,117,124,131,138,140,144,143,142,141,139,141,139,145,147,150,154,151,150,143,133,123,107,91,74,60,47,35,20"
"9","0","1555423033372","04/16/19  13:57:13.372   ","1555423033372","04/16/19  13:57:13.372   ","0","0","0","0","29703","0","64","512","50.04","0.3122","150.71","4095","0","0","0","12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17,12,-13,-33,-64,-84,-114,-133,-154,-167,-178,-185,-192,-194,-197,-196,-195,-194,-193,-191,-180,-169,-149,-132,-108,-89,-68,-53,-33,-11,11,34,49,67,82,95,110,117,129,134,143,148,149,151,147,147,143,142,143,141,146,146,147,147,142,139,128,119,106,92,76,63,51,35,17"
