FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5553505500020000e+12
1,119,1.5553505559990000e+12
2,119,1.5553505580050000e+12
3,119,1.5553505600000000e+12
4,119,1.5553505620010000e+12
5,119,1.5553505640010000e+12
6,119,1.5553505660020000e+12
7,119,1.5553505680030000e+12
8,119,1.5553505699990000e+12
9,119,1.5553505720010000e+12
10,119,1.5553505740010000e+12
11,119,1.5553505759960000e+12
12,119,1.5553505780050000e+12
13,119,1.5553505800030000e+12
14,119,1.5553505821970000e+12
15,119,1.5553505840020000e+12
16,119,1.5553505860020000e+12
17,119,1.5553505880010000e+12
18,119,1.5553505900050000e+12
19,119,1.5553505920010000e+12
20,119,1.5553505940020000e+12
21,119,1.5553505960040000e+12
22,119,1.5553505980010000e+12
23,119,1.5553506000620000e+12
24,119,1.5553506020070000e+12
25,119,1.5553506039990000e+12
26,119,1.5553506059990000e+12
27,119,1.5553506081820000e+12
28,119,1.5553506100050000e+12
29,119,1.5553506120030000e+12
30,119,1.5553506139930000e+12
31,119,1.5553506160040000e+12
32,119,1.5553506180080000e+12
33,119,1.5553506200070000e+12
34,119,1.5553506220000000e+12
35,119,1.5553506239980000e+12
36,119,1.5553506259950000e+12
37,119,1.5553506279960000e+12
38,119,1.5553506299980000e+12
39,119,1.5553506319970000e+12
40,119,1.5553506339970000e+12
41,119,1.5553506360060000e+12
42,119,1.5553506382790000e+12
43,119,1.5553506400040000e+12
44,119,1.5553506419990000e+12
45,119,1.5553506440000000e+12
46,119,1.5553506459950000e+12
47,119,1.5553506480010000e+12
48,119,1.5553506500020000e+12
49,119,1.5553506560070000e+12
50,119,1.5553506580030000e+12
51,119,1.5553506600000000e+12
52,119,1.5553506619980000e+12
53,119,1.5553506640020000e+12
54,119,1.5553506660000000e+12
55,119,1.5553506680000000e+12
56,119,1.5553506699990000e+12
57,119,1.5553506720090000e+12
58,119,1.5553506740000000e+12
59,119,1.5553506760010000e+12
60,119,1.5553506780050000e+12
61,119,1.5553506799950000e+12
62,119,1.5553506820110000e+12
63,119,1.5553506840030000e+12
64,119,1.5553506860070000e+12
65,119,1.5553506881730000e+12
66,119,1.5553506900020000e+12
67,119,1.5553506919990000e+12
68,119,1.5553506939970000e+12
69,119,1.5553506960080000e+12
70,119,1.5553506980070000e+12
71,119,1.5553507001320000e+12
72,119,1.5553507019960000e+12
73,119,1.5553507040010000e+12
74,119,1.5553507060000000e+12
75,119,1.5553507080060000e+12
76,119,1.5553507099970000e+12
77,119,1.5553507121570000e+12
78,119,1.5553507139930000e+12
79,119,1.5553507160010000e+12
80,119,1.5553507180030000e+12
81,119,1.5553507200010000e+12
82,119,1.5553507220000000e+12
83,119,1.5553507240050000e+12
84,119,1.5553507259980000e+12
85,119,1.5553507280040000e+12
86,119,1.5553507300000000e+12
87,119,1.5553507319980000e+12
88,119,1.5553507340130000e+12
89,119,1.5553507360060000e+12
90,119,1.5553507380020000e+12
91,119,1.5553507400020000e+12
92,119,1.5553507420060000e+12
93,119,1.5553507440060000e+12
94,119,1.5553507459970000e+12
95,119,1.5553507480020000e+12
96,119,1.5553507500040000e+12
97,119,1.5553507520010000e+12
98,119,1.5553507540000000e+12
99,119,1.5553507559940000e+12
