"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","3945","4201"
"1555350357529","04/15/19  17:45:57.529   ","5.44","-146.6","3.706","19.2","2.1","1.993","100","18.32","2.85","1.28","3.35","1.88","1.09","0.77","0.73","0.2","0.36","0","0","0","0.25","0","0.25","-145.8","97.1","172.6","136.6","-112.6","101.7","15","-134.4","-37.1","-37","-124.7","0","-178.2","-178.3","77","0","0"
"1555350358551","04/15/19  17:45:58.551   ","5.42","-146","3.74","19.9","2.1","1.987","100","18.04","0.4","0.34","2.95","1.45","1.01","0.85","0.81","0.22","0.54","0","0.51","0.2","0","0.2","0","-146.6","16.9","-78.1","-88.2","-118.1","30.5","-37.8","131.7","-73.6","-156.5","-160.2","0","132.9","0","101.1","0","-2.5"
"1555350359550","04/15/19  17:45:59.550   ","5.47","-145.9","3.742","19.5","2.1","2.035","100","18.41","4.78","0.94","3.21","1.93","0.5","0.81","0.89","0.21","0","0.2","0.51","0","0.32","0","0.41","-146.2","-67.2","-132.2","-36.8","-124.5","-29.4","20","51.9","-55.7","0","-133.9","0","0","10","57.9","0","-0.6"
"1555350360542","04/15/19  17:46:00.542   ","5.47","-147.2","3.758","19","2.1","1.965","100","18.89","3.56","1.26","3.46","1.75","0.78","0.96","0.77","0","0","0","0.28","0.21","0.33","0","0.33","-146.6","-89.4","-122.6","-18.2","-119.9","-81.6","0.5","21.1","-15.2","0","-138.5","0","173.7","0","51.1","0","17.2"
"1555350361539","04/15/19  17:46:01.539   ","5.4","-146.8","3.797","18.7","2.2","1.854","100","18.94","1.9","0.44","3.55","1.55","0.3","0.89","0.78","0.2","0.37","0","0.45","0","0","0","0.23","-147.2","-112","-93.5","57.1","-118.3","-116.6","-8.5","-3","-27.8","71.2","-132.3","0","164.5","0","0","0","5.9"
"1555350362838","04/15/19  17:46:02.838   ","5.48","-146.4","3.746","19.2","2.1","1.973","100","18.88","3.77","1.18","3.48","1.84","0.79","0.94","0.86","0","0.21","0","0.37","0.27","0.32","0","0.36","-146.6","-86.4","-126.5","-21.9","-121.4","-73","5.3","25.9","-22.2","0","-139.3","0","163.3","0","47.9","0","17.8"
"1555350363739","04/15/19  17:46:03.739   ","5.43","-146.4","3.797","18.2","2","1.955","100","18.2","4.68","1.22","3.29","2.09","0.3","0.7","0.99","0.34","0.34","0","0.63","0","0.24","0","0.38","-145.9","-57.1","-126.7","-41.3","-125.5","-13.9","26.5","61.1","-103.1","-161.8","-144.5","0","117.4","54.8","60.1","0","-1.5"
"1555350364546","04/15/19  17:46:04.546   ","5.48","-146.3","3.756","19.7","2.1","1.857","100","18.63","1.13","1.2","3.13","1.19","1.1","0.77","0.44","0.24","0.46","0","0.3","0.24","0","0","0","-146.3","37","-59.9","-60.7","-118.1","51.1","-20.2","149.5","-55.7","-112","-140.8","0","147.4","0","0","0","-2.9"
"1555350365557","04/15/19  17:46:05.557   ","5.57","-145.8","3.758","20.2","2.2","1.932","100","18.52","4.81","1.21","3.06","2.08","0.31","0.67","0.98","0.33","0.24","0.24","0.6","0","0.27","0","0.35","-146.1","-59.6","-131.5","-42.1","-125.8","-18.4","16.2","55","-95.4","-155.3","-139.2","0","127.4","0","60.3","0","1.5"
"1555350366533","04/15/19  17:46:06.533   ","5.53","-146.9","3.775","18.3","2.1","1.955","100","19","3.38","1.43","3.51","1.81","0.65","0.89","0.77","0","0.24","0","0.37","0.29","0.35","0","0.36","-146.6","-93.7","-124.6","-7.8","-119.1","-87.8","-2.4","11.6","-24.3","0","-144.1","0","166.1","0","34.6","0","15"
"1555350367565","04/15/19  17:46:07.565   ","5.44","-146.5","3.834","18.8","2.2","1.826","100","19.17","2.68","0.83","3.4","1.71","0","0.97","1.05","0.27","0.29","0","0.55","0","0","0","0.26","-146.6","165","-121.8","117.3","-127.9","-179","115.8","-90.2","-84.8","94.6","-89.8","-30.9","133.7","-53.4","0","0","14.9"
"1555350368551","04/15/19  17:46:08.551   ","5.51","-145.4","3.825","19.8","2.2","1.876","100","19.59","3.9","1","2.32","2.17","0.22","0.67","1.09","0.25","0.37","0","0.48","0","0","0","0.23","-145.1","128.8","-168.4","137.3","-126.7","169.2","51.7","-97.7","-68.8","42.7","-89.6","0","0","-106.6","0","0","0"
"1555350369748","04/15/19  17:46:09.748   ","5.41","-145.8","3.836","19.8","2.2","1.873","100","19","3.12","1.57","3.54","1.74","0.65","0.9","0.77","0","0.35","0","0.36","0.28","0.43","0","0.37","-146.5","-98","-111.5","-0.7","-116.7","-95.3","-6.6","7.2","-21.2","0","-145.9","0","168","0","0","0","14.6"
"1555350370550","04/15/19  17:46:10.550   ","5.54","-145.6","3.776","19.6","2.2","1.895","100","18.36","2.25","0.55","3.29","1.72","0.32","0.99","1","0.22","0.43","0","0.57","0","0","0","0.27","-146.1","-12","-89.3","-73.8","-118","2.2","159.9","116.5","-106.9","-131.4","0","141.5","111.4","108","77.8","0","10.9"
