"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"0","                         ","34320","36368","15","5900","7436","271","30","286","542","798","1054","1310","1566","1822","2078","2334","2590","2846","3102","3358","3614","3870","4126","106","362","618","874","106","362","618","874","1130","1386","1642","1898","2154","2410","2666","2922","3178"
"1555350667760","04/15/19  17:51:07.760   ","4.92","84.2","3.202","21.1","2","1.797","100","19.32","4.42","1.41","3.71","2.4","1.15","0.63","0.83","0.32","0","0.2","0.22","0","0","0","0.29","83.9","73","-60.1","152.1","83.9","73","-60.1","152.1","-10.2","-1.5","13.2","164.5","-133.3","0","-146.7","0","-130"
"1555350668771","04/15/19  17:51:08.771   ","4.92","84.2","3.188","21.2","2","1.818","100","18.76","3.19","1.54","3.75","1.54","0.33","0.72","0.53","0.21","0.22","0","0","0","0","0","0.21","83.8","124.5","-63.9","119.6","83.7","72.1","-55.7","152.1","-10","-2.2","13.9","161","-118.7","0","-142.5","0","-134.5"
"1555350669699","04/15/19  17:51:09.699   ","5.13","83.1","3.156","19.1","2.1","1.881","100","18.74","3.24","1.51","3.7","1.52","0.28","0.75","0.53","0.2","0.25","0","0","0","0","0","0","82.4","-178.1","-41.5","120.1","83.9","124.9","-63.3","118.9","-1.9","27.1","35.1","-119.8","-85.5","-59.1","0","0","-93.8"
"1555350670763","04/15/19  17:51:10.763   ","5.05","83.1","3.165","19.1","2.1","1.853","100","17.87","1.73","0.48","3.18","1.57","0.76","0.66","0","0.25","0.24","0","0","0","0","0","0","82.4","-176.8","-42.3","119.4","84","126.3","-62.2","118.7","-1.2","29.1","39.8","-116.2","-86.2","-59.9","0","0","-86.8"
"1555350671757","04/15/19  17:51:11.757   ","5.03","82.4","3.16","19.7","1.9","1.817","100","17.91","1.81","0.39","3.08","1.59","0.67","0.63","0","0.23","0","0","0","0","0","0","0.21","82.3","-174.1","-41.5","119.1","82.3","-174.1","-41.5","119.1","-6.7","86.1","28.8","-71.5","-21.4","0","147.9","0","0"
"1555350672713","04/15/19  17:51:12.713   ","4.89","82.2","3.171","19.8","1.9","1.788","100","19.06","5.62","1.44","3.41","2.38","0.86","0.78","0.54","0.31","0","0","0.29","0","0","0","0.24","83.1","-112.5","-75.3","-4.8","82.3","-170.5","-42.9","116.1","-9.1","95","25.7","-67.6","-13.8","0","147.9","0","0"
"1555350673767","04/15/19  17:51:13.767   ","4.89","84.4","3.164","20.1","1.9","1.78","100","19.25","5.85","1.58","3.32","2.45","0.74","0.77","0.5","0.31","0.22","0","0.36","0","0","0","0.22","83.6","-108.6","-77.3","-4.8","82.3","-166.4","-42.3","113.3","-10.9","100.3","17","-61.6","-0.6","0","152.5","0","0"
"1555350674687","04/15/19  17:51:14.687   ","4.87","84.4","3.176","18.3","2","1.807","100","18.98","1.62","0.45","3.32","1.65","0.63","0.58","0","0","0.3","0.2","0.24","0","0","0","0.24","82.9","2","-40.4","-62","83.8","-103.7","-80","-21.9","-16","166.5","30.2","-21.4","-156.8","84","0","44.6","0"
"1555350675753","04/15/19  17:51:15.753   ","5.01","83.7","3.176","19.6","2","1.839","100","19.29","3.9","1.57","3.94","1.38","0.25","0.8","0.3","0","0.31","0","0","0","0","0","0","84.2","-45","-62.9","-72.7","83.8","-97.7","-81.1","-36.7","-18.4","172.4","12.3","-13.5","-145","94.5","0","0","0"
