FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5553494696120000e+12
1,119,1.5553494716250000e+12
2,119,1.5553494736090000e+12
3,119,1.5553494756120000e+12
4,119,1.5553494776130000e+12
5,119,1.5553494796200000e+12
6,119,1.5553494816210000e+12
7,119,1.5553494836150000e+12
8,119,1.5553494856140000e+12
9,119,1.5553494876090000e+12
10,119,1.5553494896160000e+12
11,119,1.5553494916130000e+12
12,119,1.5553494936190000e+12
13,119,1.5553494956220000e+12
14,119,1.5553494976150000e+12
15,119,1.5553494998510000e+12
16,119,1.5553495016170000e+12
17,119,1.5553495036110000e+12
18,119,1.5553495056110000e+12
19,119,1.5553495076190000e+12
20,119,1.5553495097320000e+12
21,119,1.5553495116970000e+12
22,119,1.5553495193790000e+12
23,119,1.5553495213820000e+12
24,119,1.5553495233760000e+12
25,119,1.5553495253890000e+12
26,119,1.5553495275670000e+12
27,119,1.5553495294390000e+12
28,119,1.5553495313850000e+12
29,119,1.5553495353830000e+12
30,119,1.5553495375770000e+12
31,119,1.5553495393740000e+12
32,119,1.5553495413810000e+12
33,119,1.5553495433880000e+12
34,119,1.5553495455660000e+12
35,119,1.5553495473850000e+12
36,119,1.5553495493870000e+12
37,119,1.5553495513900000e+12
38,119,1.5553495536150000e+12
39,119,1.5553495553820000e+12
40,119,1.5553495573800000e+12
41,119,1.5553495613840000e+12
42,119,1.5553495633810000e+12
43,119,1.5553495654610000e+12
44,119,1.5553495675600000e+12
45,119,1.5553495693860000e+12
46,119,1.5553495716760000e+12
47,119,1.5553495733950000e+12
48,119,1.5553495756250000e+12
49,119,1.5553495773830000e+12
50,119,1.5553495793730000e+12
51,119,1.5553495813780000e+12
52,119,1.5553495836550000e+12
53,119,1.5553495854280000e+12
54,119,1.5553495873830000e+12
55,119,1.5553495895580000e+12
56,119,1.5553495913830000e+12
57,119,1.5553495936340000e+12
58,119,1.5553495953840000e+12
59,119,1.5553495973810000e+12
60,119,1.5553495993800000e+12
61,119,1.5553496014310000e+12
62,119,1.5553496033810000e+12
63,119,1.5553496053740000e+12
64,119,1.5553496073840000e+12
65,119,1.5553496093800000e+12
66,119,1.5553496113840000e+12
67,119,1.5553496136410000e+12
68,119,1.5553496153830000e+12
69,119,1.5553496173810000e+12
70,119,1.5553496193810000e+12
71,119,1.5553496214220000e+12
72,119,1.5553496236880000e+12
73,119,1.5553496253880000e+12
74,119,1.5553496273880000e+12
75,119,1.5553496295980000e+12
76,119,1.5553496313880000e+12
77,119,1.5553496353870000e+12
78,119,1.5553496373810000e+12
79,119,1.5553496393850000e+12
80,119,1.5553496413860000e+12
81,119,1.5553496433880000e+12
82,119,1.5553496455840000e+12
83,119,1.5553496555650000e+12
84,119,1.5553496575700000e+12
85,119,1.5553496595640000e+12
86,119,1.5553496615710000e+12
87,119,1.5553496635630000e+12
88,119,1.5553496655750000e+12
89,119,1.5553496678280000e+12
90,119,1.5553496695720000e+12
91,119,1.5553496763910000e+12
92,119,1.5553496786110000e+12
93,119,1.5553496803770000e+12
94,119,1.5553496825930000e+12
95,119,1.5553496843880000e+12
96,119,1.5553496863780000e+12
97,119,1.5553496883870000e+12
98,119,1.5553496904130000e+12
99,119,1.5553496923820000e+12
100,119,1.5553496943840000e+12
101,119,1.5553496964640000e+12
102,119,1.5553496984030000e+12
103,119,1.5553497003830000e+12
104,119,1.5553497025420000e+12
105,119,1.5553497044410000e+12
106,119,1.5553497103800000e+12
107,119,1.5553497123830000e+12
108,119,1.5553497146340000e+12
109,119,1.5553497163770000e+12
110,119,1.5553497183780000e+12
111,119,1.5553497205880000e+12
112,119,1.5553497223880000e+12
113,119,1.5553497244430000e+12
114,119,1.5553497263790000e+12
115,119,1.5553497284320000e+12
116,119,1.5553497303770000e+12
117,119,1.5553497324860000e+12
118,119,1.5553497363850000e+12
119,119,1.5553497385600000e+12
120,119,1.5553497403850000e+12
121,119,1.5553497423850000e+12
122,119,1.5553497445510000e+12
123,119,1.5553497463820000e+12
124,119,1.5553497483810000e+12
125,119,1.5553497763850000e+12
126,119,1.5553497783780000e+12
127,119,1.5553497843840000e+12
128,119,1.5553497883790000e+12
129,119,1.5553497906530000e+12
130,119,1.5553498163820000e+12
131,119,1.5553498184650000e+12
132,119,1.5553498206620000e+12
133,119,1.5553498224460000e+12
134,119,1.5553498243860000e+12
135,119,1.5553498263820000e+12
136,119,1.5553498283860000e+12
137,119,1.5553498303850000e+12
138,119,1.5553498323760000e+12
139,119,1.5553498343870000e+12
140,119,1.5553498363850000e+12
141,119,1.5553498383800000e+12
142,119,1.5553498403890000e+12
143,119,1.5553498423840000e+12
144,119,1.5553498443850000e+12
145,119,1.5553498465440000e+12
146,119,1.5553498483790000e+12
147,119,1.5553498504280000e+12
148,119,1.5553498523890000e+12
149,119,1.5553498543840000e+12
150,119,1.5553498583870000e+12
151,119,1.5553498606340000e+12
152,119,1.5553498623840000e+12
153,119,1.5553498646180000e+12
154,119,1.5553498663820000e+12
155,119,1.5553498685310000e+12
156,119,1.5553498703810000e+12
157,119,1.5553498725260000e+12
158,119,1.5553498743880000e+12
159,119,1.5553498763950000e+12
160,119,1.5553498784410000e+12
161,119,1.5553498803800000e+12
162,119,1.5553498823780000e+12
163,119,1.5553498843890000e+12
164,119,1.5553498863790000e+12
165,119,1.5553498903890000e+12
166,119,1.5553498925200000e+12
167,119,1.5553498943900000e+12
168,119,1.5553498965940000e+12
169,119,1.5553498983850000e+12
170,119,1.5553499003790000e+12
171,119,1.5553499023950000e+12
172,119,1.5553499043860000e+12
173,119,1.5553499063860000e+12
174,119,1.5553499083840000e+12
175,119,1.5553499103830000e+12
176,119,1.5553499123820000e+12
177,119,1.5553499163890000e+12
178,119,1.5553499183850000e+12
179,119,1.5553499206890000e+12
180,119,1.5553499223840000e+12
181,119,1.5553499243820000e+12
182,119,1.5553499263800000e+12
183,119,1.5553499284920000e+12
184,119,1.5553499323740000e+12
185,119,1.5553499343850000e+12
186,119,1.5553499363980000e+12
187,119,1.5553499384440000e+12
188,119,1.5553499404130000e+12
189,119,1.5553499423850000e+12
190,119,1.5553499444950000e+12
191,119,1.5553499463790000e+12
192,119,1.5553499483800000e+12
193,119,1.5553499503830000e+12
194,119,1.5553499523870000e+12
195,119,1.5553499543860000e+12
196,119,1.5553499563880000e+12
197,119,1.5553499583980000e+12
198,119,1.5553499605730000e+12
199,119,1.5553499623820000e+12
200,119,1.5553499643930000e+12
201,119,1.5553499663790000e+12
202,119,1.5553499683790000e+12
203,119,1.5553499703810000e+12
204,119,1.5553499725390000e+12
205,119,1.5553499745430000e+12
206,119,1.5553499763880000e+12
207,119,1.5553499783880000e+12
208,119,1.5553499803900000e+12
209,119,1.5553499823870000e+12
210,119,1.5553499843780000e+12
211,119,1.5553499863850000e+12
212,119,1.5553499883930000e+12
213,119,1.5553499903880000e+12
214,119,1.5553499923850000e+12
215,119,1.5553499943890000e+12
216,119,1.5553499963880000e+12
217,119,1.5553499985480000e+12
